id	获取类型	类型备注	获取途径名称	名称备注	跳转界面	配置参数	产出位置名称	产出位置名称备注	参数备注
id	accessType	comment	name	comment2	jumpInterface	parameter	name2	comment3	comment4
number	number	comment	string	comment	number	json	string	comment	comment
int	int	comment	string	comment	int	map	string	comment	comment
1	1	普通副本(精准关卡)	1400001	关卡	16		1410001	%s-%s-%s	
2	2	日常副本(精准关卡)	1400002	日常副本	16		1410002	%s	
3	3	普通商店	1400003	商店	12		1410003	普通商店	
4	4	召唤	1400004	召唤	10		1410004	召唤	
5	5	祈愿	1400005	祈愿	11		1410005	祈愿	
6	6	打工	1400006	城市	5		1410006	%s	
7	7	副本界面-剧情副本	1400007	副本	1		1410007	剧情副本	
8	8	副本界面-日常副本	1400008	副本	2		1410008	日常副本	
9	9	7日活动	1400009	福利	17		1410009	7天登陆	
10	3	联机商店	1400003	商店	13		1410019	联机商店	
11	3	碎片商店	1400003	商店	27		1410020	碎片商店	
12	3	无尽商店	1400003	商店	28		1410021	无尽商店	
13	10	副本界面-活动副本	1400007	副本	18		1410010	活动副本	
14	11	任务-成就	1400010	任务	19	[3]	1410011	成就	任务类型id
15	12	城市-公园	1400011	城市	5		1410012	公园	
16	12	城市-面包坊	1400011	城市	5		1410013	面包坊	
17	12	城市-饮品店	1400011	城市	5		1410014	饮品店	
18	12	城市-豪华餐厅	1400011	城市	5		1410015	豪华餐厅	
19	12	城市-玩偶屋	1400011	城市	5		1410016	玩偶屋	
20	12	城市-饰品店	1400011	城市	5		1410017	饰品店	
21	12	城市-花艺居	1400011	城市	5		1410018	花艺居	
22	12	城市-游乐场	1400011	城市	5		1410022	游乐场	
23	13	活动-十香生日庆典	1400012	活动	32		1410023	生日任务	
24	13	活动-十香生日庆典	1400012	活动	33		1410023	生日商店	
25	14	好友	1400013	好友	4		1410024	好友列表	
26	3	卡巴拉商店	1400003		35		1410025	卡巴拉商店	
27	3	超市商店	1400003		36		1410026	礼物商店	
28	6	料理	1400006		5		1410027	料理制作	
29	6	手工	1400006		5		1410028	手工制作	
30	11	任务-日常	1400010	任务	19	[2]	1410029	活跃度奖励	
