ID	城市编号	角色	角色（备注）	出现地点	坐标	角色ai	角色台词
id	cityID	role	roleDes	place		ai	lines
number	number	number	comment	number			numbers
int	int	int		int			int[]
1	1	410104	十香（校服）	108	{"x":0,"y":0}		
2	1	410204	折纸（校服）	2	{"x":0,"y":0}		
3	1	410303	四糸乃（休闲装）	104	{"x":0,"y":0}		
4	1	410404	狂三（校服）	105	{"x":0,"y":0}		
5	1	410505	琴里（指挥官）	106	{"x":0,"y":0}		
6	1	420101	神无月	107	{"x":0,"y":0}		
7	1	420102	令音	111	{"x":0,"y":0}		
8	1	420103	殿町宏人	2	{"x":0,"y":0}		
9	1	420104	冈峰珠惠	2	{"x":0,"y":0}		
10	1	420105	山吹亚衣	201	{"x":0,"y":0}		
11	1	420106	叶樱麻衣	202	{"x":0,"y":0}		
12	1	420107	藤袴美衣	206	{"x":0,"y":0}		
13	1000	410104	十香（校服）	203	{"x":0,"y":0}		
14	2	410104	十香（校服）	108	{"x":0,"y":0}		
15	2	410204	折纸（校服）	2	{"x":0,"y":0}		
16	2	410303	四糸乃（休闲装）	104	{"x":0,"y":0}		
17	2	410404	狂三（校服）	105	{"x":0,"y":0}		
18	2	410505	琴里（指挥官）	106	{"x":0,"y":0}		
19	2	420101	神无月	107	{"x":0,"y":0}		
20	2	420102	令音	111	{"x":0,"y":0}		
21	2	420103	殿町宏人	2	{"x":0,"y":0}		
22	2	420104	冈峰珠惠	2	{"x":0,"y":0}		
23	2	420105	山吹亚衣	201	{"x":0,"y":0}		
24	2	420106	叶樱麻衣	202	{"x":0,"y":0}		
25	2	420107	藤袴美衣	206	{"x":0,"y":0}		
26	3	410104	十香（校服）	108	{"x":0,"y":0}		
27	3	410204	折纸（校服）	2	{"x":0,"y":0}		
28	3	410303	四糸乃（休闲装）	104	{"x":0,"y":0}		
29	3	410404	狂三（校服）	105	{"x":0,"y":0}		
30	3	410505	琴里（指挥官）	106	{"x":0,"y":0}		
31	3	420101	神无月	107	{"x":0,"y":0}		
32	3	420102	令音	111	{"x":0,"y":0}		
33	3	420103	殿町宏人	2	{"x":0,"y":0}		
34	3	420104	冈峰珠惠	2	{"x":0,"y":0}		
35	3	420105	山吹亚衣	201	{"x":0,"y":0}		
36	3	420106	叶樱麻衣	202	{"x":0,"y":0}		
37	3	420107	藤袴美衣	206	{"x":0,"y":0}		
38	4	410104	十香（校服）	108	{"x":0,"y":0}		
39	4	410204	折纸（校服）	2	{"x":0,"y":0}		
40	4	410303	四糸乃（休闲装）	104	{"x":0,"y":0}		
41	4	410404	狂三（校服）	105	{"x":0,"y":0}		
42	4	410505	琴里（指挥官）	106	{"x":0,"y":0}		
43	4	420101	神无月	107	{"x":0,"y":0}		
44	4	420102	令音	111	{"x":0,"y":0}		
45	4	420103	殿町宏人	2	{"x":0,"y":0}		
46	4	420104	冈峰珠惠	2	{"x":0,"y":0}		
47	4	420105	山吹亚衣	201	{"x":0,"y":0}		
48	4	420106	叶樱麻衣	202	{"x":0,"y":0}		
49	4	420107	藤袴美衣	206	{"x":0,"y":0}		
