id	状态名称	处于以下状态时，本状态无法被添加	添加此状态时，会移除掉以下这些状态
id	stateName	refuseStateId	cleanStateId
number	comment	numbers	numbers
int	comment	int[]	int[]
1	眩晕	101-162-163	2-3
2	冻结	102-162-163	1-3
3	静止	103-162	1-2
4	魅惑	162	
5	混乱	162	
11	浮空		
12	倒地		
13	牵引		
14	极限闪避		
15	招架		
31	冰冻	131-162	
32	流血	132-162	
33	燃烧	133-162	
34	感电	134-162	
35	狂风	135-162	
36	虚弱	162	
37	负面影响	162	
38	撕裂	162	
39	抗暴弱化	162	
40	减速	162	
41	感电	162	
61	复活		
62	处于1形态		
63	处于2形态		
64	正面伤害免疫		
101	眩晕免疫		1
102	冻结免疫		2
103	静止免疫		3
131	冰冻免疫		31
132	流血免疫		32
133	燃烧免疫		33
134	感电免疫		34
135	狂风免疫		35
161	治疗无效		
162	无敌		1-2-3-4-5-13-31-32-33-34-35-36-37-38-39-40-41-161
163	霸体		
164	减速免疫		
