buffid	名称	描述	覆盖标记	buff强度	是否可以在场下触发	触发对象	事件类型	次要触发条件类型	循环时间	调用属性	调用事件	调用状态	属性对比类型	属性值	属性对比结果（1高于 2低于）	对象状态	对象属性id	对象属性对比类型	属性值	属性对比结果	调用技能	使用的技能类型	触发概率	cd时间	效果id
id	name	des	coverId	priority	triggerPosition	triggerTarget	triggerType	triggerCondition	interval	attributeId	eventId	stateId	attributeTarget	attributeNum	attributeContrast	targetState	targetAttributeId	targetAttributeTarget	targetAttributeNum	targetAttributeContrast	skillId	skillType	probability	cd	effects
number	string	string	number	number	boolean	number	number	numbers	number	numbers	number	number	number	numbers	numbers	number	number	number	number	number	number	number	number	number	numbers
int	string	string	int	int	boolean	int	int	int[]	int	int[]	int	int	int	int[]	int[]	int	int	int	int	int	int	int	int	int	list
101		战斗补给效果：增加攻击力			1	1	1		0														10000	0	1001
102		战斗补给效果：增加防御力			1	1	1		0														10000	0	1002
103		战斗补给效果：增加攻击速度			1	1	1		0														10000	0	1003
104		战斗补给效果：增加生命值			1	1	1		0														10000	0	1004-1006
105		战斗补给效果：增加能量值			1	1	1		0														10000	0	1005-1007
106		战斗补给效果：增加护盾效果			1	1	1		0														10000	0	1008
301		给自己所有友军增加150点生命值			0	1	5		0												200620		10000	0	3013
302		每隔30s，获得一个最大生命值10%的护盾			0	1	4		30000														10000	0	3003-3009
304		战斗开始时获得一个普通护盾，抵挡10%生命值			1	1	1		0														10000	0	3006-3009
305		释放技能触发霸体，持续1.5s（怪物buff）			0	1	5		0												200120		10000	0	3008
306		释放技能触发霸体，持续1.5s（怪物buff）			0	1	5		0												200420		10000	0	3008
307		每隔30s，获得一个最大生命值10%的护盾			0	1	4		30000														10000	0	3003-3009
311		释放分支技能触发霸体，持续3.5s（十香buff）			0	1	5		0												200120		10000	0	3011
312		释放技能触发霸体，持续2.7s（十香buff）			0	1	5		0												200120		10000	0	3012
313		释放分支技能触发霸体，持续1.8s（折纸buff_2级分支）			0	1	5		0														10000	0	3014
314		释放分支技能触发霸体，持续2.4s（四糸乃buff_3级分支）			0	1	5		0														10000	0	3015
315		释放分支技能触发霸体，持续2.2s（真那buff_大招）			0	1	5		0														10000	0	3016
316		释放分支技能触发霸体，持续1.2s（琴里buff_分支）			0	1	5		0														10000	0	3017
317		释放分支技能触发霸体，持续3.1s（琴里buff_大招）			0	1	5		0														10000	0	3018
318	蚊子低阶自爆	蚊子低阶自爆			0	1	3		0		4												10000	0	3019-3020
319	蚊子高阶自爆	蚊子高阶自爆			0	1	3		0		4												10000	0	3021-3022
321		使用技能时触发，获得1s霸体			0	1	5		0														10000	0	3023
322		使用技能时触发，获得1.5s霸体			0	1	5		0														10000	0	3024
323		使用技能时触发，获得2s霸体			0	1	5		0														10000	0	3025
324		使用技能时触发，获得2.5s霸体			0	1	5		0														10000	0	3026
325		使用技能时触发，获得3s霸体			0	1	5		0														10000	0	3027
326		使用技能时触发，获得3.5s霸体			0	1	5		0														10000	0	3028
327		使用技能时触发，获得4s霸体			0	1	5		0														10000	0	3029
328		使用技能时触发，获得4.5s霸体			0	1	5		0														10000	0	3030
329		使用技能时触发，获得5s霸体			0	1	5		0														10000	0	3031
330		每隔30s，获得相当于生命值10%的霸体			0	1	1		0														10000	0	3032
401		狂三大招。霸体			0	1	5		0												100420		10000	0	4003
402		狂三大招。增加攻击力			0	1	5		0												100420		10000	0	4001-4002
501		攻击附带20%减速效果			0	1	3		0		400												10000	0	5001
901		护盾触发霸体			0	1	2		0	53			1	1	1								10000	0	3009
902		永久霸体机械猩猩			1	1	1		0														10000	0	9002
903		boss技能触发，霸体减伤50%，持续2s			0	1	5		0												0		10000	0	9003-9004
904		抵抗值上限+5%(计算参照为怪物最大生命值)，每40秒增加10%生命值的抵抗值。			0	1	1		0														10000	0	9005-9006-9007
905		抵抗值上限+10%(计算参照为怪物最大生命值)，每40秒增加10%生命值的抵抗值。			0	1	1		0														10000	0	9008-9009-9010
906		抵抗值上限+15%(计算参照为怪物最大生命值)，每40秒增加15%生命值的抵抗值。			0	1	1		0														10000	0	9011-9012-9013
907		抵抗值上限+20%(计算参照为怪物最大生命值)，每40秒增加20%生命值的抵抗值。			0	1	1		0														10000	0	9014-9015-9016
908		抵抗值上限+25%(计算参照为怪物最大生命值)，每40秒增加25%生命值的抵抗值。			0	1	1		0														10000	0	9017-9018-9019
910		boss1号，全屏技能护罩。无敌			0	1	5		0														10000	0	9020
911		boss黑色烟雾			0	1	1		0														10000	0	9021
1001		攻击提高3%，防御提高3%			1	1	1		0														10000	0	10001-10002
1002		受到攻击时有30%几率，降低20点伤害			0	1	3		0		450												3000	0	10003
1003		每次攻击额外造成10点伤害			0	1	3		0		400												10000	0	10004
1004		命中降低3%，闪避增加5%			1	1	1		0														10000	0	10005-10006
1005		受到攻击后，提高15%移动速度，持续3秒，冷却10秒			0	1	3		0		450												10000	10000	10007
1006		每3秒恢复10点生命值			1	1	1		0														10000	0	10008
1007		生命值低于30%，防御提高15%			1	1	2		0	2007			1	3000	2								10000	0	10009
1008		生命值低于30%，攻击提高15%			1	1	2		0	2007			1	3000	2								10000	0	10010
1009		生命值低于10%，获得最大生命值30%的护盾，触发间隔60秒			1	1	2		0	2007			1	1000	2								10000	60000	10011
1010		每次命中目标有20%的几率额外恢复1点能量			0	1	3		0		300												2000	0	10012
1011		攻击提高5%，防御提高5%			1	1	1		0														10000	0	10013-10014
1012		受到攻击时有30%几率，降低30点伤害			0	1	3		0		450												3000	0	10015
1013		每次攻击额外造成15点伤害			0	1	3		0		400												10000	0	10016
1014		命中降低3%，闪避增加8%			1	1	1		0														10000	0	10017-10018
1015		受到攻击后，提高20%移动速度，持续3秒，冷却10秒			0	1	3		0		450												10000	10000	10019
1016		每3秒恢复15点生命值			1	1	1		0														10000	0	10020
1017		生命值低于30%，防御提高20%			1	1	2		0	2007			1	3000	2								10000	0	10021
1018		生命值低于30%，攻击提高20%			1	1	2		0	2007			1	3000	2								10000	0	10022
1019		生命值低于15%，获得最大生命值30%的护盾，触发间隔60秒			1	1	2		0	2007			1	1500	2								10000	60000	10023
1020		每次命中目标有30%的几率额外恢复1点能量			0	1	3		0		300												3000	0	10024
1021		暴击几率提高5%，暴击伤害提高10%			1	1	1		0														10000	0	10025-10026
1022		被攻击后，3秒内受伤减少20%，冷却10秒			0	1	3		0		450												10000	10000	10027
1023		暴击后，增加15%的攻速，持续3秒，触发间隔10秒			0	1	3		0		500												10000	10000	10028
1024		每秒提升2%闪避，最大叠加10层，受击后消失			1	1	4		0														10000	1000	10029
1025		每次命中增加3%穿透率，持续3秒，最大叠加5层			0	1	3		0		300												10000	0	10030
1026		每5秒恢复1%生命值			1	1	1		0														10000	0	10031
1027		生命值高于80%，防御提高10%			1	1	2		0	2007			1	8000	1								10000	0	10032
1028		生命值高于80%，攻击提高10%			1	1	2		0	2007			1	8000	1								10000	0	10033
1029		每5秒获得1%最大生命值的护盾			1	1	4		0														10000	5000	10034
1030		攻击附带20%减速效果，持续5秒			0	1	3		0		400												10000	0	10035
1031		暴击几率提高10%，暴击伤害提高20%			1	1	1		0														10000	0	10036-10037
1032		被攻击后，3秒内受伤减少30%，冷却10秒			0	1	3		0		450												10000	0	10038
1033		暴击后，增加20%的攻速，持续3秒，触发间隔8秒			0	1	3		0		500												10000	8000	10039
1034		每秒提升3%闪避，最大叠加10层，受击后消失			1	1	4		0														10000	1000	10040
1035		每次命中增加5%穿透率，持续3秒，最大叠加5层			0	1	3		0		300												10000	0	10041
1036		每5秒恢复1.5%生命值			1	1	1		0														10000	0	10042
1037		生命值高于80%，防御提高15%			1	1	2		0	2007			1	8000	1								10000	0	10043
1038		生命值高于80%，攻击提高15%			1	1	2		0	2007			1	8000	1								10000	0	10044
1039		每5秒获得1.5%最大生命值的护盾，最大50%护盾值			1	1	4		0														10000	5000	10045
1040		攻击附带30%减速效果，持续5秒			0	1	3		0		400												10000	0	10046
1041		攻速提高10%，[连击大于30后，暴击提高10%]			1	1	1		0														10000	0	10047
1042		[攻速提高10%]，连击大于30后，暴击提高10%			1	1	2		0	2004			1	30	1								10000	0	10048
1043		伤害减免提高10%，[受到攻击后，提升50%防御力，持续3秒，冷却10秒]			1	1	1		0														10000	0	10049
1044		[伤害减免提高10%]，受到攻击后，提升50%防御力，持续3秒，冷却10秒			0	1	3		0		450												10000	10000	10050
1045		每次命中目标有额外恢复1点能量			0	1	3		0		300												10000	0	10051
1046		移动速度提高20%，攻击速度提高10%			1	1	1		0														10000	0	10052-10053
1047		击杀敌人获得2%的攻击加成，最大叠加10层，持续30秒。			0	1	3		0		9												10000	0	10054
1048		每1秒恢复2点能量，			1	1	1		0														10000	0	10055
1049		攻击力提高5%，普通攻击伤害额外提高15%			1	1	1		0														10000	0	10056-10057-10058
