id	兼职名称	兼职名称	条件	兼职稀有度	消耗精力	完成所需时间	奖励	固定奖励	随机奖励	属性奖励	兼职经验奖励	限制时间
id	nameDes	name	condition	quality	costVim	costTime	result	resultShow1	resultShow2	resultShow3	jobExp	timeLimit
number	comment	number	json	number	json	number	json	json	numbers	json	number	boolean
int		int	int[]	int	map	int	map	map	int[]	map	int	boolean
106001	面包店-兼职1（1星）	920001	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532101,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532101:10}	500002-532201-532202		10	0
106002	面包店-兼职2（1星）	920002	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532102,"num":10},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532102:10,500019:1}	500002-532201-532202	{500019:1}	10	0
106003	面包店-兼职3（1星）	920003	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532103,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532103:10}	500002-532201-532202		10	1
106004	面包店-兼职4（1星）	920004	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532101,"num":10},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532101:10,500023:1}	500002-532201-532202	{500023:1}	10	1
106005	面包店-兼职5（1星）	920005	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532102,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532102:10}	500002-532201-532202		10	0
106006	面包店-兼职6（1星）	920006	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532103,"num":10},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532103:10,500020:1}	500002-532201-532202	{500020:1}	10	0
106007	面包店-兼职7（1星）	920007	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532101,"num":6},{"id":532103,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532101:6,532103:6}	500002-532201-532202		10	0
106008	面包店-兼职8（1星）	920008	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532102,"num":6},{"id":532101,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532102:6,532101:6}	500002-532201-532202		10	0
106009	面包店-兼职9（1星）	920009	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532103,"num":6},{"id":532102,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532103:6,532102:6}	500002-532201-532202		10	0
106010	面包店-兼职10（1星）	920010	106-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532101,"num":4},{"id":532102,"num":4},{"id":532103,"num":4}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532201,"num":0,"min":1,"max":1,"weight":3500},{"id":532202,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532101:4,532102:4,532103:4}	500002-532201-532202		10	0
106011	面包店-兼职1（2星）	920011	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532101,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532101:15}	500002-532201-532202		15	0
106012	面包店-兼职2（2星）	920012	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532102,"num":15},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532102:15,500019:1}	500002-532201-532202	{500019:1}	15	0
106013	面包店-兼职3（2星）	920013	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532103,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532103:15}	500002-532201-532202		15	1
106014	面包店-兼职4（2星）	920014	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532101,"num":15},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532101:15,500023:1}	500002-532201-532202	{500023:1}	15	1
106015	面包店-兼职5（2星）	920015	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532102,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532102:15}	500002-532201-532202	{500020:0}	15	0
106016	面包店-兼职6（2星）	920016	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532103,"num":15},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532103:15,500020:1}	500002-532201-532202	{500020:1}	15	0
106017	面包店-兼职7（2星）	920017	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532101,"num":8},{"id":532103,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532101:8,532103:8}	500002-532201-532202		15	0
106018	面包店-兼职8（2星）	920018	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532102,"num":8},{"id":532101,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532102:8,532101:8}	500002-532201-532202		15	0
106019	面包店-兼职9（2星）	920019	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532103,"num":8},{"id":532102,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532103:8,532102:8}	500002-532201-532202		15	0
106020	面包店-兼职10（2星）	920020	106-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532101,"num":6},{"id":532102,"num":6},{"id":532103,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532201,"num":0,"min":1,"max":2,"weight":3800},{"id":532202,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532101:6,532102:6,532103:6}	500002-532201-532202		15	0
106021	面包店-兼职1（3星）	920021	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532101,"num":20},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532101:20,500019:1}	500002-532201-532202-532301	{500019:1}	20	0
106022	面包店-兼职2（3星）	920022	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532102,"num":20},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532102:20,500019:1}	500002-532201-532202-532301	{500019:1}	20	0
106023	面包店-兼职3（3星）	920023	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532103,"num":20},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532103:20,500023:1}	500002-532201-532202-532301	{500023:1}	20	1
