id	商品名称	所属商店	格子编号	权重	开启条件（1.玩家等级。2.需要达到的关卡）	开启值	出售时间类型（1.任意时间。2.每日固定时刻。3.每周固定时刻。）	出售时间（分钟）	限购（0.不限购。1.刷新时间内限购。2.服务器时间本天内限购。3.永久限购。5.全服限购且刷新时间重置。6.全服限购夸天重置。7.全服永久限购 8.本周限购 9.本月限购）	限购值	是否可以批量购买	全服时个人限购值	限购描述	道具（id:数量）	价格类型	价格数量	描述	折扣	自动刷新时间（分钟）
id	name	storeId	grid	weight	openContType	openContVal	sellTimeType	sellTime	limitType	limitVal	batchBuy	serLimit	sellDescribtion	goods	priceType	priceVal	des	tag	autoRefreshCorn
number	comment	number	number	number	number	number	number	json	number	number	boolean	number	string	json	numbers	numbers	string	number	string
int	string	int	int	int	int	int	int	int[]	int	int		int		map	int[]	int[]	string	int	string
100101	命运徽章	100000	1	10000	1	1	1		0	0	1			{570033:1}	500002	280			
100201	8级经验道具	100000	2	2000	1	1	1		2	5	1		r2002	{510108:1}	500002	15			
100202	8级经验道具	100000	2	1334	1	1	1		2	5	1		r2002	{510108:1}	500001	7500			
100203	9级经验道具	100000	2	2000	1	1	1		2	5	1		r2002	{510109:1}	500002	20			
100204	9级经验道具	100000	2	1333	1	1	1		2	5	1		r2002	{510109:1}	500001	10000			
100205	10级经验道具	100000	2	2000	1	1	1		2	5	1		r2002	{510110:1}	500002	25			
100206	10级经验道具	100000	2	1333	1	1	1		2	5	1		r2002	{510110:1}	500001	12500			
100301	2星经验质点	100000	3	2000	1	1	1		2	5	1		r2002	{220009:1}	500002	10			
100302	2星经验质点	100000	3	1334	1	1	1		2	5	1		r2002	{220009:1}	500001	5000			
100303	3星经验质点	100000	3	2000	1	1	1		2	5	1		r2002	{230009:1}	500002	20			
100304	3星经验质点	100000	3	1333	1	1	1		2	5	1		r2002	{230009:1}	500001	10000			
100305	4星经验质点	100000	3	2000	1	1	1		2	5	1		r2002	{240009:1}	500002	30			
100306	4星经验质点	100000	3	1333	1	1	1		2	5	1		r2002	{240009:1}	500001	15000			
100401	1星突破道具1	100000	4	1250	1	10	1		2	3	1		r2002	{510201:5}	500002	10			
100402	1星突破道具2	100000	4	1250	1	10	1		2	3	1		r2002	{510202:5}	500002	10			
100403	1星突破道具3	100000	4	1250	1	10	1		2	3	1		r2002	{510203:5}	500002	10			
100404	1星突破道具4	100000	4	1250	1	10	1		2	3	1		r2002	{510204:5}	500002	10			
100405	1星突破道具5	100000	4	1250	1	10	1		2	3	1		r2002	{510205:5}	500002	10			
100406	1星突破道具6	100000	4	1250	1	10	1		2	3	1		r2002	{510206:5}	500002	10			
100407	1星突破道具7	100000	4	1250	1	10	1		2	3	1		r2002	{510207:5}	500002	10			
100408	1星突破道具8	100000	4	1250	1	10	1		2	3	1		r2002	{510208:5}	500002	10			
100501	1星突破道具1	100000	5	1250	1	10	1		2	3	1		r2002	{510201:5}	500001	5000			
100502	1星突破道具2	100000	5	1250	1	10	1		2	3	1		r2002	{510202:5}	500001	5000			
100503	1星突破道具3	100000	5	1250	1	10	1		2	3	1		r2002	{510203:5}	500001	5000			
100504	1星突破道具4	100000	5	1250	1	10	1		2	3	1		r2002	{510204:5}	500001	5000			
100505	1星突破道具5	100000	5	1250	1	10	1		2	3	1		r2002	{510205:5}	500001	5000			
100506	1星突破道具6	100000	5	1250	1	10	1		2	3	1		r2002	{510206:5}	500001	5000			
100507	1星突破道具7	100000	5	1250	1	10	1		2	3	1		r2002	{510207:5}	500001	5000			
100508	1星突破道具8	100000	5	1250	1	10	1		2	3	1		r2002	{510208:5}	500001	5000			
100601	2星突破道具1	100000	6	1250	1	20	1		2	3	1		r2002	{510209:4}	500002	20			
100602	2星突破道具2	100000	6	1250	1	20	1		2	3	1		r2002	{510210:4}	500002	20			
100603	2星突破道具3	100000	6	1250	1	20	1		2	3	1		r2002	{510211:4}	500002	20			
100604	2星突破道具4	100000	6	1250	1	20	1		2	3	1		r2002	{510212:4}	500002	20			
100605	2星突破道具5	100000	6	1250	1	20	1		2	3	1		r2002	{510213:4}	500002	20			
100606	2星突破道具6	100000	6	1250	1	20	1		2	3	1		r2002	{510214:4}	500002	20			
100607	2星突破道具7	100000	6	1250	1	20	1		2	3	1		r2002	{510215:4}	500002	20			
100701	2星突破道具8	100000	7	1250	1	20	1		2	3	1		r2002	{510216:4}	500002	20			
100702	2星突破道具1	100000	7	1250	1	20	1		2	3	1		r2002	{510209:4}	500001	10000			
100703	2星突破道具2	100000	7	1250	1	20	1		2	3	1		r2002	{510210:4}	500001	10000			
100704	2星突破道具3	100000	7	1250	1	20	1		2	3	1		r2002	{510211:4}	500001	10000			
100705	2星突破道具4	100000	7	1250	1	20	1		2	3	1		r2002	{510212:4}	500001	10000			
100706	2星突破道具5	100000	7	1250	1	20	1		2	3	1		r2002	{510213:4}	500001	10000			
