顺序ID	领取条件	完成奖励	所属看板娘（小精灵）
id	receive_condition	reward	roleId
number	json	vjson	number
int	map	map	int
10001	{"favor":400}	{500001:2000,510101:5}	101
10002	{"favor":1200}	{500001:5000,510102:5}	101
10003	{"favor":2000}	{500002:5,570001:20}	101
10004	{"favor":3500}	{500002:10,570002:5}	101
10005	{"favor":5000}	{500002:15,541001:1}	101
10006	{"favor":400}	{500005:5,510101:1}	103
10007	{"favor":1200}	{500002:10,570002:5}	103
10008	{"favor":2000}	{500002:15,541001:1}	103
10009	{"favor":3500}	{500005:5,510101:1}	103
100010	{"favor":5000}	{500002:10,570002:5}	103
