ID	英雄ID	精灵名字	英文名	英雄描述	模型大小	背景颜色资源	其他着色
id	heroPaint	heroName	enName	heroText	paintSize	background	colour2
number	number	string	string	string	number	string	numbers
int	number	string	string	string	int	string	int[]
1	1101011	夜刀神十香	Princess 	迷团般的少女，拥有一头及膝的黑色长发与水晶般不可思议色彩的眼睛。没有包含名字在内和自己相关的一切记忆，在第二次与士道相遇后，士道基于两人第一次见面的日子（四月十日）而命名为「十香」。	0.6	ui/711.png	88-40-146
2	1102011	鸢一折纸	AST制式	士道的同班同学，有着纯白如雪的短直发，经常面无表情如人偶般的少女，同时也是AST的成员。因火焰缠绕的精灵而令双亲命丧，因此憎恨精灵的存在， 展开以消灭精灵为最终目标的持续征战。	0.6	ui/715.png	88-110-177
3	1103011	四糸乃	Hermit 	长相宛若娃娃般美丽的蓝发少女，手里拿着一个样子滑稽的兔子手偶。生性温驯而胆小怕生，几乎不敢与人直接对话，手偶「四糸奈」起初被认为是腹语术，事实上是独立存在的人格。	0.6	ui/713.png	70-117-100
4	1104011	时崎狂三	Nightmare	突然转入来禅高中的转校生，在众人前自称精灵。平时左眼被长刘海遮挡而无法看清，身着灵装后可以看清隐藏在长发下的左眼——时钟之眼。被认为是最邪恶的精灵，始终无法被杀死。 	0.6	ui/714.png	104-09-22
5	1105011	五河琴里	Efreet	男主角的义妹，双马尾的可爱少女，有双重性格，绑上白色缎带时就是天真开朗的「妹妹模式」，换上黑色缎带后性格就会突变成为毒舌又冷酷的「司令官模式」，另一层身份是〈Ratatoskr〉的司令官。	0.6	ui/710.png	220-95-112
6	1106011	崇宫真那	DEM制式	男主角的亲生妹妹，虽然没有过去的记忆，但身上带着一张与士道在小时候的合照。从DEM调派到天宫驻屯地的AST补充人员，显现装置技巧为世界前五强的王牌，有独自一人杀死精灵的经验。	0.6	ui/712.png	83-89-195
7	1107011	八舞耶俱矢	Berserk	八舞姐妹双子精灵，原本是同一个精灵，但在某次现界时分裂成耶倶矢和夕弦两个个体，八舞耶俱矢有着橙色的头发和水银色的瞳孔，头发在脑后盘起，体态较为纤细，个性活泼，是被称为“狂战士（Berserk）”的风之精灵	0.6	ui/924.png	98-47-120
8	1108011	八舞夕弦	Berserk	八舞夕弦有着和八舞耶俱矢比起来更好的身材与耶倶矢个性相反般的冷静温驯。灵装的枷锁位置和耶俱矢的相反，对于传授了“吸引男性的方法”的鸢一折纸很敬仰并称之为“折纸大师”。	0.6	ui/923.png	58-47-109
