id	关卡集类型(1.主线 2.常规 3.活动)	前置关卡	开放等级	所属章节	显示顺序	分页标题名字	分页名字	分页小图	分页小图上的文本图片	分页描述	关卡布局	限制次数	开启时间类型	活动时间（周日~周六：1~7）	奖励预览	活动描述	活动周期类型(0-不刷新，1-每日刷新)	活动周期参数	购买次数方式	最大购买次数	单次购买消耗	（简单）挑战星级
id	dungeonType	preDungeonId	unlockLevel	dungeonChapterId	order	titleName	name	pictureIcon	pictureText	desc	layout	countLimit	openTimeType	timeFrame	dropShow	activityDsc	cycleType	cycleParam	buyCountType	buyCountLimit	price	reward
number	number	numbers	number	number	number	string	string	string	string	string	numbers	number	number	json	numbers	string	number	number	number	number	json	json
int	int		int	int							int[]	int	int	list			int	int	int	int	map	map
1001	2		0	1	1		300511	icon/fuben/top_shixiang.png			511-514-514											{1:{"c1_5_0":{500001:500,500002:5},"c2_10_0":{500001:1000,500002:10,510102:5},"c3_15_0":{500001:1500,500002:15,510301:1}},2:{"c1_5_0":{500001:1500,500002:15,510102:7},"c2_10_0":{500001:2000,500002:20,220009:3},"c3_15_0":{500001:2500,500002:25,510301:1},"c4_20_0":{500001:3000,500002:30,510102:7},"c5_25_0":{500001:3500,500002:35,220009:3},"c6_30_0":{500001:4000,500002:40,510301:1}},3:{"c1_3_0":{500001:2500,500002:25,510102:9},"c2_6_0":{500001:3000,500002:30,220009:4},"c3_9_0":{500001:3500,500002:35,510301:1},"c4_12_0":{500001:4000,500002:40,510102:9},"c5_15_0":{500001:4500,500002:45,220009:4},"c6_18_0":{500001:5000,500002:50,510301:1}}}
1002	2	101104		1	2		300512	icon/fuben/top_shixiang.png			514-514-514											
2001	2	101207	5	2	1		300511	icon/dungeon/chapter/chapter_3001_2.png			512-512-512											{1:{"c1_5_0":{500001:500,500002:5},"c2_10_0":{500001:1000,500002:10,510102:5},"c3_16_0":{500001:1500,500002:15,210009:5},"c4_21_0":{500001:2000,500002:20,510102:5},"c5_27_0":{500001:2500,500002:25,510306:1}},2:{"c1_5_0":{500001:1500,500002:15,510102:5},"c2_10_0":{500001:2000,500002:20,220009:2},"c3_15_0":{500001:2500,500002:25,510306:1},"c4_20_0":{500001:3000,500002:30,510102:5},"c5_25_0":{500001:3500,500002:35,220009:2},"c6_30_0":{500001:4000,500002:40,510306:1},"c7_35_0":{500001:4500,500002:45,510102:5},"c8_40_0":{500001:5000,500002:50,220009:2},"c9_45_0":{500001:5500,500002:55,510306:2}},3:{"c1_3_0":{500001:2500,500002:25,510103:4},"c2_6_0":{500001:3000,500002:30,220009:2},"c3_9_0":{500001:3500,500002:35,510306:1},"c4_12_0":{500001:4000,500002:40,510103:4},"c5_15_0":{500001:4500,500002:45,220009:2},"c6_18_0":{500001:5000,500002:50,510306:1},"c7_21_0":{500001:5500,500002:55,510103:4},"c9_27_0":{500001:6500,500002:65,510306:2}}}
2002	2	102104		2	2		300512	icon/dungeon/chapter/chapter_3001_2.png			512-512-512											
2003	2	102208		2	3		300513	icon/dungeon/chapter/chapter_3001_2.png														
3001	2	102314	11	3	1		300511	icon/dungeon/chapter/chapter_3001_2.png			513-513-513											{1:{"c1_5_0":{500001:500,500002:5},"c2_10_0":{500001:1000,500002:10,510102:5},"c3_15_0":{500001:1500,500002:15,220009:2},"c4_20_0":{500001:2000,500002:20,510309:1},"c5_25_0":{500001:2500,500002:25,220009:2},"c6_30_0":{500001:3000,500002:30,510102:5},"c7_36_0":{500001:3500,500002:35,510309:1}},2:{"c1_5_0":{500001:1500,500002:15,510103:4},"c2_10_0":{500001:2000,500002:20,220009:2},"c3_15_0":{500001:2500,500002:25,510309:1},"c4_20_0":{500001:3000,500002:30,510103:4},"c5_25_0":{500001:3500,500002:35,220009:2},"c6_30_0":{500001:4000,500002:40,510309:1},"c7_35_0":{500001:4500,500002:45,510103:4},"c8_40_0":{500001:5000,500002:50,220009:2},"c9_45_0":{500001:5500,500002:55,510309:2}},3:{"c1_3_0":{500001:2500,500002:25,510103:5},"c2_6_0":{500001:3000,500002:30,220009:1},"c3_9_0":{500001:3500,500002:35,510309:1},"c4_12_0":{500001:4000,500002:40,510103:5},"c5_15_0":{500001:4500,500002:45,220009:1},"c6_18_0":{500001:5000,500002:50,510309:1},"c7_21_0":{500001:5500,500002:55,510103:5},"c8_24_0":{500001:6000,500002:60,220009:1},"c9_27_0":{500001:6500,500002:65,510309:2}}}
3002	2	103106		3	2		300512	icon/dungeon/chapter/chapter_3001_2.png			513-513-513											
