id	关卡名策划看	通关条件类型(1歼灭，2生存，3目标击杀-具体怪物，4目标击杀-怪物类型，5目标击杀-怪物数量)	通关条件参数(歼灭-填1占位，生存-限制时间x秒内存活，目标击杀-怪物ID及数量x，目标击杀-怪物敌人类型及数量x，目标击杀-怪物总量x)	开场动画	普通刷怪区域1长度	刷新怪物	前进长度	区域2长度	刷新怪物	前进长度	区域3长度	刷新怪物	前进长度	区域4长度	刷新怪物	无限刷怪区域长度	刷新怪物	定时刷怪区域长度	刷新怪物	最大数量限制	极限刷怪区域长度	补充刷怪	怪物刷新时间
id	dungeonName	victoryType	victoryParam	op	LengthN1	MonsterN1	MoveN1	LengthN2	MonsterN2	MoveN2	LengthN3	MonsterN3	MoveN3	LengthN4	MonsterN4	LengthE	MonsterE	LengthT	MonsterT	NumMaxT	LengthL	MonsterL	TimeL
number	string	number	json	string	number	json	number	number	json	number	number	json	number	number	json	number	json	number	json	number	number	json	number
int		int	list	string	int	list	int	int	list	int	int	list	int	int	list	int	list	int	list	int	int	list	int
1001	第1章简单关卡1-剧情	1		10001	1100	[[1,0][2,0][2,0]]	1200	1100	[[1,0]]	1200	1100	[[1,0][2,0]]											
1002	第1章简单关卡2-剧情	5	[[20]]													1300	[[1,0][2,0]]						
1003	第1章简单关卡3	2	[[30000]]															1500	[[1,1000][2,5000]]	5			
1004	第1章简单关卡4	1																			1500	[2,300]	5000
1101	第1章困难关卡1	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1102	第1章困难关卡2	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1103	第1章困难关卡3	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1104	第1章困难关卡4	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1105	第1章困难关卡5	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1106	第1章困难关卡6	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1107	第1章困难关卡7	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1108	第1章困难关卡8	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
