id	排序	所属日期（1~7分别对应周1~周日）	刷怪组id	关卡等级(刷出怪物的等级，不用刷怪器中的怪物等级)	难度(1-普通关卡，2-BOSS关卡)	关卡类型(1-Boss，2-精灵，3-精英，4-杂兵)	地图ID	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	关卡时长	地图摄像机修正	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	通关条件类型(1歼灭，暂无其他通关条件类型)	通关条件参数	背景音乐	关卡掉落展示	进入等级	消耗资源	可进入次数	奖励	层数奖励	模式名字	模式描述	推荐攻略描述
id	order	week	monsterGroupId	dungeonLevel	difficulty	type	map	levelScript	levelStepID	time	cameraAmend	limitAttributes	limitTargetType	limitAttributesDescribe	victoryType	victoryParam	bgm	dropShow	playerLv	cost	fightCount	reward	floorReward	modelName	modelDescribe	strategyDescribe
number	number	number	numbers	number	number	number	numbers	strings	number	number	number	numbers	numbers	string	numbers	json	string	numbers	number	vjson	number	number	vjson	number	number	number
int	int	int	int[]	int	int		int[]		int	int		int[]	int[]		int[]	list			int	map	int	int	map			
101001	1	1	3000001-3000002	1	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641001	{500001:2000,500002:10,570005:2}	300841	300851	300861
101002	2	1	3000004-3000005-3000006	2	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641002	{500001:2000,500002:10,570005:2}	300841	300851	300861
101003	3	1	3000007-3000008	3	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641003	{500001:2000,500002:10,570005:2}	300841	300851	300861
101004	4	1	3000010-3000011-3000012	4	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641004	{500001:2000,500002:10,570005:2}	300841	300851	300861
101005	5	1	3000013-3000014-3000015	5	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641005	{500001:2000,500002:10,570005:2}	300841	300851	300861
101006	6	1	3000016-3000017	6	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641006	{500001:2000,500002:10,570005:2}	300841	300851	300861
101007	7	1	3000019-3000020-3000021	7	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641007	{500001:2000,500002:10,570005:2}	300841	300851	300861
