id	名称（策划用）	名称	名称2（保持统一用）	描述	描述（策划用）	物品类型	背包类型	单格上限	是否支持叠加	道具总数上限	超出上限转换	灵装类型	星级	品质	图鉴排序	负重	icon	半身像	立绘	六边形像	立绘位置	立绘缩放比例	拍照时的缩放比例	提供经验	初始等级	等级上限	所属组合类型(Equipment_Combination中的组合类型id)	所属套装	基础属性({属性号：属性值，属性号：属性值})	成长属性	基础战力	每级成长战力	各属性条目的等级范围	特殊属性(类型id：权重，类型id：权重)	固有属性	出售收益	交易收益	获得后是否展示立绘
id	name2	name	nameTextId	desTextId	des2	superType	bagType	gridMax	pileUp	totalMax	convertMax	subType	star	quality	order	cost	icon	halfPaint	paint	equipPaint	paintPosition	size	photoSize	exp	initalLevel	maxLevel	combination	suit	baseAttribute	growthAttribute	combatNum	growthCombatNum	specialAttrLevelRange	specialAttribute	inherentAttribute	sellProfit	dealProfit	bornEffect
number	comment	string	string	number	comment	number	number	number	boolean	number	json	number	number	number	number	number	string	string	string	string	json	number	number	number	number	number	numbers	number	json	json	number	number	json	json	number	vjson	json	boolean
int						int	int	int	boolean	int	map	int	int	int		int								int	int	int	int[]	int	map	map	int	int	list	map	int	map	map	
210009	小咕噜	404901	404901	409901	拥有些许灵气的仓鼠，能够提供些许额外经验。	2	2	1	0	999	{500001:300}	100	1	2	68	1	icon/equipment/icon/106_106/icon1_gouliang_1.png	icon/equipment/icon/170_214/icon2_gouliang_1.png	icon/equipment/paint/paint_gouliang_1.png	icon/equipment/icon/192_166/icon3_gouliang_1.png	{"x":340,"y":366}	0.8	0.7	100	1	1	1-2-3	-1	{1:100,2:100,3:100}	{1:0,2:0,3:0}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	9001	{500001:300}		0
220009	咕噜侠	404902	404902	409902	拥有较强灵气的仓鼠，能够提供少量额外经验。	2	2	1	0	999	{500001:500}	100	1	3	69	1	icon/equipment/icon/106_106/icon1_gouliang_2.png	icon/equipment/icon/170_214/icon2_gouliang_2.png	icon/equipment/paint/paint_gouliang_2.png	icon/equipment/icon/192_166/icon3_gouliang_2.png	{"x":332,"y":322}	0.8	0.75	300	1	1	1-2-3	-1	{1:100,2:100,3:100}	{1:0,2:0,3:0}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	9002	{500001:500}		0
230009	咕噜师父	404903	404903	409903	拥有极强灵气的仓鼠，能够提供大量额外经验。	2	2	1	0	999	{500001:1000}	100	1	4	70	1	icon/equipment/icon/106_106/icon1_gouliang_3.png	icon/equipment/icon/170_214/icon2_gouliang_3.png	icon/equipment/paint/paint_gouliang_3.png	icon/equipment/icon/192_166/icon3_gouliang_3.png	{"x":325,"y":309}	0.8	0.75	1000	1	1	1-2-3	-1	{1:100,2:100,3:100}	{1:0,2:0,3:0}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	9003	{500001:1000}		0
240009	咕噜大佬	404904	404904	409904	拥有浩瀚灵气的仓鼠，能够提供海量额外经验。	2	2	1	0	999	{500001:1500}	100	1	5	71	1	icon/equipment/icon/106_106/icon1_gouliang_4.png	icon/equipment/icon/170_214/icon2_gouliang_4.png	icon/equipment/paint/paint_gouliang_4.png	icon/equipment/icon/192_166/icon3_gouliang_4.png	{"x":322,"y":262}	0.8	0.75	3000	1	1	1-2-3	-1	{1:100,2:100,3:100}	{1:0,2:0,3:0}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	9004	{500001:1500}		0
250009	咕噜王	404905	404905	409905	拥有无限灵气的仓鼠，能够提供巨量额外经验。	2	2	1	0	999	{500001:2000}	100	1	6	72	1	icon/equipment/icon/106_106/icon1_gouliang_4.png	icon/equipment/icon/170_214/icon2_gouliang_4.png	icon/equipment/paint/paint_gouliang_4.png	icon/equipment/icon/192_166/icon3_gouliang_4.png	{"x":322,"y":256}	0.8	0.75	10000	1	1	1-2-3	-1	{1:100,2:100,3:100}	{1:0,2:0,3:0}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	9005	{500001:2000}		0
210010	特蕾西亚	400001	400001	405001	特蕾西亚是帝国坚强而美丽的女王，在上一代国王病逝后率领军队战胜了入侵的敌军。质点为王冠，无随机属性。	2	2	1	0	99	{570001:5}	1	1	2	1	2	icon/equipment/icon/106_106/icon1_wangguan_1.png	icon/equipment/icon/170_214/icon2_wangguan_1.png	icon/equipment/paint/paint_wangguan_1.png	icon/equipment/icon/192_166/icon3_wangguan_1.png	{"x":306,"y":265}	0.8	0.75	20	1	10	1-2-3	-1	{1:2880,2:1406,3:844}	{1:144,2:84,3:42}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10001	{570001:5}		0
210011	瑟西	400002	400002	405002	令人畏惧的女巫，擅长黑魔法，是敌人惧怕的魔法使。质点为智慧，无随机属性。	2	2	1	0	99	{570001:5}	2	1	2	2	2	icon/equipment/icon/106_106/icon1_zhihui_1.png	icon/equipment/icon/170_214/icon2_zhihui_1.png	icon/equipment/paint/paint_zhihui_1.png	icon/equipment/icon/192_166/icon3_zhihui_1.png	{"x":330,"y":250}	0.75	0.65	20	1	10	1-4-5-6	-1	{1:3320,2:1106,3:932}	{1:166,2:66,3:46}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10002	{570001:5}		0
