id	名称	属性描述	属性大类	属性等级（颜色,星级等级决定上限，然后根据权重随机）	权重	属性类型	属性(最低属性值,最高属性值)
id	name	des	superType	level	weight	attrType	attribute
number	string	string	number	number	number	number	numbers
int			int	int	int	int	int[]
1	穿透率1-区间1	420503	1	1	2400	503	50-55
2	穿透率1-区间2	420503	1	1	2000	503	55-60
3	穿透率1-区间3	420503	1	1	1600	503	60-65
4	穿透率1-区间4	420503	1	1	1200	503	65-70
5	穿透率1-区间5	420503	1	1	800	503	70-75
6	穿透率2-区间1	420503	1	2	3600	503	75-85
7	穿透率2-区间2	420503	1	2	3000	503	85-95
8	穿透率2-区间3	420503	1	2	2400	503	95-105
9	穿透率2-区间4	420503	1	2	1800	503	105-115
10	穿透率2-区间5	420503	1	2	1200	503	115-125
11	穿透率3-区间1	420503	1	3	3000	503	125-140
12	穿透率3-区间2	420503	1	3	2500	503	140-155
13	穿透率3-区间3	420503	1	3	2000	503	155-170
14	穿透率3-区间4	420503	1	3	1500	503	170-185
15	穿透率3-区间5	420503	1	3	1000	503	185-200
16	穿透率4-区间1	420503	1	4	1800	503	200-220
17	穿透率4-区间2	420503	1	4	1500	503	220-240
18	穿透率4-区间3	420503	1	4	1200	503	240-260
19	穿透率4-区间4	420503	1	4	900	503	260-280
20	穿透率4-区间5	420503	1	4	600	503	280-300
21	穿透率5-区间1	420503	1	5	1200	503	300-340
22	穿透率5-区间2	420503	1	5	1000	503	340-380
23	穿透率5-区间3	420503	1	5	800	503	380-420
24	穿透率5-区间4	420503	1	5	600	503	420-460
25	穿透率5-区间5	420503	1	5	400	503	460-500
26	命中率1-区间1	420505	2	1	2400	505	50-55
27	命中率1-区间2	420505	2	1	2000	505	55-60
28	命中率1-区间3	420505	2	1	1600	505	60-65
29	命中率1-区间4	420505	2	1	1200	505	65-70
30	命中率1-区间5	420505	2	1	800	505	70-75
31	命中率2-区间1	420505	2	2	3600	505	75-85
32	命中率2-区间2	420505	2	2	3000	505	85-95
33	命中率2-区间3	420505	2	2	2400	505	95-105
34	命中率2-区间4	420505	2	2	1800	505	105-115
35	命中率2-区间5	420505	2	2	1200	505	115-125
36	命中率3-区间1	420505	2	3	3000	505	125-140
37	命中率3-区间2	420505	2	3	2500	505	140-155
38	命中率3-区间3	420505	2	3	2000	505	155-170
39	命中率3-区间4	420505	2	3	1500	505	170-185
40	命中率3-区间5	420505	2	3	1000	505	185-200
41	命中率4-区间1	420505	2	4	1800	505	200-220
42	命中率4-区间2	420505	2	4	1500	505	220-240
43	命中率4-区间3	420505	2	4	1200	505	240-260
44	命中率4-区间4	420505	2	4	900	505	260-280
45	命中率4-区间5	420505	2	4	600	505	280-300
46	命中率5-区间1	420505	2	5	1200	505	300-340
47	命中率5-区间2	420505	2	5	1000	505	340-380
48	命中率5-区间3	420505	2	5	800	505	380-420
49	命中率5-区间4	420505	2	5	600	505	420-460
50	命中率5-区间5	420505	2	5	400	505	460-500
51	暴击率1-区间1	420507	3	1	2400	507	100-110
52	暴击率1-区间2	420507	3	1	2000	507	110-120
53	暴击率1-区间3	420507	3	1	1600	507	120-130
54	暴击率1-区间4	420507	3	1	1200	507	130-140
55	暴击率1-区间5	420507	3	1	800	507	140-150
56	暴击率2-区间1	420507	3	2	3600	507	150-170
57	暴击率2-区间2	420507	3	2	3000	507	170-190
58	暴击率2-区间3	420507	3	2	2400	507	190-210
59	暴击率2-区间4	420507	3	2	1800	507	210-230
60	暴击率2-区间5	420507	3	2	1200	507	230-250
61	暴击率3-区间1	420507	3	3	3000	507	250-280
62	暴击率3-区间2	420507	3	3	2500	507	280-310
63	暴击率3-区间3	420507	3	3	2000	507	310-340
64	暴击率3-区间4	420507	3	3	1500	507	340-370
65	暴击率3-区间5	420507	3	3	1000	507	370-400
66	暴击率4-区间1	420507	3	4	1800	507	400-440
67	暴击率4-区间2	420507	3	4	1500	507	440-480
68	暴击率4-区间3	420507	3	4	1200	507	480-520
69	暴击率4-区间4	420507	3	4	900	507	520-560
70	暴击率4-区间5	420507	3	4	600	507	560-600
71	暴击率5-区间1	420507	3	5	1200	507	600-680
72	暴击率5-区间2	420507	3	5	1000	507	680-760
73	暴击率5-区间3	420507	3	5	800	507	760-840
74	暴击率5-区间4	420507	3	5	600	507	840-920
75	暴击率5-区间5	420507	3	5	400	507	920-1000
76	暴伤加成1-区间1	420509	4	1	2400	509	200-220
77	暴伤加成1-区间2	420509	4	1	2000	509	220-240
78	暴伤加成1-区间3	420509	4	1	1600	509	240-260
79	暴伤加成1-区间4	420509	4	1	1200	509	260-280
80	暴伤加成1-区间5	420509	4	1	800	509	280-300
81	暴伤加成2-区间1	420509	4	2	3600	509	300-340
82	暴伤加成2-区间2	420509	4	2	3000	509	340-380
83	暴伤加成2-区间3	420509	4	2	2400	509	380-420
84	暴伤加成2-区间4	420509	4	2	1800	509	420-460
