id	对应精灵id	格子id	格子外形	稀有度分区	结晶外观图	格子背景	格子位置	icon	相邻格子的id	解锁条件[格子id,格子id2]	效果描述	加成效果{属性id,数值}	突破需要道具	战斗力加成
id	heroId	cell	cellIcon	partition	model	bg	coordinates	icon	neighborId	unlockCondition	des	attribute	material	combatPower
number	number	number	string	number	string	string	string	string	numbers	json	string	json	json	number
int	int	int		int					int[]	list		map	map	int
1	110101	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/3.png	2		防御+6	{3:600}	{510201:1}	10
2	110101	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+11	{2:1100}	{510202:1}	10
3	110101	3		1			24	icon/attribute/70x70/1.png	2-5	[2]	生命+29	{1:2900}	{510203:1}	15
4	110101	4		1			26	icon/attribute/70x70/2.png	2-5	[2]	攻击+11	{2:1100}	{510204:1}	10
5	110101	5		1			36	icon/attribute/70x70/504.png	3-4-6	[3,4]	格挡率+2%	{504:200}	{510205:1}	10
6	110101	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/1.png	5-7	[5]	生命+29	{1:2900}	{510206:1}	10
7	110101	7		2			14	icon/attribute/70x70/2.png	6-8-9	[6]	攻击+13	{2:1300}	{510207:1}	15
8	110101	8		2			18	icon/attribute/70x70/2.png	7-10	[7]	攻击+13	{2:1300}	{510208:1}	15
9	110101	9		2			21	icon/attribute/70x70/3.png	7-10	[7]	防御+6	{3:600}	{510201:1,510202:1}	10
10	110101	10		2			25	icon/attribute/70x70/508.png	8-9-11	[8,9]	抗暴率+3%	{508:300}	{510203:1,510204:1}	15
11	110101	11		2			36	icon/attribute/70x70/1.png	10-12	[10]	生命+37	{1:3700}	{510205:1,510206:1}	10
12	110101	12		3			3	icon/attribute/70x70/1.png	11-13	[11]	生命+37	{1:3700}	{510207:1,510208:1}	15
13	110101	13		3			7	icon/attribute/70x70/3.png	12-14	[12]	防御+4%	{1003:400}	{510201:1,510202:1,510203:1}	15
14	110101	14		3			14	icon/attribute/70x70/2.png	13-15	[13]	攻击+16	{2:1600}	{510204:1,510205:1,510206:1}	15
15	110101	15		3			21	icon/attribute/70x70/2.png	14-16	[14]	攻击+16	{2:1600}	{510207:2,510208:2}	15
16	110101	16		3			25	icon/attribute/70x70/504.png	15-17	[15]	格挡率+3%	{504:300}	{510209:2,510210:2}	15
17	110101	17		3			29	icon/attribute/70x70/1.png	16-18	[16]	生命+44	{1:4400}	{510211:2,510212:2}	15
18	110101	18		3			36	icon/attribute/70x70/3.png	17-19	[17]	防御+8	{3:800}	{510213:1,510214:1,510215:1}	15
19	110101	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+8	{3:800}	{510213:1,510214:1,510215:1}	15
20	110101	20		4			7	icon/attribute/70x70/1.png	19-22	[19]	生命+44	{1:4400}	{510207:2,510208:2,510209:2}	15
21	110101	21		4			14	icon/attribute/70x70/2.png	19-22-24	[19]	攻击力+3%	{1002:300}	{510207:3,510208:3,510209:3}	15
22	110101	22		4			18	icon/attribute/70x70/2.png	20-21	[20,21]	攻击+18	{2:1800}	{510216:1}	15
23	110101	23		4			21	icon/attribute/70x70/508.png	24-25	[24]	抗暴率+4%	{508:400}	{510217:1}	15
24	110101	24		4			25	icon/attribute/70x70/2.png	21-23-26	[21]	攻击+18	{2:1800}	{510218:1}	20
25	110101	25		4			32	icon/attribute/70x70/3.png	23-26	[23,26]	防御+9	{3:900}	{510219:1}	20
26	110101	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24]	生命+52	{1:5200}	{510220:1}	20
27	110101	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+9	{3:900}	{510221:1}	20
28	110101	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+52	{1:5200}	{510222:1}	20
29	110101	29		5			10	icon/attribute/70x70/504.png	30	[30]	格挡率+3%	{504:300}	{510223:1}	20
30	110101	30		5			14	icon/attribute/70x70/2.png	27-29-31	[27]	攻击+21	{2:2100}	{510224:1}	20
31	110101	31		5			18	icon/attribute/70x70/1.png	28-30-32-33	[28,30]	生命+3%	{1001:300}	{510225:1}	20
32	110101	32		5			25	icon/attribute/70x70/3.png	31-34-35	[31]	防御+11	{3:1100}	{510226:1}	20
33	110101	33		5			29	icon/attribute/70x70/1.png	31-35	[31]	生命+59	{1:5900}	{510227:1}	20
34	110101	34		5			32	icon/attribute/70x70/2.png	32	[32]	攻击+24	{2:2400}	{510228:1}	20
35	110101	35		5			36	icon/attribute/70x70/3.png	32-33-36	[32,33]	防御+11	{3:1100}	{510229:1}	20
36	110101	36		6			3	icon/attribute/70x70/1.png	35-37	[35]	生命+66	{1:6600}	{510230:1}	20
37	110101	37		6			7	icon/attribute/70x70/3.png	36-40	[36]	防御+12	{3:1200}	{510231:1}	25
38	110101	38		6			10	icon/attribute/70x70/503.png	39	[39]	穿透率+4%	{503:400}	{510232:1}	25
39	110101	39		6			14	icon/attribute/70x70/2.png	38-40-42	[40]	攻击+24	{2:2400}	{510233:1}	25
40	110101	40		6			18	icon/attribute/70x70/508.png	37-39	[37]	抗暴率+5%	{508:500}	{510234:1}	25
41	110101	41		6			21	icon/attribute/70x70/3.png	39-44	[42]	防御+14	{3:1400}	{510235:1}	25
