ID	对应看板娘	主线章节名称	剧本章节图标	剧本文件名	主线章节标题	主线章节名称	章节抬头	章节开启条件（1好感度等级2副本进度）	分支奖励条件	分支奖励	类型（1：主线，2：奖励）	前置关卡	结算人物模型ID	结算人物模型动作
id	role	nameDes	partIcon	callTableNameF	datingTitle	datingName	datingHead	condition	branchCondition	branchReward	type	prepose	modelId	endAction
number	number	comment	string	string	number	number	number	vjson	number	vjson	number	number	number	string
int	int			string				map	int	map	int	int		
1010101	101	十香主线1，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900761	900760	12204				1		10104	id_favor2
1010102	101	十香主线1，奖励1							50	{532101:5}	2			
1010103	101	十香主线1，奖励2							100	{532101:5}	2			
1010104	101	十香主线1，奖励3							150	{532101:5}	2			
1010201	101	十香主线2，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900763	900762	12205	{1:2,2:101103}			1	1010101	10104	id_favor2
1010202	101	十香主线2，奖励1							500	{532101:5}	2			
1010301	101	十香主线3，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900765	900764	12206	{1:3,2:101103}			1	1010201	10104	id_favor2
1010302	101	十香主线3，奖励1							1500	{532101:5}	2			
1020101	102	折纸主线1，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900767	900766	12204				1		10204	id_favor3
1020102	102	折纸主线1，奖励1							150	{532101:5}	2			
1020201	102	折纸主线2，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900769	900768	12205	{1:2,2:101103}			1	1020101	10204	id_favor3
1020202	102	折纸主线2，奖励1							500	{532101:5}	2			
1020301	102	折纸主线3，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900771	900770	12206	{1:3,2:101103}			1	1020201	10204	id_favor3
1020302	102	折纸主线3，奖励1							1500	{532101:5}	2			
1030101	103	四糸乃主线1，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900773	900772	12204				1			
1030102	103	四糸乃主线1，奖励1							150	{532101:5}	2			
1030201	103	四糸乃主线2，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900775	900774	12205	{1:2,2:101103}			1	1030101	10303	id_favor3
1030202	103	四糸乃主线2，奖励1							500	{532101:5}	2			
1030301	103	四糸乃主线3，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900777	900776	12206	{1:3,2:101103}			1	1030201	10303	id_favor3
1030302	103	四糸乃主线3，奖励1							1500	{532101:5}	2			
1040101	104	狂三主线1，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900779	900778	12204				1			
1040102	104	狂三主线1，奖励1							150	{532101:5}	2			
1040201	104	狂三主线2，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900781	900780	12205	{1:2,2:101103}			1	1040101	10404	id_favor2
1040202	104	狂三主线2，奖励1							500	{532101:5}	2			
1040301	104	狂三主线3，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900783	900782	12206	{1:3,2:101103}			1	1040201	10404	id_favor2
1040302	104	狂三主线3，奖励1							1500	{532101:5}	2			
1050101	105	琴里主线1，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900785	900784	12204				1			
1050102	105	琴里主线1，奖励1							150	{532101:5}	2			
1050201	105	琴里主线2，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900787	900786	12205	{1:2,2:101103}			1	1050101	10504	id_favor1
1050202	105	琴里主线2，奖励1							500	{532101:5}	2			
1050301	105	琴里主线3，剧本1	ui/dating/newDating/maindating/shixiang_1.png	FavorDating	900789	900788	12206	{1:3,2:101103}			1	1050201	10504	id_favor1
1050302	105	琴里主线3，奖励1							1500	{532101:5}	2			
