id	阶段	是否使用中	阶段跳转	事件类型（0地点1角色1信息3功能）	绑定类型（0地点1角色）	地点事件图标（地点）	人物事件图标（地点）	人物事件图标（人物）	地点	地点（策划看）	角色	角色（策划看）	角色位置	角色动作	剧本	开始节点id	信息	调用功能	完成规则	是否隐藏	隐藏显示条件（拥有）	条件组合（0且1或）	隐藏显示条件（不拥有）	消耗时间	限制时间	强制推动时间	完成删除
id	stepId	use	stepJump	eventType	bindType	scriptIcon1	scriptIcon2	scriptIcon3	bindBuild	bindBuildDes	bindRole	bindRoleDes	position	action	scriptId	startId	message	game	gameRule	hide	hideCondition1		hideCondition2	costTime	limitTime	addTime	delete
number	number	boolean	number	number	number	string	string	string	number	comment	number	comment		number	number	number	number	number	json	boolean	json		json	number	string	string	boolean
int	int	boolean	int	int	int				int		int			int	int	int	int	int	map	boolean	map		map	int	string	string	boolean
110001	101000	1	101001												113101001	110101001				0	{}		{}		09:00:00-09:00:00	11:00:00	1
110101	101001	1	101001	1	1		ui/newCity/state/faver_zhuxian_1.png	ui/newCity/state/faver_zhuxian_2.png	104	学校1F	410104	十香校服			113101001	110101001				0	{}		{}		11:00:00-11:00:00	11:00:00	1
110102	101001	1		1	1		ui/newCity/state/faver_zhuxian_1.png	ui/newCity/state/faver_zhuxian_2.png	105	体育馆	410104	折纸校服			113101001	110101001				0	{}		{}	10	11:00:00-11:00:00		1
110103	101001	1		0	0	ui/newCity/state/faver_zhuxian_2.png			103	学校1F					113103001	110103001				0	{}		{}	10	11:00:00-11:00:00		1
110104	101001	1		1	0	ui/newCity/state/faver_zhuxian_2.png			101	商场							104001			0	{}		{}	10	11:00:00-11:00:00		0
110105	101001	1		1	1		ui/newCity/state/faver_zhuxian_1.png	ui/newCity/state/faver_zhuxian_2.png	101	商场	410505	琴里指挥官			113105001	110105001				0	{}		{}	10	11:00:00-11:00:00		1
110106	101001	1		0	0	ui/newCity/state/faver_jiaoyi_2.png			108	游乐场					113106001	110106001				0	{}		{}	10	11:00:00-11:00:00		1
110201	101001	1	101003	1	1		ui/newCity/state/faver_zhuxian_1.png	ui/newCity/state/faver_jiaoyi_2.png	103	学校1F	410104	十香校服			113301001	110301001				0	{}		{}		11:00:00-14:00:00	14:00:00	1
110202	101001	1		1	1		ui/newCity/state/faver_zhuxian_1.png	ui/newCity/state/faver_jiaoyi_2.png	104	学校1F	410404	狂三校服			113301001	110301001				0	{}		{}	10	11:00:00-14:00:00		1
110203	101001	1		1	1		ui/newCity/state/faver_zhuxian_1.png	ui/newCity/state/faver_jiaoyi_2.png	101	图书馆	410505	琴里指挥官			113303001	110303001				0	{}		{}	10	11:00:00-14:00:00		1
110204	101001	1		1	0	ui/newCity/state/faver_zhuxian_2.png			101	商场							304001			0	{}		{}	10	11:00:00-14:00:00		0
110205	101001	1		0	0	ui/newCity/state/faver_zhuxian_2.png			106	公园					113305001	110305001				0	{}		{}	10	11:00:00-14:00:00		1
110301	101003	1	101004	1	1		ui/newCity/state/faver_zhuxian_1.png	ui/newCity/state/faver_zhuxian_2.png	103	学校1F	410104	十香校服			113401001	110401001				0	{}		{}		14:00:00-16:00:00	16:00:00	1
110302	101003	1		1	1		ui/newCity/state/faver_zhuxian_1.png	ui/newCity/state/faver_zhuxian_2.png	104	学校1F	410104	折纸校服			113401001	110401001				0	{}		{}	10	14:00:00-16:00:00		1
110303	101003	1		0	0	ui/newCity/state/faver_zhuxian_2.png			104	学校1F					113403001	110403001				1	{"ownSign":[31]}		{}	10	14:00:00-16:00:00		1
110304	101003	1		1	0	ui/newCity/state/faver_zhuxian_2.png			101	商场							404001			0	{}		{}	10	14:00:00-16:00:00		0
110401	101004	1	101005	1	1		ui/newCity/state/faver_jiaoyi_1.png	ui/newCity/state/faver_jiaoyi_2.png	106	公园	410505	琴里指挥官			113501001	110501001				0	{}		{}		16:00:00-18:00:00	18:00:00	1
110402	101004	1		1	1		ui/newCity/state/faver_jiaoyi_1.png	ui/newCity/state/faver_jiaoyi_2.png	103	学校1F	410104	折纸校服			113501001	110501001				0	{}		{}	30	16:00:00-18:00:00		1
110403	101004	1		0	0	ui/newCity/state/faver_zhuxian_2.png			104	花店					113503001	110503001				0	{}		{}	30	16:00:00-18:00:00		1
110501	101005	1	101006	1	1		ui/newCity/state/faver_jiaoyi_1.png	ui/newCity/state/faver_jiaoyi_2.png	106	面包店	410404	狂三校服			113601001	110601001				0	{}		{}		18:00:00-10:00:00	10:00:00	1
110502	101005	1		1	1		ui/newCity/state/faver_jiaoyi_1.png	ui/newCity/state/faver_jiaoyi_2.png	107	饮品店	410104	折纸校服			113601001	110601001				1	{"ownSign":[51]}		{}	30	18:00:00-10:00:00		1
