id	当前外传的ID	初始时间	气温	天气	湿度	时间描述（策划看）	事件	天数显示	基础城市调用	天数	提示
id	outsideId	stepTime	weather1	weather2	weather3	stepTimeDes	event	dayShow	basicCity	day	prompt
number	number	string	number	string	number		numbers	number	number	number	number
int	int	string					int[]	int	int	int	int
101000	101	09:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110001	900704	1	1	900715
101001	101	11:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110101-110102-110103-110104-110105-110106	900704	1	1	900716
101002	101	12:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110201-110202-110203-110204-110205	900704	1	1	900717
101003	101	14:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110301-110302-110303-110304	900704	1	1	900718
101004	101	16:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110401-110402-110403	900704	1	1	900719
101005	101	18:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110501-110502-110503-110504	900704	1	1	900720
101006	101	20:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110601-110602-110603-110604	900704	1	1	900721
101007	101	21:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110701	900704	1	1	900722
											
1010100	1010101	07:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010000	900704	1	1	
1010101	1010101	08:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010111-101010112-101010113-101010114-101010115-101010116-101010101-101010102	900704	2	1	900754
1010102	1010101	10:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010211-101010212-101010213-101010214-101010215-101010216-101010217-101010218-101010219-101010220-101010201-101010202-101010203	900704	3	1	900755
1010103	1010101	13:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010311-101010312-101010313-101010314-101010315-101010316-101010317-101010318-101010301-101010302	900704	1	1	900756
1010104	1010101	15:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010411-101010412-101010413-101010414-101010415-101010416-101010417-101010418-101010419-101010401-101010402	900704	2	1	900757
1010105	1010101	17:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010511-101010512-101010513-101010514-101010515-101010516-101010517-101010518-101010501-101010502-101010503	900704	3	1	900758
1010106	1010101	19:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010611-101010612-101010613-101010614-101010615-101010616-101010601-101010602-101010603-101010604	900704	1	1	900759
