排序	怪物ID(填写monster.csv表中怪物ID)	关卡ID(填写dungeonLevel.csv表中关卡ID)	怪物等级	怪物出现时间(从关卡第0秒开始计时，直到关卡结束，单位毫秒)	怪物出现坐标(以1屏尺寸为基础，坐标可出屏，场景左下角为(0,0))	怪物是否翻转	怪物AI(填AI的ID)	怪物出场帧段数(点第一段轨迹的结算帧段值)	出场动作名	怪物移动轨迹(移动轨迹在路径编辑器里编辑，此处填对应轨迹ID)	轨迹是否需要循环(第一段出场轨迹后的轨迹循环，多用于BOSS)	弹幕ID(弹幕表中I的D)	怒气恢复(怪物被击杀后，精灵恢复怒气点数)	怪物掉落Buff(关卡内的Buff道具)	怪物击杀得分	怪物掉落奖励(实际掉落)	死亡特效{"effectName":"必须有，没有不播放","scale":默认1,"actionName":"如果只有一个动画可不填,1个或多个是数组", "offset":偏移坐标默认0,0}
id	fixedMonster	levelID	level	timing	createCoordinate	turnback	AI	bornTime	bornActionName	orbit	isLoop	bullet	angerRecovery	itemDrop	points	ItemAward	deadEffect
number	number	number	number	number	json	boolean	number	number	strings	string	boolean	numbers	number	json	number	json	json
int	int	int	int	int	map			int	strings	string	boolean	int[]	int	map	int		map
1	800002	101207	5	3000	{"x":1200, "y":440}		1012060001			horizontal_1_1-6		2001001			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
2	800002	101207	5	3300	{"x":1200, "y":360}		1012060001			horizontal_1_1-6		2001001			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
3	800002	101207	5	3600	{"x":1200, "y":280}		1012060001			horizontal_1_1-6		2001001			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
4	800002	101207	5	3900	{"x":1200, "y":200}		1012060001			horizontal_1_1-6		2001001		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
5	800003	101207	5	7400	{"x":720, "y":700}		1012060002		bornA-bornA2	test_1_1-6		2001005		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
6	800003	101207	5	7700	{"x":800, "y":-60}		1012060002		bornB-bornB2	test_2_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
7	800003	101207	5	8000	{"x":880, "y":700}		1012060002		bornA-bornA2	test_1_1-6		2001005		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
