ID	餐厅类型	料理名字	展示料理（对应item表中物品ID）	所需能力	所需食材	料理排序	奖励料理（所需积分,物品ID,数量）	最大积分（用于计算制作提前结束，一定要与最大所需积分相等）	制作总时长	qte(类型，出现时间点)	每秒增长积分
id	foodType	name	presentId	ability	materials	order	integral	maxintegral	cooktime	qte	natureTime
number	number	string	number	vjson	vjson	number	json	number	number	strings	number
int	int	string	int	map	map	int	list	int	int	string[]	int
1	1	干面包	534011	{500020:0,500021:0}	{500024:1,532101:5,532106:5}	1	[{80:{534011:1}},{120:{534012:1}},{145:{534013:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
2	1	牛奶面包	534021	{500020:0,500021:0}	{500024:1,532101:5,532104:5}	2	[{80:{534021:1}},{120:{534022:1}},{145:{534023:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
3	1	奶酪蛋挞	534031	{500020:0,500021:0}	{500024:1,532104:5,532102:5}	3	[{80:{534031:1}},{120:{534032:1}},{145:{534033:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
4	1	黄油面包	534042	{500020:30,500021:30}	{500024:2,532101:6,532103:6,532202:2}	4	[{80:{534042:1}},{120:{534043:1}},{145:{534044:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
5	1	布丁蛋糕	534052	{500020:35,500021:25}	{500024:2,532102:6,532103:6,532201:2}	5	[{80:{534052:1}},{120:{534053:1}},{145:{534054:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
6	1	黄豆粉面包	534062	{500020:25,500021:35}	{500024:2,532101:6,532103:6,532206:2}	6	[{80:{534062:1}},{120:{534063:1}},{145:{534064:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
7	1	抹茶蛋糕	534073	{500020:90,500021:90}	{500024:3,532101:7,532102:7,532204:2,532303:1}	7	[{80:{534073:1}},{120:{534074:1}},{145:{534075:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
