id	所属引导id	引导名称	前置id	所在界面	界面名称	引导位置（需点击的按钮）	位置名称	文本内容	是否需要指定操作
id	guideId	comment	frontId	fileName	comment1	uiName	comment2	des	showContinue
number	number	comment	number	string	comment	string	comment	string	boolean
int	int	comment	int	string	comment	string	comment	string	boolean
1	1	约会引导		MainLayer	主界面			击败AST看起来赢得了十香的信任，继续和十香进行约会吧！	0
2	1	约会引导	1	MainLayer	主界面	Panelyuehui	点击约会模式		1
3	1	约会引导	2	RoleInfoLayer	约会界面	Button_dating	点击约会按钮		1
4	1	约会引导	3	DatingScriptView	约会场景			在这里你可以和拥有的看板娘进行约会	0
5	1	约会引导	4	DatingScriptView	约会场景			每个精灵都有不同的性格，小心培养和她们的好感，把她们一一攻略吧！	0
6	1	约会引导	5	SettlementLayer	约会完成	TextButton_enter	点击【继续】		1
7	1	约会引导	6	RoleInfoLayer	约会完成			干得不错！十香似乎很满意这次约会！	0
8	1	约会引导	7	RoleInfoLayer	约会完成			不同的结局会让精灵的心情产生不同变化，有时还能强化精灵的作战能力	0
9	1	约会引导	8	RoleInfoLayer	约会完成			约会的结局和你的行动息息相关，有空时多尝试和精灵们约会吧！	0
10	2	换装引导	9	MainLayer	主界面	Panelyuehui	点击约会模式	十香似乎对刚刚获得的新服装十分感兴趣，试试给她换上吧	1
11	2	换装引导	10	RoleInfoLayer	约会界面	Button_changeDress	点击换装按钮		1
12	2	换装引导	11	UIDatingScrollLayer	换装界面		点击服装	先让十香试穿一下新服装吧！	1
13	2	换装引导	12	UIDatingScrollLayer	换装界面	Image_changeDressOk	点击确认更换	如果觉得好看的话，就确定让十香换上这套制服吧~	1
14	2	换装引导	13	DressView	换装界面			除了服装，在约会中可能还会获得其他物品，试着把它们送给精灵们吧	0
15	2	换装引导	14	DressView	换装界面	Button_back	点击返回		1
16	2	换装引导	15	RoleInfoLayer	约会界面	Button_back	点击返回主界面		1
17	3	进入副本	16	MainLayer	主界面			让我们继续战斗吧	0
18	3	进入副本	17	MainLayer	主界面	Panelzuozhan	点击战斗模式	从这里可以进入游戏的战斗关卡	1
19	3	进入副本	18	FubenLevelView	关卡界面	Button_plotLevel1	点chap1	选择第一个关卡进入吧	1
20	3	进入副本	19	FubenReadyView	关卡信息界面	Button_ready	点准备		1
21	3	进入副本	20	FubenSquadView	战斗准备界面	Button_fighting	点出击		1
