id	属性	属性id	属性显示分区（1.主要属性 2.次级属性）	属性icon 	属性名称	排序	显示格式	是否合并计算加成率	加成率属性id	除多少	保留小数位数
id	comment	attributeId	attributeType	icon	name	order	displayFormat	hasRatio	ratioAttributeId	division	decimal
number	comment	number	number	string	string	number	string	boolean	number	number	number
int	comment	int	int	string	string	int	string	boolean	int	int	int
1	最大生命值	1	1	icon/attribute/40x40/1.png	2300001	1	%s	1	1001	100	0
2	攻击力	2	1	icon/attribute/40x40/2.png	2300002	2	%s	1	1002	100	0
3	防御力	3	1	icon/attribute/40x40/3.png	2300003	3	%s	1	1003	100	0
4	攻速	6	2	icon/attribute/40x40/6.png	2300004	1	%s	1	1006	100	0
5	移动速度	11	2	icon/attribute/40x40/11.png	2300005	2	%s	1	1011	100	0
6	暴击率(通用）	507	2	icon/attribute/40x40/507.png	2300006	3	%s%%	0		100	1
7	抗暴率	508	2	icon/attribute/40x40/508.png	2300007	4	%s%%	0		100	1
8	暴击伤害倍率	509	2	icon/attribute/40x40/509.png	2300008	5	%s%%	0		100	1
9	暴击伤害减免	510	2	icon/attribute/40x40/510.png	2300009	6	%s%%	0		100	1
10	命中率	505	2	icon/attribute/40x40/505.png	2300010	7	%s%%	0		100	1
11	闪避率	506	2	icon/attribute/40x40/506.png	2300011	8	%s%%	0		100	1
12	穿透率	503	2	icon/attribute/40x40/503.png	2300012	9	%s%%	0		100	1
13	格挡率	504	2	icon/attribute/40x40/504.png	2300013	10	%s%%	0		100	1
14	被治疗率	515	2	icon/attribute/40x40/515.png	2300014	11	%s%%	0		100	1
15	控制时间加成（通用）	511	2	icon/attribute/40x40/511.png	2300015	12	%s%%	0		100	1
16	受控时间减免（通用）	512	2	icon/attribute/40x40/512.png	2300016	13	%s%%	0		100	1
17	buff时间加成	513	2	icon/attribute/40x40/513.png	2300017	14	%s%%	0		100	1
18	debuff时间减免	514	2	icon/attribute/40x40/514.png	2300018	15	%s%%	0		100	1
19	增伤比率	501	2	icon/attribute/40x40/501.png	2300019	16	%s%%	0		100	1
20	减伤比率	502	2	icon/attribute/40x40/502.png	2300020	17	%s%%	0		100	1
