ID	备注（策划看）	主动技能（配置技能数组）	基础动作形态（配置RoleAction中的动作形态）	被动技能（暂时无用）	主动改变形态技能（该形态技能ID-形态ID）	形态时限（单位毫秒）	形态消耗（间隔毫秒-消耗类型-消耗数值-最小值解除形态）	形态自动改变（前方2个条件达成任意，会自动进行形态改变。配置形态ID）	助战AI
id	des	skills	actionIndex	passivitySkills	triggerTrans	durationTime	expend	reductionTrans	AI
number	string	numbers	number	numbers	numbers	number	numbers	number	number
int	string	int[]	int	int[]	int[]	int	int[]	int	int
1010101	十香灵装	100110-100120-100130-100140-100150-100160-100180-100190	1			-1			110101
1010401	十香校服	100110-100120-100131-100140-100150-100160-100180-100190	1			-1			666666
1010801	十香生日	100110-100120-100132-100140-100150-100160-100180-100190	1			-1			666666
1010301	反转十香（普）	101110-101120-101130-101140-101150-101160-101170-101180	1		101160-1010302	-1			666666
1010302	反转十香（觉）	101210-101220-101230-101240-101250-101260-101270	2		101260-1010301	30000		1010301	666666
1020101	AST1折纸	100210-100220-100230-100240-100250-100260-100270-100280	1			-1			110201
1030101	四糸乃	100310-100320-100330-100340-100350-100360-100370-100380	1			-1			110301
1040101	狂三	100410-100420-100430-100440-100450-100460-100470-100480-100490	1			-1			666666
1050101	琴里1形态（斧）	100510-100520-100521-100522-100530-100540-100550-100560	1		100530-1050102	-1			666666
1050102	琴里2形态（炮）	100570-100580-100581-100582-100590-100591-100592	2		100590-1050101	30000	1000-56-5-0	1050101	666666
1060101	DEM真那	100610-100620-100630-100640-100650-100660-100670-100680	1			-1			666666
1060301	猫娘真那	100610-100620-100635-100640-100650-100660	1			-1			666666
1070101	耶俱矢	100710-100720-100730-100740-100750-100760-100770-100780	1			-1			666666
1080101	夕弦	100810-100820-100830-100840-100850-100860	1			-1			666666
1090101	艾伦	100910-100920-100930-100940-100950-100960-100970-100980	1			-1			666666
1100101	美九	101010-101020-101030-101040-101050-101060-101070-101080	1			-1			666666
