ID	策划看	进阶消耗	基础属性	成长属性	解锁技能
id	dec	consume	baseAttr	upAttr	openAngelSkillTree
number	comment	vjson	json	json	numbers
int		map	map	map	int[]
101101	十香		{1:22344,2:6048,3:4032,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:2234,2:446,3:372,505:20,10:1,507:20,8:50,13:100}	
101102	十香	{510301:20}	{1:24578,2:6652,3:4435,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:2680,2:535,3:446,505:25,10:1,507:25,8:50,13:100}	
101103	十香	{510301:30}	{1:26812,2:7257,3:4838,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:3127,2:624,3:520,505:30,10:1,507:30,8:50,13:100}	
101104	十香	{510301:60}	{1:29046,2:7862,3:5241,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:3574,2:713,3:594,505:40,10:1,507:40,8:50,13:100}	
101105	十香	{510301:120}	{1:31281,2:8467,3:5644,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:4021,2:802,3:669,505:50,10:1,507:50,8:50,13:100}	
101106	十香	{510301:120}	{1:33411,2:9067,3:6012,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:4521,2:895,3:735,505:50,10:1,507:50,8:50,13:100}	
101107	十香	{510301:120}	{1:36227,2:9713,3:6544,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:5102,2:1005,3:810,505:50,10:1,507:50,8:50,13:100}	
101301	反转十香		{1:26040,2:7434,3:4032,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:2604,2:520,3:434,505:20,10:1,507:20,8:50,13:100}	
101302	反转十香	{510303:20}	{1:28644,2:8177,3:4435,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:3124,2:624,3:520,505:25,10:1,507:25,8:50,13:100}	
101303	反转十香	{510303:30}	{1:31248,2:8920,3:4838,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:3645,2:728,3:607,505:30,10:1,507:30,8:50,13:100}	
101304	反转十香	{510303:60}	{1:33852,2:9663,3:5241,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4166,2:832,3:694,505:40,10:1,507:40,8:50,13:100}	
101305	反转十香	{510303:120}	{1:36456,2:10407,3:5644,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
101306	反转十香	{510303:120}	{1:36456,2:10407,3:5644,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
101307	反转十香	{510303:120}	{1:36456,2:10407,3:5644,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
102101	AST1折纸		{1:20496,2:6048,3:3724,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:2049,2:409,3:341,505:20,10:1,507:20,8:50,13:100}	
102102	AST1折纸	{510304:20}	{1:22545,2:6652,3:4096,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:2458,2:490,3:409,505:25,10:1,507:25,8:50,13:100}	
102103	AST1折纸	{510304:30}	{1:24595,2:7257,3:4468,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:2868,2:572,3:477,505:30,10:1,507:30,8:50,13:100}	
102104	AST1折纸	{510304:60}	{1:26644,2:7862,3:4840,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:3278,2:654,3:545,505:40,10:1,507:40,8:50,13:100}	
102105	AST1折纸	{510304:120}	{1:28694,2:8467,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:3688,2:736,3:613,505:50,10:1,507:50,8:50,13:100}	
