ID	备注	精灵飞行初始形态(flyForm表中精灵ID)	僚机飞行初始形态(flyForm表中僚机ID)	皮肤名字	道具类型	子类型	小类型	图标	皮肤图片	所属背包	排序索引	星级	品质	总上限	是否支持叠加	单格上限	达总上限转换	出售收益	交易收益	描述	描述文字ID	战斗模型	模型大小	受击区域组合	模型移动类型（0步行，1飞行，2无）	默认立绘	头像	玩家头像（设置为助战时）	！（暂时无用）小头像（选战斗形态时用）	战斗头像	结算头像（战斗准备界面头像）	！（暂时无用）名字图片	长条型头像（抽卡预览用）	角色底板	战斗结算底板	角色能量机制	战斗初始形态	战斗所有形态	被动技能配置	技能类型（1普攻,2技能一,3小技能二,4必杀,5闪避技能,6觉醒技能,7切换登场技能,8下落技能,,9起身震飞,10被动）	觉醒技能(对应1-5级天使，对应天使技能ID)	价值	武器模型	武器名称	天使模型大小	天使模型坐标偏移	天使技能树UI
id	name	heroFlyForm	wingmanFlyForm	nameTextId	superType	subType	smallType	icon	skinImg	bagType	order	star	quality	totalMax	pileUp	gridMax	convertMax	sellProfit	dealProfit	des	desTextId	model	modelSize	bodyArea	moveType	paint	heroIcon	playerIcon	smallIcon	fightIcon	endIcon	nameIcon	summonIcon	backdrop	winBackdrop	heroPower	beginForm	allForm	passivitySkills	angelSkills	supperSkills	cost	weaponPaint	weaponName	weaponPaintSize	weaponPaintPosition	AngelSkillTree
number	comment	number	number	number	number	number	number	string	string	number	number	number	number	number	boolean	number	json	json	json	string	number	string	number	strings	number	number	string	string	string	string	string	string	string	string	string	number	number	numbers	numbers	numbers	number	number	string	string	number	json	string
int	string	int	int	int	int	int	int	string		int	int	int	int	int	boolean	int	map	map	map	string	int															int	int	int[]	int[]	int[]		int					
1101011	十香灵装			30101	11	0	0	icon/role/dress/10101s.png	icon/role/roleSkin/10101.png	11		0	4	1	0	1	{500001:10000}			十香-灵装	21001	fight_10101	1	bdbox	0	1101011	icon/hero/face/1101011.png	icon/hero/face/1101011.png	icon/hero/smallface/10101.png	icon/hero/battle/10101.png	icon/hero/battle_end/10101.png	icon/hero/name/10101.png	Icon/role/face/up/101.png	icon/hero/backdrop/Shixiang.png	ui/629.png		1010101	1010101	110101	100110-100180-100190-100120-100140-100130-100160	100130		modle/weapon/angel_1101011/angel_10101	2200011	1	{"x":0,"y":30}	Angle_skill_1101
1101012	十香校服			30101	11	0	0	icon/role/dress/10104s.png	icon/role/roleSkin/10104.png	11		0	2	1	0	1	{500001:10000}			十香-校服	21003	fight_10104	1	bdbox	0	1101012	icon/hero/face/1101012.png	icon/hero/face/1101012.png	icon/hero/smallface/10101.png	icon/hero/battle/10102.png	icon/hero/battle_end/10102.png	icon/hero/name/10101.png	Icon/role/face/up/101.png	icon/hero/backdrop/Shixiang.png	ui/629.png		1010401	1010401	110101	100110-100180-100190-100120-100140-100131-100160	100131		modle/weapon/angel_1101011/angel_10101	2200011	1	{"x":0,"y":30}	Angle_skill_1101
1101013	十香生日			30101	11	0	0	icon/role/dress/10103s.png	icon/role/roleSkin/10103.png	11		0	3	1	0	1	{500001:10000}			十香-生日装	21005	fight_10108	1	bdbox	0	1101013	icon/hero/face/1101013.png	icon/hero/face/1101013.png	icon/hero/smallface/10101.png	icon/hero/battle/10103.png	icon/hero/battle_end/10103.png	icon/hero/name/10101.png	Icon/role/face/up/101.png	icon/hero/backdrop/Shixiang.png	ui/629.png		1010801	1010801	110101	100110-100180-100190-100120-100140-100132-100160	100132		modle/weapon/angel_1101011/angel_10101	2200011	1	{"x":0,"y":30}	Angle_skill_1101
1101014	十香飞行	1001010	1001011	30101	11	0	0	icon/role/dress/10101s.png	icon/role/roleSkin/10101.png	11		0	4	1	0	1	{500001:10000}			十香-灵装	21001	fight_10101	1	bdbox	2	1101011	icon/hero/face/1101011.png	icon/hero/face/1101011.png	icon/hero/smallface/10101.png	icon/hero/battle/10101.png	icon/hero/battle_end/10101.png	icon/hero/name/10101.png	Icon/role/face/up/101.png	icon/hero/backdrop/Shixiang.png	ui/629.png		1010101	1010101	110101	100110-100180-100190-100120-100140-100130-100160	100130		modle/weapon/angel_1101011/angel_10101	2200011	1	{"x":0,"y":30}	Angle_skill_1101
1101031	反转十香			30101	11	0	0	icon/role/dress/10103s.png	icon/role/roleSkin/10103.png	11		0	3	1	0	1	{500001:10000}			反转十香-灵装	21023	fight_10103	1	bdbox	0	1101013	icon/hero/face/1101014.png	icon/hero/face/1101014.png	icon/hero/smallface/10101.png	icon/hero/battle/10103.png	icon/hero/battle_end/10103.png	icon/hero/name/10101.png	Icon/role/face/up/101.png	icon/hero/backdrop/Fanzhuanshixiang.png	ui/629.png	3	1010301	1010301-1010302	111001	100110-100180-100190-100120-100140-100130-100160	100130		modle/weapon/angel_1101011/angel_10101	2200011	1	{"x":0,"y":30}	Angle_skill_1101
1102011	AST1折纸			30201	11	0	0	icon/role/dress/10201s.png	icon/role/roleSkin/10201.png	11		0	4	1	0	1	{500001:10000}			鸢一折纸-灵装	21007	fight_10201	1	bdbox	2	1102011	icon/hero/face/1102011.png	icon/hero/face/1102011.png	icon/hero/smallface/10201.png	icon/hero/battle/10201.png	icon/hero/battle_end/10201.png	icon/hero/name/10201.png	Icon/role/face/up/102.png	icon/hero/backdrop/Zhezhi.png	ui/628.png	4	1020101	1020101	110201	100210-100270-100280-100220-100240-100230-100250	100230		modle/weapon/angel_1102011/angel_10201	2200012	0.9	{"x":0,"y":-210}	Angle_skill_1102
1103011	四糸乃			30301	11	0	0	icon/role/dress/10301s.png	icon/role/roleSkin/10301.png	11		0	4	1	0	1	{500001:10000}			四糸乃-灵装	21009	fight_10301	0.9	bdbox	0	1103011	icon/hero/face/1103011.png	icon/hero/face/1103011.png	icon/hero/smallface/10301.png	icon/hero/battle/10301.png	icon/hero/battle_end/10301.png	icon/hero/name/10301.png	Icon/role/face/up/103.png	icon/hero/backdrop/Sixinai.png	ui/631.png	8	1030101	1030101	110301	100310-100320-100370-100380-100340-100330-100350	100330		modle/weapon/angel_1103011/angel_10301	2200013	0.9	{"x":0,"y":-30}	Angle_skill_1103
