ID	描述	图标	描述
id	tips	icon	describe
number	comment	string	number
int	comment	string	int
1	攻击型	icon/system/120.png	10021
2	生存型	icon/system/121.png	10022
3	辅助型	icon/system/122.png	10023
4	爆发	icon/system/129.png	10024
5	生命	icon/system/130.png	10025
6	连击	icon/system/131.png	10026
7	眩晕	icon/system/132.png	10027
8	闪避	icon/system/133.png	10028
9	冰冻	icon/system/134.png	10029
10	火焰	icon/system/135.png	10030
11	电击	icon/system/128.png	10031
12	护盾	icon/system/123.png	10032
13	破盾	icon/system/124.png	10033
14	恢复	icon/system/125.png	10034
15	移速	icon/system/126.png	10035
16	能量	icon/system/127.png	10036
