音效ID	所属角色（策划看）	音量1	1普通怪受击音效	音量2	2机械怪受击音效	音量3	3能量怪受击音效
id	name	volume1	resource1	volume2	resource2	volume3	resource3
number	string	number	string	number	string	number	string
int	string	int	string	int	string	int	string
1010101	夜刀神十香-普攻-轻	100	sound/battle_sound/10101/hitmusic/hitPerson_10101_1.mp3	100	sound/battle_sound/10101/hitmusic/hitMechan_10101_1.mp3	100	sound/battle_sound/10101/hitmusic/hitEnergy_10101_1.mp3
1010102	夜刀神十香-普攻-中	100	sound/battle_sound/10101/hitmusic/hitPerson_10101_2.mp3	100	sound/battle_sound/10101/hitmusic/hitMechan_10101_2.mp3	100	sound/battle_sound/10101/hitmusic/hitEnergy_10101_2.mp3
1010103	夜刀神十香-普攻-重	100	sound/battle_sound/10101/hitmusic/hitPerson_10101_3.mp3	100	sound/battle_sound/10101/hitmusic/hitMechan_10101_3.mp3	100	sound/battle_sound/10101/hitmusic/hitEnergy_10101_3.mp3
1010104	夜刀神十香-剑气-轻	100	sound/battle_sound/10101/hitmusic/hitPerson_10101_4.mp3	100	sound/battle_sound/10101/hitmusic/hitMechan_10101_4.mp3	100	sound/battle_sound/10101/hitmusic/hitEnergy_10101_4.mp3
1010105	夜刀神十香-剑气-中	100	sound/battle_sound/10101/hitmusic/hitPerson_10101_5.mp3	100	sound/battle_sound/10101/hitmusic/hitMechan_10101_5.mp3	100	sound/battle_sound/10101/hitmusic/hitEnergy_10101_5.mp3
1010106	夜刀神十香-剑气-重	100	sound/battle_sound/10101/hitmusic/hitPerson_10101_6.mp3	100	sound/battle_sound/10101/hitmusic/hitMechan_10101_6.mp3	100	sound/battle_sound/10101/hitmusic/hitEnergy_10101_6.mp3
1010107	夜刀神十香-砸地	100	sound/battle_sound/10101/hitmusic/hitPerson_10101_7.mp3	100	sound/battle_sound/10101/hitmusic/hitMechan_10101_7.mp3	100	sound/battle_sound/10101/hitmusic/hitEnergy_10101_7.mp3
1020101	AST折纸-普攻-轻	100	sound/battle_sound/10201/hitmusic/hitPerson_10201_1.mp3	100	sound/battle_sound/10201/hitmusic/hitMechan_10201_1.mp3	100	sound/battle_sound/10201/hitmusic/hitEnergy_10201_1.mp3
1020102	AST折纸-普攻-中	100	sound/battle_sound/10201/hitmusic/hitPerson_10201_2.mp3	100	sound/battle_sound/10201/hitmusic/hitMechan_10201_2.mp3	100	sound/battle_sound/10201/hitmusic/hitEnergy_10201_2.mp3
1020103	AST折纸-普攻-重	100	sound/battle_sound/10201/hitmusic/hitPerson_10201_3.mp3	100	sound/battle_sound/10201/hitmusic/hitMechan_10201_3.mp3	100	sound/battle_sound/10201/hitmusic/hitEnergy_10201_3.mp3
1020104	AST折纸-普攻-重+	100	sound/battle_sound/10201/hitmusic/hitPerson_10201_4.mp3	100	sound/battle_sound/10201/hitmusic/hitMechan_10201_4.mp3	100	sound/battle_sound/10201/hitmusic/hitEnergy_10201_4.mp3
1020105	AST折纸-导弹	100	sound/battle_sound/10201/hitmusic/hitPerson_10201_5.mp3	100	sound/battle_sound/10201/hitmusic/hitMechan_10201_5.mp3	100	sound/battle_sound/10201/hitmusic/hitEnergy_10201_5.mp3
1020106	AST折纸-地火	100	sound/battle_sound/10201/hitmusic/hitPerson_10201_6.mp3	100	sound/battle_sound/10201/hitmusic/hitMechan_10201_6.mp3	100	sound/battle_sound/10201/hitmusic/hitEnergy_10201_6.mp3
1020107	AST折纸-激光	100	sound/battle_sound/10201/hitmusic/hitPerson_10201_7.mp3	100	sound/battle_sound/10201/hitmusic/hitMechan_10201_7.mp3	100	sound/battle_sound/10201/hitmusic/hitEnergy_10201_7.mp3
1020108	AST折纸-子弹	100	sound/battle_sound/10201/hitmusic/hitPerson_10401_1.mp3	100	sound/battle_sound/10201/hitmusic/hitMechan_10401_1.mp3	100	sound/battle_sound/10201/hitmusic/hitEnergy_10401_1.mp3
1030101	四糸乃-冰锥-轻	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_1.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_1.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_1.mp3
1030102	四糸乃-冰锥-中	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_2.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_2.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_2.mp3
1030103	四糸乃-冰锥-重	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_3.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_3.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_3.mp3
1030104	四糸乃-冰刺-轻	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_4.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_4.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_4.mp3
1030105	四糸乃-冰刺-中	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_5.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_5.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_5.mp3
1030106	四糸乃-冰刺-重	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_6.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_6.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_6.mp3
1030107	四糸乃-冰冻光束	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_7.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_7.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_7.mp3
1030108	四糸乃-龙卷风-轻	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_8.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_8.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_8.mp3
1030109	四糸乃-龙卷风-中	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_9.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_9.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_9.mp3
1030110	四糸乃-龙卷风-重	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_10.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_10.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_10.mp3
1030111	四糸乃-寒冰爆炸	100	sound/battle_sound/10301/hitmusic/hitPerson_10301_11.mp3	100	sound/battle_sound/10301/hitmusic/hitMechan_10301_11.mp3	100	sound/battle_sound/10301/hitmusic/hitEnergy_10301_11.mp3
1040101	时崎狂三-子弹-轻	100	sound/battle_sound/10401/hitmusic/hitPerson_10401_1.mp3	100	sound/battle_sound/10401/hitmusic/hitMechan_10401_1.mp3	100	sound/battle_sound/10401/hitmusic/hitEnergy_10401_1.mp3
1040102	时崎狂三-子弹-中	100	sound/battle_sound/10401/hitmusic/hitPerson_10401_2.mp3	100	sound/battle_sound/10401/hitmusic/hitMechan_10401_2.mp3	100	sound/battle_sound/10401/hitmusic/hitEnergy_10401_2.mp3
1040103	时崎狂三-子弹-重	100	sound/battle_sound/10401/hitmusic/hitPerson_10401_3.mp3	100	sound/battle_sound/10401/hitmusic/hitMechan_10401_3.mp3	100	sound/battle_sound/10401/hitmusic/hitEnergy_10401_3.mp3
1040104	时崎狂三-激光	100	sound/battle_sound/10401/hitmusic/hitPerson_10401_4.mp3	100	sound/battle_sound/10401/hitmusic/hitMechan_10401_4.mp3	100	sound/battle_sound/10401/hitmusic/hitEnergy_10401_4.mp3
1040105	时崎狂三-踢飞-中	100	sound/battle_sound/10401/hitmusic/hitPerson_10401_5.mp3	100	sound/battle_sound/10401/hitmusic/hitMechan_10401_5.mp3	100	sound/battle_sound/10401/hitmusic/hitEnergy_10401_5.mp3
1040106	时崎狂三-踢飞-重	100	sound/battle_sound/10401/hitmusic/hitPerson_10401_6.mp3	100	sound/battle_sound/10401/hitmusic/hitMechan_10401_6.mp3	100	sound/battle_sound/10401/hitmusic/hitEnergy_10401_6.mp3
1050101	五河琴里-斧头-轻	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_1.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_1.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_1.mp3
1050102	五河琴里-斧头-中	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_2.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_2.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_2.mp3
1050103	五河琴里-斧头-重	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_3.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_3.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_3.mp3
1050104	五河琴里-火焰爆炸-中	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_4.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_4.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_4.mp3
1050105	五河琴里-火焰爆炸-重	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_5.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_5.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_5.mp3
