0	注释(名称)	名称文字ID	获取途径	道具类型	子类型	小类型	图标	背包类型	排序索引	星级	品质	总上限	是否支持叠加	单格上限	达总上限转换	是否可以批量使用	单次使用上限	出售收益	交易收益	描述	描述文字ID	价值(策划查看)	自动使用	使用消耗	失效时间	使用收益	是否播放出场效果	购买ID（ItemRecover表ID）	删除
id	name	nameTextId	accessId	superType	subType	smallType	icon	bagType	order	star	quality	totalMax	pileUp	gridMax	convertMax	batchUse	onceUseLimit	sellProfit	dealProfit	des	desTextId	cost	autoUse	useCast	outTime	useProfit	bornEffect	buyItemRecover	delete
number	comment	number	numbers	number	number	number	string	number	number	number	number	number	boolean	number	json	boolean	number	vjson	json	string	number	string	boolean	json	number	json	boolean	number	boolean
int	string	int		int	int	int	string	int	int	int	int	int	boolean	int	map	boolean	int	map	map	string	int	string	boolean	map	int	map		int	boolean
500001	金币	13001		5	0	0	icon/system/003.png	0	1		1	99999999	1			0				金币	13002		0		0		0	5	0
500002	钻石	13003		5	0	0	icon/system/005.png	0	1		1	99999999	1			0				钻石	13004		0		0		0		0
500003	友情点	13005	25	5	0	0	icon/system/079.png	0	1		1	99999999	1			0				友情点	13006		0		0		0		0
500004	体力	13007		5	0	0	icon/system/001.png	0	1		1	500	1			0				体力	13008		0		0		0	4	0
500005	主角经验	13009		5	0	0	icon/system/500005.png	0	1		1	99999999	1			0				主角经验	13010		0		0		0		0
500006	精灵经验	13011		5	0	0	icon/system/500005.png	0	1		1	99999999	1			0				精灵经验	13012		0		0		0		0
500007	好感度（当前看伴娘）	13013		5	0	0	icon/system/079.png	0	1		1	99999999	1			0				好感度	13014		0		0		0		0
500008	心情值	13015		5	0	0	icon/system/079.png	0	1		1	99999999	1			0				心情值	13016		0		0		0		0
500009	技能点	13017		5	0	0	icon/system/078.png	0	1		1	99999999	1			0				技能点	13018		0		0		0		0
500010	充值额度	13019		5	0	0	icon/system/003.png	0	1		1	99999999	1			0				充值额度	13020		0		0		0		0
500011	日常约会次数	13021		5	0	0	icon/system/003.png	0	1		1	3	1			0				日常约会次数	13022		0		0		0	2	0
500012	看板娘触摸次数	900039		5	0	0	icon/system/003.png	0	1		1	20	1			0				看板娘触摸次数	900039		0		0		0		0
500013	钻石（后台用，策划按老ID配）	13003		5	0	0	icon/system/005.png	0	1		1	99999999	1			0				钻石	13004		0		0		0		0
500014	活跃度	13023		5	0	0	icon/system/080.png	0	1		1	99999	1			0				日常任务活跃度	13024		0		0		0		0
500016	好感度（当前出战队伍角色的所有看伴娘）	13013		5	0	0	icon/system/003.png	0	1		1	99999999	1			0				好感度	13014		0		0		0		0
500017	游戏币	1900004		5	0	0	icon/item/goods/500017.png	0	1		1	99999	1			0				放学后一起去抓娃娃吧！	1900006		0		0		0		0
500018	天宫币	1900005		5	0	0	icon/item/goods/500018.png	0	1		1	99999999	1			0				在游乐场商店可以兑换各式各样的物品哦~	1900007		0		0		0		0
500019	专注	900744		5	0	0		0	1		1	999	1			0					900749		0		0				0
500020	魅力	900745		5	0	0		0	1		1	999	1			0					900750		0		0				0
500021	温柔	900746		5	0	0		0	1		1	999	1			0					900751		0		0				0
500022	知识	900747		5	0	0		0	1		1	999	1			0					900752		0		0				0
500023	幸运	900748		5	0	0		0	1		1	999	1			0					900753		0		0				0
500024	精力	13025		5	0	0	icon/item/goods/500024.png	0	1		1	999	1			0					13026		0		0				
500025	空舰燃油	3004022		31	0	0	icon/system/001.png	0	1		1	100	1			0				玩家进行质点世界事件消耗的体力	3004107		0		0		0	4	0
500026	质点世界精灵感染度	3004023		31	0	0		0	1		1	999	1			0				精灵参与质点世界中的战斗后受到感染	3004108		0		0		0	4	0
510101	1级经验道具	14001	1	6	1	0	icon/item/goods/510101.png	5	1	1	2	9999	1	999		0		{500001:100}		1级经验道具	14002		0		0	{"fix":{"items":[{"id":500006,"num":50}]}}	0		0
510102	2级经验道具	14003	2-1	6	1	0	icon/item/goods/510102.png	5	1	1	2	9999	1	999		0		{500001:100}		2级经验道具	14004		0		0	{"fix":{"items":[{"id":500006,"num":100}]}}	0		0
510103	3级经验道具	14005	2-3-1	6	1	0	icon/item/goods/510103.png	5	1	2	3	9999	1	999		0		{500001:300}		3级经验道具	14006		0		0	{"fix":{"items":[{"id":500006,"num":200}]}}	0		0
510104	4级经验道具	14007	2-3	6	1	0	icon/item/goods/510104.png	5	1	2	3	9999	1	999		0		{500001:300}		4级经验道具	14008		0		0	{"fix":{"items":[{"id":500006,"num":300}]}}	0		0
510105	5级经验道具	14009	2-3	6	1	0	icon/item/goods/510105.png	5	1	3	4	9999	1	999		0		{500001:500}		5级经验道具	14010		0		0	{"fix":{"items":[{"id":500006,"num":600}]}}	0		0
