id	界面名称	备注	对应功能id	参数	开放等级	未开放时的默认剧情{类型(1提示 2电话提示 3约会剧本)，文本id/剧情id}	连点次数	特殊剧情{类型，文本id/剧情id}
id	InterfaceName	comment	funcId	parameter	openLevel	story1	repeatTimes	story2
number	comment	comment	number	json	number	json	number	json
int	comment	comment	int	map	int	map	int	map
1	副本类型-剧情		1		1			
2	副本类型-日常		2		5	[2,1452001]		
3	召唤（主界面按钮）		3		5	[2,1452002]	3	[3,98400001]
4	好友（主界面按钮）	默认进入好友列表	4		9	[2,1452003]	3	[3,98200001]
5	约会（主界面按钮）		5		1			
6	精灵强化界面-精灵		6		1			
7	精灵强化界面-天使		7		10	[2,1452004]		
8	精灵强化界面-质点		8		5	[2,1452005]		
9	城建（主界面按钮）		9		5	[2,1452006]		
10	召唤主界面		10		5	[1,1451001]		
11	合成界面		11		10	[1,1451002]		
12	商店-普通		15	[100000]	7			
13	商店-联机商店		15	[120000]	20			
14	约会送礼物界面		14		1			
16	战斗准备界面		16		1			
17	7日签到界面		17		6	[1,1451005]	3	[3,98500001]
18	副本类型-活动		18		25	[2,1452007]		
19	xx任务（跳转用）		19		1			
20	城建建筑界面		20		6	[2,1452008]		
21	副本类型-精灵		21		99	[2,1452009]		
22	聊天（主界面按钮）		22		10	[2,1452010]		
23	图鉴（主界面按钮）		23		7	[1,1451006]		
24	社团（主界面按钮）		24		99	[2,1452011]	3	[3,98300001]
25	背包（主界面按钮）		25		1			
26	邮件（主界面按钮）		26		1			
27	商店-碎片		15	[110000]	7			
28	商店-无尽		15	[130000]	15			
29	商店（主界面按钮）	默认进入普通商店	29		7	[2,1452012]		
30	战斗（主界面按钮）		30		1			
31	充值（主界面按钮）		31		99	[2,1452013]	3	[3,98100001]
32	十香生日任务		32		1			
33	十香生日商店		33		1			
34	勋章馆		34		5			
35	商店-卡巴拉商店		15	[140000]	25	[1,1451009]		
36	商店-超市商店		15	[150000]	7	[1,1451010]		
