ID	任务所属质点世界(备注，策划看)	任务类型(1003-击杀特定敌人([[关卡ID，[怪物ID，怪物数量]]包括Boss)，1001-击杀敌人总数([关卡ID,敌人总数])，1002-任务道具([任务道具ID,道具数量])，1004-区域探索([需求数量])，1005-通过关卡([关卡ID]，包括占领据点，任务剧情-战斗类型，1006-触发事件(不填参数，包括任务剧情))	任务检测参数(每个任务或事件配置参数不一样，具体按文档里的设计来定)	事件ID(kabalaevent表中的ID)	任务奖励(每个阶段任务完成后的奖励)	过渡剧情(每个任务完成后播放)	任务引导事件剧情(根据格子出现数量触发)	任务描述id
id	worldName	missionType	checkParam	eventID	missionAward	stepPlot	missionGuidePlot	missionDes
number	comment	number	json	number	json	json	number	number
int		int	list	int	map			int
10010001		1003	[601004,1060,1]	1001001	{500001:10,500002:20}	{1022001:1}	{1022001:1}	3002201
10010002		1002	[500001,1]	1001002	{500001:50,500002:100}	{1022001:1}	{1022001:1}	3002202
10010003		1002	[500001,1]	1001003	{500001:100,500002:200}			3002203
10010004		1001	[601001,3]	1001004	{500001:100,500002:200}	{1022001:1}	{1022001:1}	3002205
10010005		1004	[1]	1001005	{500001:100,500002:200}	{1022001:1}	{1022001:1}	3002207
10020001		1003	[601003,1060,1]	1002001	{500001:100,500002:200}	{1022001:1}	{1022001:1}	3002201
10020002		1003	[601004,1010,2]	1002002	{500001:50,500002:100}	{1022001:1}	{1022001:1}	3002206
10020003		1003	[601004,1010,1]	1002003	{500001:50,500002:100}			3002206
10020004		1003	[601004,1010,3]	1002004	{500001:50,500002:100}			3002206
10020005		1002	[500001,50]	1002005	{500001:50,500002:100}	{1022001:1}	{1022001:1}	3002204
10020006		1005	[601004]	1002006	{500001:50,500002:100}	{1022001:1}	{1022001:1}	3002208
10020007		1005	[601004]	1002007	{500001:50,500002:100}	{1022001:1}	{1022001:1}	3002208
10020008		1006		1002008	{500001:50,500002:100}	{1022001:1}	{1022001:1}	3002209
