ID	经验值	体力上限	升级恢复体力	精力上限	精灵强化经验	功能开放提示
id	playerExp	maxEnergy	recovery	maxVigour	heroExp	openDes
number	number	number	number	number	number	string
int	long	int	int	int	long	
1	6	60	10	60	5	
2	6	61	10	61	10	
3	6	62	10	62	15	
4	6	63	10	63	20	
5	7	64	10	64	40	1453001
6	14	65	10	65	60	1453002
7	21	66	10	66	80	1453003
8	28	67	10	67	100	
9	35	68	10	68	120	1453004
10	42	69	10	69	140	1453005
11	64	70	10	70	200	
12	80	71	10	71	260	
13	96	72	10	72	320	
14	112	73	10	73	380	
15	128	74	10	74	440	
16	144	75	10	75	540	
17	160	76	10	76	640	
18	198	77	10	77	740	
19	216	78	10	78	840	
20	234	79	10	79	940	
21	261	80	10	80	1140	
22	288	81	10	81	1340	
23	315	82	10	82	1540	
24	342	83	10	83	1740	
25	369	84	10	84	1940	1453006
26	396	85	10	85	2240	
27	470	86	10	86	2540	
28	500	87	10	87	2840	
29	530	88	10	88	3140	
30	560	89	10	89	3440	
31	600	90	10	90	3840	
32	640	91	10	91	4240	
33	680	92	10	92	4640	
34	720	93	10	93	5040	
35	760	94	10	94	5440	
36	810	95	10	95	6040	
37	860	96	10	96	6640	
38	1001	97	10	97	7240	
39	1056	98	10	98	7840	
40	1111	99	10	99	8440	
41	1177	100	10	100	9240	
42	1243	101	10	101	10040	
43	1309	102	10	102	10840	
44	1375	103	10	103	11640	
45	1441	104	10	104	12440	
46	1518	105	10	105	13640	
47	1740	106	10	106	14840	
48	1824	107	10	107	16040	
49	1908	108	10	108	17240	
50	1992	109	10	109	18440	
51	2088	110	10	110	20040	
52	2184	111	10	111	21640	
53	2280	112	10	112	23240	
54	2376	113	10	113	24840	
55	2472	114	10	114	26440	
56	2580	115	10	115	28440	
57	2688	116	10	116	30440	
58	2796	117	10	117	32440	
59	2904	118	10	118	34440	
60		120	10	120		
