ID	对应看板娘	主线章节名称	主线章节标题	主线章节名称	章节开启条件（1好感度等级2副本进度）	分支奖励条件	分支奖励
id	role	nameDes	datingTitle	datingName	condition	branchCondition	branchReward
number	number	comment	number	number	vjson	number	json
int	int		int	int	map	int	map
1010101	101	十香主线1，剧本1	900754	900757			
1010102	101	十香主线1，奖励1				150	{530111:5}
1010201	101	十香主线2，剧本1	900755	900758	{1:2,2:1}		
1010202	101	十香主线2，奖励1				500	{530111:5}
1010301	101	十香主线3，剧本1	900756	900759	{1:3,2:1}		
1010302	101	十香主线3，奖励1				1500	{530111:5}
1020101	102	折纸主线1，剧本1	900754	900760			
1020102	102	折纸主线1，奖励1				150	{530111:5}
1020201	102	折纸主线2，剧本1	900755	900761	{1:2,2:1}		
1020202	102	折纸主线2，奖励1				500	{530111:5}
1020301	102	折纸主线3，剧本1	900756	900762	{1:3,2:1}		
1020302	102	折纸主线3，奖励1				1500	{530111:5}
1030101	103	四糸乃主线1，剧本1	900754	900763			
1030102	103	四糸乃主线1，奖励1				150	{530111:5}
1030201	103	四糸乃主线2，剧本1	900755	900764	{1:2,2:1}		
1030202	103	四糸乃主线2，奖励1				500	{530111:5}
1030301	103	四糸乃主线3，剧本1	900756	900765	{1:3,2:1}		
1030302	103	四糸乃主线3，奖励1				1500	{530111:5}
1040101	104	狂三主线1，剧本1	900754	900766			
1040102	104	狂三主线1，奖励1				150	{530111:5}
1040201	104	狂三主线2，剧本1	900755	900767	{1:2,2:1}		
1040202	104	狂三主线2，奖励1				500	{530111:5}
1040301	104	狂三主线3，剧本1	900756	900768	{1:3,2:1}		
1040302	104	狂三主线3，奖励1				1500	{530111:5}
1050101	105	琴里主线1，剧本1	900754	900769			
1050102	105	琴里主线1，奖励1				150	{530111:5}
1050201	105	琴里主线2，剧本1	900755	900770	{1:2,2:1}		
1050202	105	琴里主线2，奖励1				500	{530111:5}
1050301	105	琴里主线3，剧本1	900756	900771	{1:3,2:1}		
1050302	105	琴里主线3，奖励1				1500	{530111:5}
