编号	剧本号	顺序	名称	数据类型(只有CG0，正常对话1）	文本内容	跳转（选项）	路径1	人物展示1	位置1	动作1	人物面部1	大小1	表情路径1	表情展示1	表情动作1	路径2	人物展示2	位置2	动作2	人物面部2	大小2	路径3	人物展示3	位置3	动作3	人物面部3	大小3	电话表现路径	电话表现动作	语音	特效	背景	背景大小	背景出现	cg	CG锁定时间	bgm	视频	视频
id	scriptId	order	name	dataType	text	jump	rolePath1	roleName1	roleLocation1	action1	face1	roleScale1	expressionPath1	expressionName1	expressionAction1	rolePath2	roleName2	roleLocation2	action2	face2	roleScale2	rolePath3	roleName3	roleLocation3	action3	face3	roleScale3	phonePath	phoneAction	voice	effect	backGround	bgScale	appear	cg	cgTime	bgm	video1	video2
number	number	number	string	number	string	numbers	string	string	number	string	string	number	string	string	string	string	string	number	string	string	number	string	string	number	string	string	number	string	string	string	string	string	number	string	string	number	string	string	string
long	long	int	string	int	string	int[]	string	string	int	string	string	float	string	string	string	string	string	int	string	string	float	string	string	int	string	string	float	string	string	string	string	string	float	string	string	int	string	string	string
1001001	1001	1		1	我大概是在早晨八点十五分左右到达高中的。	1001002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_xuexiao.png	1	0	0	0	sound/bgm/date_002.mp3	video/cg_shijieguan2_1.mp4	0
1001002	1001	2		1	三十年前的[大型空间震]发生后，政府在附近的空地上建造了[实验都市。]	1001003	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001003	1001	3		1	眼前这所都立高校就是实验都市的学校之一。	1001004	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001004	1001	4		1	确认走廊上的班级表之后，我走进了明亮的教室。	1001005	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_xuexiaozoulang.png	1	2	0	0	0	0	0
1001005	1001	5		1	「二年四班么？」	1001006	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jiaoshi.png	1	2	0	0	0	0	0
1001006	1001	6	1	1	就在我确认座位表的时候， 不经意间从后方传来了平缓的声音。	1001007	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001007	1001	7	鸢一折纸	1	「是你？」	1001008	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001008	1001	8		1	我转过头，一位纤细的少女站在我面前。	1001009-1001010-1001011	modle/bust/bust_10204	bust_10204.model.json	2	id_pose_4	id_look_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
