怪物类型	名称	怪物基础属性	成长属性
id	name	baseAttr	upAttr
number	string	string	string
long	string	map	map
11	障碍物	{1:100,2:0,3:0,6:0,505:0,11:0,516:0}	{1:1,2:0,3:0}
1000	测试怪物	{1:60,2:150,3:30,6:10000,505:10000,11:30000,516:5000}	{1:10,2:30,3:4}
1001	【简单】普通怪近战防御	{1:32500,2:245,3:150,505:9000,506:0,507:500,508:0,6:10000,11:18000,516:0}	{1:8125,2:60,3:37,505:2,506:2,507:2,508:2,6:0,11:0}
1002	【简单】普通怪近战爆发	{1:20000,2:490,3:120,505:9000,506:0,507:550,508:0,6:10000,11:20000,516:0}	{1:5000,2:121,3:29,505:2,506:2,507:2,508:1,6:0,11:0}
1003	【简单】普通怪近战平衡	{1:25000,2:350,3:150,505:9000,506:0,507:500,508:0,6:10000,11:20000,516:0}	{1:6250,2:87,3:37,505:2,506:2,507:2,508:2,6:0,11:0}
1004	【简单】普通怪远程爆发	{1:20000,2:490,3:120,505:9000,506:0,507:525,508:0,6:10000,11:19000,516:0}	{1:5000,2:121,3:29,505:2,506:2,507:2,508:2,6:0,11:0}
1005	【简单】普通怪远程平衡	{1:27500,2:385,3:120,505:9000,506:0,507:500,508:0,6:10000,11:19000,516:0}	{1:6875,2:95,3:29,505:2,506:2,507:2,508:2,6:0,11:0}
1006	【简单】普通怪远程风筝	{1:30000,2:350,3:120,505:8550,506:0,507:450,508:0,6:10000,11:22000,516:0}	{1:7500,2:87,3:29,505:1,506:2,507:1,508:1,6:0,11:0}
1007	【简单】普通怪近战缓慢	{1:37500,2:420,3:150,505:8100,506:0,507:500,508:0,6:10000,11:12000,516:0}	{1:9375,2:104,3:37,505:1,506:1,507:2,508:2,6:0,11:0}
1008	【简单】普通怪近战敏捷	{1:25000,2:315,3:105,505:9900,506:0,507:600,508:0,6:10000,11:22000,516:0}	{1:6250,2:78,3:25,505:2,506:2,507:2,508:1,6:0,11:0}
1009	【简单】普通怪近战逃跑	{1:57500,2:350,3:15,505:9000,506:0,507:500,508:0,6:10000,11:30000,516:0}	{1:14375,2:87,3:3,505:2,506:2,507:2,508:0,6:0,11:0}
