怪池id	怪池描述(策划看)	怪池(怪物)难度-备注	怪池类型(1-具体怪物，2-怪物类型)	怪物ID或怪物类型ID(由前面怪池类型决定，怪物类型由monster表中敌人类型、生物类型和阵营类型组合)
id	nameLook	poolDifficulty	poolType	data
number	string	string	number	numbers
int	string	string	int	int[]
1001	测试用		1	1010-1020-1050-1060-1110-1120-1150-1160
1002	测试用		2	1-2-2
				
				
				
				
10101	低阶近战怪池		1	61010-62000-63000
10102	低阶远程怪池		1	61020-62020-63010
10103	低阶综合怪池		1	61050-63020
10201	高阶近战怪池		1	61060-62030-63030
10202	高阶远程怪池		1	61070-62050
10203	高阶综合怪池		1	61080-62040
10301	低阶AST怪池		1	61010-61020-61050
10302	低阶机械怪池		1	62000-62020
10303	低阶DEM怪池		1	63000-63010-63020
10304	低阶能量怪池		1	64000-64010-64020
10401	高阶AST怪池		1	61060-61070-61080
10402	高阶机械怪池		1	62030-62040-62050
10403	高阶DEM怪池		1	63030
10404	高阶能量怪池		1	64030-64040-64050
10501	精英怪池		1	62060-620001
10601	精灵(Boss)怪池		1	620002-624001-625001-626001-627001-628001-629001
11601	精灵(Boss)怪池		1	620102-624101-625101-626101-627101-628101-629101
12601	精灵(Boss)怪池		1	620202-624201-625201-626201-627201-628201-629201
