刷怪ID	关卡备注（策划看）	关卡备注（策划看）	怪物ID	朝向	怪池ID(怪池ID+怪池刷出怪物数量)	等级（通过skillEffect触发的怪物等级跟随召唤者）	波次	刷怪器类型(1-常规，即现有类型；2-循环，3-定时，4-极限)	刷怪轮数(以所有波次刷完为1轮)	定时(循环刷怪，极限刷怪的下一轮怪刷出的等待时间；定时刷怪刷出下一轮怪的间隔时间)	刷怪暂停条件类型(1-击杀能力检测，2-数量上限检测)	刷怪暂停条件类型参数(击杀能力检测填间隔时间，单位秒；数量上限检测填存活怪物数量上限)	刷怪位置（1随机刷新，2地图中心刷新，3地图左侧刷新，4地图右侧刷新）	是否预警	助战角色是否出现（0或不配时不刷新助战角色。1刷新助战角色）
id	name	namelevel	fixedMonster	finalDir	randomMonster	level	wave	type	round	timing	pauseType	pauseParam	place	warning	helpPerson
number	string	string	numbers	numbers	vjson	numbers	numbers	number	number	number	number	number	numbers	boolean	boolean
int	string	string	int[]		map	int[]	int[]	int	int	int	int	int	int[]		
1011		新1-1简单波1	2	2		5	1	1	1				1	0	
1012		新1-1简单波2	1-1	2		5	1	1	1				1	0	
1013		新1-1简单波2.2	1-1	2		5	1	1	1				1	0	
1014		新1-1简单波3	4-4-4-4	4-2-4-2		5	1	1	1				1	0	
1015		新1-1简单波4	3	2		5	1	1	1				1	0	1
1111		新1-2简单波1	1010-1010-1010-1010	2		5	1	1	1				1	0	
1112		新1-2简单波2	5-5-5-5	4		5	1	1	1				1	0	
1113		新1-2简单波3	6-1010-1010-1010	2		5	1	1	1				1	0	
1114		新1-2简单波4	5-5-5	4-4-4		5	1	1	1				1	0	1
1211		新1-3简单波1	1010-1010-1060-1020	2		7	1	1	1				1	0	
1212		新1-3简单波2	1010-1010-1060-1020	2		7	1	1	1				1	0	
1213		新1-3简单波4	3	2		7	1	1	1				1	0	
1214		新1-3简单波5	1010-1010-1082-1050	2		7	1	1	1				1	0	
1215		新1-3简单波6	1020-1020	2		7	1	1	1				1	0	1
1511		新1-5简单波1	1082-1050-1050	4-2-2		8	1	1	1				1	0	
1512		新1-5简单波2	1010-1010-1010-1020-1020	4		8	1	1	1				1	0	
1513		新1-5简单波3	1010-1010-1010-1082-1082	2		8	1	1	1				1	0	
1514		新1-5简单波4	1010-1010-1010-1050-1060-1060	2		8	1	1	1				1	0	1
2111		新2-1简单波1	1010-1010-1010-1020	2		10	1	1	1				1	0	
2112		新2-1简单波2	1010-1010-1010-1010-1050-1050	2		10	1	1	1				1	0	
2113		新2-1简单波3	1010-1010-1010-1020-1020	2		10	1	1	1				1	0	
2114		新2-1简单波4	1010-1010-1010-1060-1050	2		10	1	1	1				1	0	1
2211		新2-2简单波1	1010-1010-1050-1050	2		10	1	1	1				1	0	
2212		新2-2简单波2	1082-1010-1050-1082-1010-1050	2-2-2-4-4-4		10	1	1	1				1	0	
2213		新2-2简单波3	1083-1020-1050-1083-1020-1050	2-2-2-4-4-4		10	1	1	1				1	0	1
2214		新2-2简单波4	20001-1282-1283	2		10	1	1	1				1	1	1
2311		新2-5简单波1（雪地1）	1010-1010-1020-1080-1080	2		15	1	1	1				1	0	
2312		新2-5简单波2	1070-1010-1010-1020-1080	2		15	1	1	1				1	0	
2313		新2-5简单波3	1060-1010-1060-1010-1080	2		15	1	1	1				1	0	
2314		新2-5简单波4	20001	2		15	1	1	1				1	1	1
2315		新2-5简单波5	1282-1283-1284	3		15	1	1	1				1	0	1
2411		新2-1简单波1	1010-1010-1020-1020	2		12	1	1	1				1	0	
2412		新2-1简单波2	1010-1010-1010-1020-1050	2		12	1	1	1				1	0	
2413		新2-1简单波3	1010-1010-1050-1070	2		12	1	1	1				1	0	
2414		新2-1简单波4	1020-1020-1082-1083-1010-1010	2-2-2-4-4-4		12	1	1	1				1	1	1
2511		新2-7简单波1	2000-2000-2000-2010	2		13	1	1	1				1	0	
2512		新2-7简单波2	2000-2000-2000-2020	4		13	1	1	1				1	0	
2513		新2-7简单波3	2010-2010-2020-2020	2		13	1	1	1				1	0	
2514		新2-7简单波4	2010-2010-2010-2020	2		13	1	1	1				1	0	1
2711		新2-5简单波1	1010-1010-1020-1050	2		15	1	1	1				1	0	
2712		新2-5简单波2	1010-1010-1010-1020-1080	2		15	1	1	1				1	0	
2713		新2-5简单波3	1010-1010-1050-1070	2		15	1	1	1				1	0	
2714		新2-5简单波4	1060-1010-1010-1080-1020-1020	2		15	1	1	1				1	0	1
2715		新2-5简单波5	1082-1083-1082-1083	2-4-2-4		15	1	1	1				1	1	1
2811		新2-8简单波1	1311-1311-1311-1350-1350	2		15	1	1	1				1	0	
2812		新2-8简单波2	1311-1311-1311-1320-1320-1320	2		15	1	1	1				1	0	
2813		新2-8简单波3	1361-1312-1321-1361-1312-1321	4-2-4-2-4-2		15	1	1	1				1	0	
2814		新2-8简单波4	1360-1320-1311-1360-1320-1311	4-4-4-2-2-2		15	1	1	1				1	0	
2815		新2-8简单波5	1380-1350-1311-1311	4		15	1	1	1				1	1	1
2816		新2-8简单波5-1	1380-1350-1311-1311	2		15	1	1	1				1	0	
2817		新2-8简单波6	10001	4		15	1	1	1				1	0	
2911		新2-7简单波1	2000-2000-2000-2010	2		13	1	1	1				1	0	
2912		新2-7简单波2	2000-2000-2000-2020	2		13	1	1	1				1	0	
2913		新2-7简单波3	2010-2010-2020-2020-2000-2000	4		13	1	1	1				1	0	
2914		新2-7简单波4	2010-2010-2010-2020-2000-2000	4		13	1	1	1				1	0	1
101101		新1-1困难波1	1080-1050-1050	2		15	1	1	1				1	0	
101102		新1-1困难波2	1010-1010-1010-1020-1020	2		15	1	1	1				1	0	
101103		新1-1困难波3	1010-1010-1010-1082-1082	2		15	1	1	1				1	0	
101104		新1-1困难波4	1010-1010-1010-1050-1060-1060	2		15	1	1	1				1	0	
101201		新1-2困难波1	1010-1010-1010-1020	2		15	1	1	1				1	0	
101202		新1-2困难波2	1010-1010-1010-1010-1050-1050	2		15	1	1	1				1	0	
101203		新1-2困难波3	1010-1010-1010-1020-1020	2		15	1	1	1				1	0	
