音符ID	音符组ID	音符轨道	音符敲击时间(毫秒)	音符路程时间(毫秒)	音符类型（1单音符，2长音符）	长音符参数（长音符的音符个数）	音符积分（perfect、cool、bad）	音符判定区域（perfect、cool、bad）
id	symbolGroup	pathway	knockTime	processTime	symbolType	longData	score	area
number	number	number	number	number	number	numbers	numbers	numbers
int	int	int	int	int	int	int[]	int[]	int[]
1	101	1	2000	800	1		300-250-200	20-40-75
2	101	5	2500	800	1		300-250-200	20-40-75
3	101	2	3000	800	1		300-250-200	20-40-75
4	101	5	3500	800	1		300-250-200	20-40-75
5	101	4	4000	800	1		300-250-200	20-40-75
6	101	1	4500	800	1		300-250-200	20-40-75
7	101	5	5000	800	1		300-250-200	20-40-75
8	101	3	5500	800	1		300-250-200	20-40-75
9	101	2	6000	800	1		300-250-200	20-40-75
10	101	1	6500	800	2	5-100	100-80-50	20-40-75
11	101	2	7000	800	1		300-250-200	20-40-75
12	101	1	7500	800	1		300-250-200	20-40-75
13	101	3	8000	800	1		300-250-200	20-40-75
14	101	1	8500	800	1		300-250-200	20-40-75
15	101	4	9000	800	1		300-250-200	20-40-75
16	101	1	9500	800	1		300-250-200	20-40-75
17	101	5	10000	800	1		300-250-200	20-40-75
18	101	3	10500	800	1		300-250-200	20-40-75
19	101	2	11000	800	1		300-250-200	20-40-75
20	101	4	11500	800	2	5-100	100-80-50	20-40-75
21	101	1	12000	800	1		300-250-200	20-40-75
22	101	2	12500	800	1		300-250-200	20-40-75
23	101	3	13000	800	1		300-250-200	20-40-75
24	101	1	13500	800	1		300-250-200	20-40-75
25	101	4	14000	800	1		300-250-200	20-40-75
26	101	1	14500	800	1		300-250-200	20-40-75
27	101	5	15000	800	1		300-250-200	20-40-75
28	101	4	15500	800	1		300-250-200	20-40-75
29	101	2	16000	800	1		300-250-200	20-40-75
30	101	1	16500	800	1		300-250-200	20-40-75
