房间id	房间名称	房间名称	建筑名称	房间图标	建筑名称	房间解锁条件	图标坐标点	显示头像数量	同时需打开建筑	地图名称	阻挡数据	场景交互	事件提醒坐标点x	事件提醒坐标点y	房间功能	功能解锁条件	兼职等级	刷新兼职数量
id	name	nameId	buildNameDes	houseIcon	buildName	roomOpenType	iconPoint	headNum	openBoth	mapName	blockInfo	interaction	eventPosX	eventPosy	buildEffect	effectOpenType	jobLevels	jobNum
number	comment	number	comment	string	number	json	number	number	numbers	string	json	json	number	number	numbers	json	numbers	number
int		int			int	map	int		int[]			map	int	int	int[]	map	int[]	int
101	浴场	12039	浴场	ui/newCity/city_job/027.png	12183	{}	6003	3		101	{2004:4002,2001:4001}	{6001: {"sit":1},6002: {"rest":1},6003: {"sit":0},6004: {"sit":1}}						
102	饰品店	12040	商业街	ui/newCity/city_job/027.png	12184	{}	6005	4	106-102-103	109	{2002:4004,2005:4001}	{6001: {"rest":1}}			1	{1:{1:3}}	120-360-1200-2400	3
103	玩偶店	12041	商业街	ui/newCity/city_job/028.png	12184	{}	6005	4	106-102-103	110	{2004:4003,2003:4004,2007:4001,2014:4002,2013:4005}	{6001: {"sit":1},6002: {"sit":0},6003: {"sit":1},6004: {"sit":0}}			1	{1:{1:3}}	120-360-1200-2400	3
104	花店	12042	花园餐厅	ui/newCity/city_job/023.png	12185	{}	6002	3	104-105	101	{2004:4002,2001:4001}	{6001: {"sit":1},6002: {"rest":1},6003: {"sit":0},6004: {"sit":1}}			1	{1:{1:4}}	120-360-1200-2400	3
105	豪华餐厅	12043	花园餐厅	ui/newCity/city_job/025.png	12185	{}	6002	3	104-105	109	{2002:4004,2005:4001}	{6001: {"rest":1}}			1	{1:{1:4}}	120-360-1200-2400	3
106	面包店	12044	商业街	ui/newCity/city_job/024.png	12184	{}	6005	4	106-102-103	110	{2004:4003,2003:4004,2007:4001,2014:4002,2013:4005}	{6001: {"sit":1},6002: {"sit":0},6003: {"sit":1},6004: {"sit":0}}			1	{1:{2:101103}}	120-360-1200-2400	3
107	饮品店	12045	饮品店	ui/newCity/city_job/027.png	12186	{}	6015	3		101	{2004:4002,2001:4001}	{6001: {"sit":1},6002: {"sit":0},6003: {"sit":1},6004: {"sit":0}}			1	{1:{2:101103}}	120-360-1200-2400	3
108	精灵公寓1F	12046	精灵公寓	ui/newCity/city_main/004.png	12187	{}	6010	4	108-109-110	101	{2004:4002,2001:4001}	{6001: {"sit":1},6002: {"rest":1},6003: {"sit":0},6004: {"sit":1}}						
109	精灵公寓2F	12047	精灵公寓	ui/newCity/city_main/004.png	12187	{}	6010	4	108-109-110	109	{2002:4004,2005:4001}	{6001: {"rest":1}}						
110	精灵公寓3F	12048	精灵公寓	ui/newCity/city_main/004.png	12187	{}	6010	4	108-109-110	110	{2004:4003,2003:4004,2007:4001,2014:4002,2013:4005}	{6001: {"sit":1},6002: {"sit":0},6003: {"sit":1},6004: {"sit":0}}						
111	住宅	12049	住宅	ui/newCity/city_job/027.png	12188	{}	6016	4		101	{2004:4002,2001:4001}	{6001: {"sit":1},6002: {"rest":1},6003: {"sit":0},6004: {"sit":1}}						
112	度假沙滩	12050	度假沙滩	ui/newCity/city_job/027.png	12189	{}	6014	3		109	{2002:4004,2005:4001}	{6001: {"rest":1}}						
201	超市	12051	商场	ui/newCity/city_job/027.png	12190	{}	6001	3		110	{2004:4003,2003:4004,2007:4001,2014:4002,2013:4005}	{6001: {"sit":1},6002: {"sit":0},6003: {"sit":1},6004: {"sit":0}}						
202	图书馆	12052	图书馆	ui/newCity/city_job/027.png	12191	{}	6006	2		110	{2004:4003,2003:4004,2007:4001,2014:4002,2013:4005}	{6001: {"sit":1},6002: {"sit":0},6003: {"sit":1},6004: {"sit":0}}						
203	学校1F	12053	学校	ui/newCity/city_main/202.png	12192	{}	6008	4	203-204	101	{2004:4002,2001:4001}	{6001: {"sit":1},6002: {"rest":1},6003: {"sit":0},6004: {"sit":1}}						
204	学校2F	12054	学校	ui/newCity/city_main/202.png	12192	{}	6008	4	203-204	109	{2002:4004,2005:4001}	{6001: {"rest":1}}						
205	体育馆	12055	体育馆	ui/newCity/city_job/027.png	12193	{}	6009	2		110	{2004:4003,2003:4004,2007:4001,2014:4002,2013:4005}	{6001: {"sit":1},6002: {"sit":0},6003: {"sit":1},6004: {"sit":0}}						
206	公园	12056	公园	ui/newCity/city_job/027.png	12194	{}	6004	3		101	{2004:4002,2001:4001}	{6001: {"sit":1},6002: {"rest":1},6003: {"sit":0},6004: {"sit":1}}						
207	神社	12057	神社	ui/newCity/city_job/027.png	12195	{}	6013	3		109	{2002:4004,2005:4001}	{6001: {"rest":1}}						
208	游乐场	12058	游乐场	ui/newCity/city_job/027.png	12196	{}	6007	3		110	{2004:4003,2003:4004,2007:4001,2014:4002,2013:4005}	{6001: {"sit":1},6002: {"sit":0},6003: {"sit":1},6004: {"sit":0}}						
