	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	奖励指定精灵游戏资源 格式：精灵id-资源id-数量  目前只支持添加好感度，若后期有其他资源奖励，再做调整 
id	scriptId	datingType	condition	weighting	chance	name	text	textShowType	specTextConfig	textBottom	optionType	jumpConfig	insertPicture	insertPicture1	insertPicture2	insertPicture3	jump	comment	addSign	delSign	modelId1	roleShowType1	roleDisaprType1	action1	isIgonreAction1	face1	emodelId1	expressionAction1	roleLocation1	locOffset1	roleScale1	modelId2	roleShowType2	roleDisaprType2	action2	isIgonreAction2	face2	emodelId2	expressionAction2	roleLocation2	locOffset2	roleScale2	modelId3	roleShowType3	roleDisaprType3	action3	isIgonreAction3	face3	emodelId3	expressionAction3	roleLocation3	locOffset3	roleScale3	windowEfxPara	windowEffects	phonePath	phoneAction	effect	backGround	appear	bgManage	bgScale	bgTime	bgOffset	bgm	bgmSize	voice	roleLipAnime	sceneSoundEffect	soundEffect	cg	cgTime	eventType	score	displayScore	isVisibleUI	autoJump	memory	aside	message	reward	repeatReward	completionTimes	video1	video2	endType	nodeCost	nodeReward	game	gameRules	radText1	radText2	outsideType	outsideUnlock	outsideReward	outsideEnd	outsideRepeat	roleReward
number	number	number	json	number	number	string	string	number	json	number	number	json	json	string	string	string	numbers	comment	numbers	numbers	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	numbers	numbers	string	string	string	string	string	number	number	number	json	string	number	string	number	string	string	string	number	number	number	number	number	boolean	boolean	boolean	number	json	json	number	string	string	number	json	json	number	json	string	string	boolean	number	json	json	json	numbers
int	int	int	map	int	int												int[]		int[]	int[]																																																					int	int							map	map	int			int	map	map	int				boolean	int	map	map	map	int[]
1022001	10022	7	{}		100			1	{}				{}				1022002													{}											{}											{}							scene/bg/bg_pohuaixuexiao2.png	2		1.25	-1	{}																	{}	{}													{}	{}	{}	
1022002	10022	7	{}		100		给精灵取名为十香的第二天，我像往常一样来到学校上课。	1	{}				{}				1022003													{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022003	10022	7	{}		100		看着空荡荡的学校，我不禁为自己的愚蠢叹了口气。	1	{}				{}				1022004													{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022004	10022	7	{}		100		早就应该猜到会停课的……昨天学校后方发生了空间震。	1	{}				{}				1022005													{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022005	10022	7	{}		100		我漫无目的地走着，等回过神，发现走到了昨天与十香见面的地方。	1	{}				{}				1022006													{}											{}											{}												{}	sound/bgm/date_014.mp3	70															{}	{}													{}	{}	{}	
1022006	10022	7	{}		100		损毁的路面、沦为废墟的建筑……@目光所及之处布满了焦黑的爆炸痕迹，水泥碎块散落得到处都是，@眼前的这幅惨况，就是力量与力量相撞之后的场景。	1	{}				{}				1022007													{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022007	10022	7	{}		100		即便如此，我还是无法将她……将十香，与他们口中的[冷酷的怪物]联系起来。	1	{}				{}				1022008													{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022008	10022	7	{}		100		正打算离开学校回家，突然听见有人呼唤我的名字。	1	{}				{}				1022009													{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022009	10022	7	{}		100	十香	「我来了！等我很久了吗？」	1	{}				{}				1022010				10101	2		id_pose_2		id_look_7			2	{}	1.5										{}											{}												{}				1													{}	{}													{}	{}	{}	
1022010	10022	7	{}		100	1	「哇啊啊啊！十、十香……？！」	1	{}				{}				1022011				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022011	10022	7	{}		100		歪着头看向我的少女就站在学校门口，身上的礼服与四周的一切格格不入。	1	{}				{}				1022012				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022012	10022	7	{}		100		因为空间震警报并没有响起，我还以为眼前的人是幻觉。	1	{}				{}				1022013-1022014-1022015	5			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022013	10022	7	{}		100		「你、你在这里做什么啊？」	1	{}				{}				1022016	1			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022014	10022	7	{}		100		「唔……难道你是昨天的精灵？」	1	{}				{}				1022016	1			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022015	10022	7	{}		100		「完全没发觉……你是什么时候出现的？」	1	{}				{}				1022016	1			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022016	10022	7	{}		100		话音刚落，少女便露出不快的表情。	1	{}				{}				1022017				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022017	10022	7	{}		100	十香	「真是的，不是你邀请我的么？没错，说要，唔，约会什么的。」	1	{}				{}				1022018				1			id_pose_2		id_look_6				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1022018	10022	7	{}		100	1	「你还记得啊……」	1	{}				{}				1022019				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022019	10022	7	{}		100	十香	「什么呀！难不成，你昨天是在耍我吗？嗯？？」	1	{}				{}				1022020				1			id_pose_3		id_look_6				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1022020	10022	7	{}		100	1	「不！！！当然不是那样……」	1	{}				{}				1022021				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1022021	10022	7	{}		100	十香	「哼~算了。」	1	{}				{}				1022022				1			id_pose_2		id_look_4				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
