	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型(默认:普通;1:限时选项;2:选择UI框;3:选择图片;4:CG区域选项;5:单选)	特殊选项(addjump:延时添加选项;deljump:延时删除选项;image;图片选择;cg;CG区域选择)	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	添加标记	删除标记	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）
id	scriptId	datingType	condition	weighting	chance	name	text	textShowType	specTextConfig	textBottom	optionType	jumpConfig	insertPicture	insertPic1	insertPic2	insertPic3	jump	addSign	delSign	comment	modelId1	roleShowType1	roleDisaprType1	action1	isIgonreAction1	face1	emodelId1	expressionAction1	roleLocation1	locOffset1	roleScale1	rolePath2	roleShowType2	roleDisaprType2	action2	isIgonreAction2	face2	emodelId2	expressionAction2	roleLocation2	locOffset2	roleScale2	modelId3	roleShowType3	roleDisaprType3	action3	isIgonreAction3	face3	emodelId3	expressionAction3	roleLocation3	locOffset3	roleScale3	windowEfxPara	windowEffects	phonePath	phoneAction	effect	backGround	appear	bgManage	bgScale	bgTime	bgOffset	bgm	bgmSize	voice	roleLipAnime	sceneSoundEffect	soundEffect	cg	cgTime	eventType	score	displayScore	isVisibleUI	autoJump	memory	aside	message	reward	repeatReward	completionTimes	video1	video2	endType	nodeCost	nodeReward	game	gameRules	radText1	radText2	outsideType	outsideUnlock	outsideReward	outsideEnd	outsideRepeat
number	number	number	json	number	number	string	string	number	json	number	number	json	json	string	string	string	numbers	numbers	numbers	comment	number	number	number	string	boolean	string	string	string	number	json	number	string	number	number	string	boolean	string	string	string	number	json	number	number	number	number	string	boolean	string	string	string	number	json	number	numbers	numbers	string	string	string	string	string	number	number	number	json	string	number	string	number	string	string	string	number	number	number	number	number	boolean	boolean	boolean	number	string	string	number	string	string	number	json	json	number	json	string	string	boolean	number	json	json	json
int	int	int	map	int	int												int[]	int[]	int[]																																																						int	int							map	map	int			int	map	map	int	map			boolean	int	map	map	map
115001001	123100001	5	{}		100		清晨的第一缕阳光洒在了我的脸上，轻柔而温暖		{}			{}	{}				115001002													{}											{}											{}							scene/bg/bg_shidaowoshi.png	2		1		{}	sound/bgm/date_001.mp3																{}	{}													{}	{}	{}
115001002	123100001	5	{}		100		我就像是被汽车碾过的路面一样，感受着灵魂的升华		{}			{}	{}				115001003													{}											{}											{}										1		{}																	{}	{}													{}	{}	{}
115001003	123100001	5	{}		100		等等，这个奇怪的比喻是怎么回事？		{}			{}	{}				115001004													{}											{}											{}										1		{}																	{}	{}													{}	{}	{}
115001004	123100001	5	{}		100		还有，为什么我呼吸很不顺畅啊，我是不是要死了？		{}			{}	{}				115001005													{}											{}											{}										1		{}																	{}	{}													{}	{}	{}
115001005	123100001	5	{}		100		我挣扎着从梦中醒来，看见琴里面无表情地坐在我的胸口。		{}			{}	{}				115001006													{}											{}											{}										1		{}																	{}	{}													{}	{}	{}
115001006	123100001	5	{}		100	1	「你在干嘛啦，时间还很早，这美好的清晨破碎了啊。」		{}			{}	{}				115001007				10504			id_pose_1		id_look_4			2	{}	1.4										{}											{}										1		{}																	{}	{}													{}	{}	{}
115001007	123100001	5	{}		100		琴里的裙子只到大腿，所以我一眼可以看见里面的颜色。		{}			{}	{}				115001008				1								2	{}	1.4										{}											{}										1		{}																	{}	{}													{}	{}	{}
