ID	系统分类	技能名字	技能名字策划用	效果图标	效果描述	效果描述策划用	包含buff（0通用，英雄ID只针对该角色）	包含的属性加成
id	genre	name	name2	icon	des	des2	buffs	attribute
number	comment	string	comment	string	string	comment	json	json
int	comment	string	comment	string	string	comment	map	map
29	组合属性	410001	愚者		411001	格挡提高2%	{0:[2011]}	{504:200}
30	组合属性	410001	愚者		411002	格挡提高4%	{0:[2012]}	{504:400}
31	组合属性	410001	愚者		411003	格挡提高6%	{0:[2013]}	{504:600}
32	组合属性	410001	愚者		411004	格挡提高8%	{0:[2014]}	
33	组合属性	410001	愚者		411005	格挡提高10%	{0:[2015]}	
34	组合属性	410002	魔术师		411006	穿透提高2%	{0:[2021]}	
35	组合属性	410002	魔术师		411007	穿透提高4%	{0:[2022]}	
36	组合属性	410002	魔术师		411008	穿透提高6%	{0:[2023]}	
37	组合属性	410002	魔术师		411009	穿透提高8%	{0:[2024]}	
38	组合属性	410002	魔术师		411010	穿透提高10%	{0:[2025]}	
39	组合属性	410003	女祭司		411011	生命值提高2%	{0:[2031]}	
40	组合属性	410003	女祭司		411012	生命值提高4%	{0:[2032]}	
41	组合属性	410003	女祭司		411013	生命值提高6%	{0:[2033]}	
42	组合属性	410003	女祭司		411014	生命值提高8%	{0:[2034]}	
43	组合属性	410003	女祭司		411015	生命值提高10%	{0:[2035]}	
44	组合属性	410004	女皇		411016	攻速提高2%	{0:[2041]}	
45	组合属性	410004	女皇		411017	攻速提高4%	{0:[2042]}	
46	组合属性	410004	女皇		411018	攻速提高6%	{0:[2043]}	
47	组合属性	410004	女皇		411019	攻速提高8%	{0:[2044]}	
48	组合属性	410004	女皇		411020	攻速提高10%	{0:[2045]}	
49	组合属性	410005	教皇		411021	防御提高2%	{0:[2051]}	
50	组合属性	410005	教皇		411022	防御提高4%	{0:[2052]}	
51	组合属性	410005	教皇		411023	防御提高6%	{0:[2053]}	
52	组合属性	410005	教皇		411024	防御提高8%	{0:[2054]}	
53	组合属性	410005	教皇		411025	防御提高10%	{0:[2055]}	
54	组合属性	410006	皇帝		411026	抗暴提高2%	{0:[2061]}	
55	组合属性	410006	皇帝		411027	抗暴提高4%	{0:[2062]}	
56	组合属性	410006	皇帝		411028	抗暴提高6%	{0:[2063]}	
57	组合属性	410006	皇帝		411029	抗暴提高8%	{0:[2064]}	
