id	所属看板娘	图鉴类型（10.CG，103.事件，8.礼物，4.时装）	排序	CG	事件ID	事件名称	事件注释	礼物	时装
id	roleId	pokdexType	order	cgId	eventId	eventTitle	eventDesc	giftId	dressId
number	number	number	number	number	number	string	string	number	number
int	int	int	int	int	int	string	string	int	int
1	101	10	1	540001	0	0	0	0	0
2	101	10	2	540002	0	0	0	0	0
3	101	10	3	540003	0	0	0	0	0
4	101	10	4	540004	0	0	0	0	0
5	101	10	5	540005	0	0	0	0	0
6	101	10	6	540006	0	0	0	0	0
7	101	10	7	540019	0	0	0	0	0
8	101	10	8	540040	0	0	0	0	0
53	101	10	9	540045	0	0	0	0	0
54	101	10	10	540046	0	0	0	0	0
55	101	10	11	540047	0	0	0	0	0
9	101	103	12	0	18	1701001	1701002	0	0
10	101	103	13	0	13	1701011	1701012	0	0
11	101	103	14	0	47	1701013	1701014	0	0
