ID	分类（策划看）	对齐方式（left  center right）	文本内容1	点击Id1	字号1	RGB颜色1	字体名1	文本内容2	点击Id2	字号2	RGB颜色2	字体名2	文本内容3	点击Id3	字号3	RGB颜色3	字体名3	文本内容4	点击Id4	字号4	RGB颜色4	字体名4	文本内容5	点击Id5	字号5	RGB颜色5	字体名5				
id	class	align	text1	clickId1	size1	color1	name1	text2	clickId2	size2	color2	name2	text3	clickId3	size3	color3	name3	text4	clickId4	size4	color4	name4	text5	clickId5	size5	color5	name5				
number	comment	string	string	string	number	string	string	string	string	number	string	string	string	string	number	string	string	string	string	number	string	string	string	string	number	string	string				
int	comment	string	string	string	int	string	string	string	string	int	string	string	string	string	int	string	string	string	string	int	string	string	string	string	int	string	string				
1001	功能按钮	center	公告		18	#0000FF	font/common.ttf																								
2002	商店	center	今日剩余 		24	#101117	font/MFYueHei_Noncommercial.ttf	%s		24	#eb3569	font/MFYueHei_Noncommercial.ttf	 次		24	#101117	font/MFYueHei_Noncommercial.ttf														
2003	商店	center	剩余 		24	#101117	font/MFYueHei_Noncommercial.ttf	%s		24	#eb3569	font/MFYueHei_Noncommercial.ttf	 次		24	#101117	font/MFYueHei_Noncommercial.ttf														
2004	商店	center	只能购买 		24	#101117	font/MFYueHei_Noncommercial.ttf	%s		24	#eb3569	font/MFYueHei_Noncommercial.ttf	 次		24	#101117	font/MFYueHei_Noncommercial.ttf														
2005	商店	center	全服剩余 		24	#101117	font/MFYueHei_Noncommercial.ttf	%s		24	#eb3569	font/MFYueHei_Noncommercial.ttf	 次		24	#101117	font/MFYueHei_Noncommercial.ttf														
3001	建筑升级	left	可派遣打工人数提升至		20	#FF6347	font/siyuansongtiBold.ttf	【2】		23	#FE3F9E	font/siyuansongtiBold.ttf	人		23	#FF6347	font/siyuansongtiBold.ttf														
3002	建筑升级	left	可派遣打工人数提升至		20	#FF6347	font/siyuansongtiBold.ttf	【3】		23	#FE3F9E	font/siyuansongtiBold.ttf	人		23	#FF6347	font/siyuansongtiBold.ttf														
3003	建筑升级	left	有几率产出		20	#FF6347	font/siyuansongtiBold.ttf	【3星食物】		23	#FE3F9E	font/siyuansongtiBold.ttf																			
3004	建筑升级	left	有几率产出		20	#FF6347	font/siyuansongtiBold.ttf	【4星食物】		23	#FE3F9E	font/siyuansongtiBold.ttf																			
3005	建筑升级	left	有几率产出		20	#FF6347	font/siyuansongtiBold.ttf	【3星礼物】		23	#FE3F9E	font/siyuansongtiBold.ttf																			
3006	建筑升级	left	有几率产出		20	#FF6347	font/siyuansongtiBold.ttf	【4星礼物】		23	#FE3F9E	font/siyuansongtiBold.ttf																			
3007	建筑升级	left	开启特殊商店		20	#FF6347	font/siyuansongtiBold.ttf																								
3008	建筑升级	left	有几率产出		20	#FF6347	font/siyuansongtiBold.ttf	【3星特殊道具】		23	#FE3F9E	font/siyuansongtiBold.ttf																			
3009	建筑升级	left	有几率产出		20	#FF6347	font/siyuansongtiBold.ttf	【4星特殊道具】		23	#FE3F9E	font/siyuansongtiBold.ttf																			
3010	建筑升级	left	有几率产出		20	#FF6347	font/siyuansongtiBold.ttf	【5星特殊道具】		23	#FE3F9E	font/siyuansongtiBold.ttf																			
3011	建筑升级	left	开启寄售功能，开启		20	#FF6347	font/siyuansongtiBold.ttf	【2】		23	#FE3F9E	font/siyuansongtiBold.ttf	个寄售摊位		23	#FF6347	font/siyuansongtiBold.ttf														
3012	建筑升级	left	寄售摊位增加到		20	#FF6347	font/siyuansongtiBold.ttf	【3】		23	#FE3F9E	font/siyuansongtiBold.ttf	个		23	#FF6347	font/siyuansongtiBold.ttf														
3013	建筑升级	left	寄售摊位增加到		20	#FF6347	font/siyuansongtiBold.ttf	【4】		23	#FE3F9E	font/siyuansongtiBold.ttf	个		23	#FF6347	font/siyuansongtiBold.ttf														
3014	建筑升级	left	寄售摊位增加到		20	#FF6347	font/siyuansongtiBold.ttf	【5】		23	#FE3F9E	font/siyuansongtiBold.ttf	个		23	#FF6347	font/siyuansongtiBold.ttf														
3015	建筑升级	left	刷新倒计时		18	#FFFFFF	font/siyuansongtiBold.ttf	%s		18	#FCBD4F	font/siyuansongtiBold.ttf	时		18	#FFFFFF	font/siyuansongtiBold.ttf	%s		18	#FCBD4F	font/siyuansongtiBold.ttf	分		18	#FFFFFF	font/siyuansongtiBold.ttf				
3016	建筑升级	left	打工开始		23	#000000	font/siyuansongtiBlack.ttf																								
3017	建筑升级	left	打工结束		23	#000000	font/siyuansongtiBlack.ttf																								
3018	建筑升级	left	打工获得食物的几率提升		20	#FF6347	font/siyuansongtiBold.ttf																								
3019	建筑升级	left	打工获得礼物的几率提升		20	#FF6347	font/siyuansongtiBold.ttf																								
4001	灵装	left	是否将		23	#000000	font/common.ttf	%s		23	#FE3F9E	font/common.ttf	替换为		23	#000000	font/common.ttf	 %s 		23	#FE3F9E	font/common.ttf	\n放弃更换不会返还洗练材料		23	#000000	font/common.ttf				
6001	背包	center	还可以选择  		26	#000000	font/common.ttf	%s		26	#64BCEE	font/common.ttf	  件		26	#000000	font/common.ttf														
7001	充值	left	月卡剩余		20	#000000	font/siyuansongtiBlack.ttf	%s		28	#FF4A7E	font/siyuansongtiBlack.ttf	天		20	#000000	font/siyuansongtiBlack.ttf														
7002	充值	center	%s		20	#FF4A7E	font/siyuansongtiBlack.ttf	时		20	#877F81	font/siyuansongtiBlack.ttf	%s		20	#FF4A7E	font/siyuansongtiBlack.ttf	分结束		20	#877F81	font/siyuansongtiBlack.ttf									
10001	打工-金币奖励	left	%s		20	#FE3F9E	font/siyuansongtiBlack.ttf	在打工中表现很好，赚取		20	#000000	font/siyuansongtiBold.ttf	%s		20	#000000	font/siyuansongtiBlack.ttf														
10002	打工-钻石奖励	left	%s		20	#FE3F9E	font/siyuansongtiBlack.ttf	打工中热情接待顾客，被打赏小费		20	#000000	font/siyuansongtiBold.ttf	%s		20	#000000	font/siyuansongtiBlack.ttf														
