id	所属界面（1.充值界面 2.礼包界面）	礼包	商品名称	icon	物品备注	是否商品标签	标签内容1（首次购买前）	标签内容2	说明文本	说明文本备注	说明文本2	说明文本2备注	客户端排序	开始时间	结束时间	购买次数	重置类型（0：不重置 1：每日重置 2：周重置 3：月重置）	重置时间（默认为每周一、每月一日，否则周日为1，周一为2）	玩家等级	首充奖励
id	type	item	name	icon	nameComment	tag	tagDes	tagDes2	des1	des1Comment	des2	des2Comment	order	startDate	endDate	buyCount	resetType	resetDate	playerLevel	firstBuyItem
number	number	json	string	string	comment	boolean	string	string	string	comment	string	comment	number	numbers	numbers	number	number	number	numbers	json
int	int	map	string	string		boolean	string	string	string		string		int	int[]	int[]	int	int	int	int[]	map
2001	1	{500002:60}	1600001	icon/system/138.png	6￥60钻	1	1620001		1630001	首次购买双倍			1			0	0			{500002:120}
2002	1	{500002:330}	1600002	icon/system/138.png	30￥330钻	1	1620001	1620002	1630002	首次购买双倍，后续购买赠送10%			2			0	0			{500002:600}
2003	1	{500002:1012}	1600003	icon/system/139.png	88￥1012钻	1	1620001	1620003	1630003	首次购买双倍，后续购买赠送15%			3			0	0			{500002:1760}
2004	1	{500002:2016}	1600004	icon/system/139.png	168￥2016钻	1	1620001	1620004	1630004	首次购买双倍，后续购买赠送20%			4			0	0			{500002:3360}
2005	1	{500002:4100}	1600005	icon/system/140.png	328￥4100钻	1	1620001	1620005	1630005	首次购买双倍，后续购买赠送25%			5			0	0			{500002:6560}
2006	1	{500002:8424}	1600006	icon/system/141.png	648￥8424钻	1	1620001	1620006	1630006	首次购买双倍，后续购买赠送30%			6			0	0			{500002:12960}
3001	2	{500002:10}	1600007	icon/system/142.png	每日礼包1	0			1630007	剩余x次	1640001	每天重置	1			2	1			{500002:10}
3002	2	{500002:30}	1600008	icon/system/142.png	每日礼包2	0			1630007	剩余x次	1640001	每天重置	2			2	1			{500002:30}
3003	2	{500002:60}	1600009	icon/system/142.png	每周礼包	0			1630007	剩余x次	1640002	每周一重置	3			3	2			{500002:60}
3004	2	{500002:80}	1600010	icon/system/142.png	补充礼包1	0					1640003	可反复购买	4			0	0			{500002:80}
3005	2	{500002:120}	1600011	icon/system/142.png	补充礼包2	0					1640003	可反复购买	5			0	0			{500002:120}
3006	2	{500002:180}	1600012	icon/system/142.png	补充礼包3	0					1640003	可反复购买	6			0	0			{500002:180}
3007	2	{500002:280}	1600013	icon/system/142.png	补充礼包4	0					1640003	可反复购买	7			0	0			{500002:280}
3008	2	{500002:500}	1600014	icon/system/142.png	补充礼包5	0					1640003	可反复购买	8			0	0			{500002:500}
3009	2	{500002:880}	1600015	icon/system/142.png	补充礼包6	0					1640003	可反复购买	9			0	0			{500002:880}
3010	2	{500002:1680}	1600016	icon/system/142.png	补充礼包7	0					1640003	可反复购买	10			0	0			{500002:1680}
3011	2	{500002:3280}	1600017	icon/system/142.png	补充礼包8	0					1640003	可反复购买	11			0	0			{500002:3280}
3012	2	{500002:6480}	1600018	icon/system/142.png	补充礼包9	0					1640003	可反复购买	12			0	0			{500002:6480}
