编号ID	名称（策划看）	对应精灵ID	是否开放	声优	精灵名称	头像	小头像	背景底板	约会结局底板	展示形象	排序	名称展示	图片展示	基本描述	激活条件	初始好感	好感等级	每日好感度上限	好感度等级图标	好感等级描述	心情头像	年龄	生日	星座	身高	三围	体重	赠送礼品	喜欢食物	喜欢礼物	爱好	默认模型	时装组	主线约会	主线约会图标	日常约会	心情自然变化	心情战斗buff效果	buff描述文字	心情等级	房间ID	主线属性
id	name	heroId	isOpen	akiraId	nameId	icon	smallIcon	backdrop	datingBottom	showIcon	order	mainNameIcon	mainRoleIcon	describe	openType	favor	favorLevels	maxFavor	favorIcon	favortips	moodPath	age	birthday	constellation	height	bwh	weight	gift	likeFood	likeGift	hobby	roleModel	dress	mainLive	mainIcon	dayLive	moodChange	moodBuff	moodDes	moodLevels	roomList	datingVariable
number	comment	number	boolean	number	number	string	string	string	string	string	number	string	string	string	string	number	numbers	number		numbers	string	string	string	string	string	string	string	json	json	json	json	number	numbers	string	string	string	json	numbers	numbers	numbers	numbers	numbers
int			boolean								int				string	int	int[]	int				string	string	string	string			map	map	map	map	int	int[]	string		string	List	int[]		int[]	int[]	
101	夜刀神十香	110101	1	900050	30101	icon\hero\face\1101011.png	icon/hero/smallface/10101.png	icon/hero/backdrop/10101.png	wzui/y206.png	icon/hero/battle_end/10102.png	100	icon/mainDating/mainName/1.png	icon/mainDating/mainRoleIcon/1.png	30102	1-0	0	0-200-1000-5000	100		10016-10017-10018	icon/role/mood/101/	16	4-10	10001	155	84/58/83	49	{}	{534101:1}	{534101:1}	{10013:0,10014:0,10015:0}	410101	410101-410104	0-1101001,100-1101002	icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png	1-2-0-2101001-10000,2-2-0-2101002-10000,3-2-0-2101001-10000,4-2-0-2101001-10000,5-2-0-2101001-10000	[{"range":[0,39],"decay":2},{"range":[40,61],"decay":0},{"range":[62,79],"decay":-2},{"range":[80,89],"decay":-3},{"range":[90,100],"decay":-5}]	7003-7002-0-0-7001	12903-12902-12900-12900-12901	40-60-80-90-100	1001-1002	101101-101102-101103
102	鸢一折纸	110201	1	900053	30201	icon\hero\face\1102011.png	icon/hero/smallface/10201.png	icon/hero/backdrop/10201.png	wzui/y207.png	icon/hero/battle_end/10205.png	95	icon/mainDating/mainName/2.png	icon/mainDating/mainRoleIcon/2.png	30202	1-0	0	0-200-1000-5000	100		10016-10017-10018	icon/role/mood/102/	16	未知	10000	152	75/55/79	45	{}	{534101:1}	{534101:1}	{10013:0,10014:0,10015:0}	410204	410204	0-1102001,100-1102002	icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png	1-2-0-2102001-10000,2-2-0-2102002-10000,3-2-0-2101001-10000,4-2-0-2101001-10000,5-2-0-2101001-10000	[{"range":[0,39],"decay":2},{"range":[40,61],"decay":0},{"range":[62,79],"decay":-2},{"range":[80,89],"decay":-3},{"range":[90,100],"decay":-5}]	7006-7005-0-0-7004	12906-12905-12900-12900-12904	40-60-80-90-100	1002-1003	102101-102102-102103
103	四糸乃	110301	1	900051	30301	icon\hero\face\1103011.png	icon/hero/smallface/10301.png	icon/hero/backdrop/10301.png	wzui/y208.png	icon/hero/battle_end/10303.png	90	icon/mainDating/mainName/3.png	icon/mainDating/mainRoleIcon/3.png	30302	1-0	0	0-200-1000-5000	100		10016-10017-10018	icon/role/mood/103/	13	未知	10000	144	73/55/78	35	{}	{534101:1}	{534101:1}	{10013:0,10014:0,10015:0}	410301	410301-410303	0-1103001,100-1103002	icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png	1-2-0-2103001-10000,2-2-0-2103002-10000,3-2-0-2101001-10000,4-2-0-2101001-10000,5-2-0-2101001-10000	[{"range":[0,39],"decay":2},{"range":[40,61],"decay":0},{"range":[62,79],"decay":-2},{"range":[80,89],"decay":-3},{"range":[90,100],"decay":-5}]	7009-7008-0-0-7007	12909-12908-12900-12900-12907	40-60-80-90-100	1001-1002-1003	103101-103102-103103
104	时崎狂三	110401	1	900052	30401	icon\hero\face\1104011.png	icon/hero/smallface/10401.png	icon/hero/backdrop/10401.png	wzui/y211.png	icon/hero/battle_end/10402.png	85	icon/mainDating/mainName/4.png	icon/mainDating/mainRoleIcon/4.png	30402	1-0	0	0-200-1000-5000	100		10016-10017-10018	icon/role/mood/104/	？	未知	10000	157	85/59/87	48	{}	{534101:1}	{534101:1}	{10013:0,10014:0,10015:0}	410401	410401-410404	0-1104001,100-1104002	icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png	1-2-0-2104001-10000,2-2-0-2104002-10000,3-2-0-2101001-10000,4-2-0-2101001-10000,5-2-0-2101001-10000	[{"range":[0,39],"decay":2},{"range":[40,61],"decay":0},{"range":[62,79],"decay":-2},{"range":[80,89],"decay":-3},{"range":[90,100],"decay":-5}]	7012-7011-0-0-7010	12912-12911-12900-12900-12910	40-60-80-90-100	1001-1003	104101-104102-104103
105	五河琴里	110501	1	900317	30501	icon\hero\face\1105011.png	icon/hero/smallface/10501.png	icon/hero/backdrop/10501.png	wzui/y210.png	icon/hero/battle_end/10504.png	80	icon/mainDating/mainName/5.png	icon/mainDating/mainRoleIcon/5.png	30502	1-0	0	0-200-1000-5000	100		10016-10017-10018	icon/role/mood/105/	14	未知	10005	145	72/53/74	48	{}	{534101:1}	{534101:1}	{10013:0,10014:0,10015:0}	410501	410501-410505	0-1104001,100-1104002	icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png-icon/mainDating/mainIcon/001.png	1-2-0-2104001-10000,2-2-0-2104002-10000,3-2-0-2101001-10000,4-2-0-2101001-10000,5-2-0-2101001-10000	[{"range":[0,39],"decay":2},{"range":[40,61],"decay":0},{"range":[62,79],"decay":-2},{"range":[80,89],"decay":-3},{"range":[90,100],"decay":-5}]	7015-7014-0-0-7013	12915-12914-12900-12900-12913	40-60-80-90-100	1001-1003	105101-105102-105103
106	崇宫真那	110601	0			icon\hero\face\1106011.png					75				1-0	0	0-200-1000-5000	100																			[{"range":[0,39],"decay":2},{"range":[40,61],"decay":0},{"range":[62,79],"decay":-2},{"range":[80,89],"decay":-3},{"range":[90,100],"decay":-5}]			40-60-80-90-100		
107	八舞耶俱矢	110701	0			icon\hero\face\1107011.png					70				1-0	0	0-200-1000-5000	100																			[{"range":[0,39],"decay":2},{"range":[40,61],"decay":0},{"range":[62,79],"decay":-2},{"range":[80,89],"decay":-3},{"range":[90,100],"decay":-5}]			40-60-80-90-100		
