id	角色（策划用）	角色形态	动画资源名	动作名	程序动作	特效触发帧	特效挂点	上层特效资源	上层特效动作	下层特效资源	下层特效动作
id	roleName	roleForm	resource	realAction	action	triggerEvent	effectPoint	resourceUp	motionUp	resourceDown	motionDown
number	string	number	string	string	string	string	string	strings	strings	strings	strings
int	string	int	string	string	string	string	string	strings	strings	strings	strings
1	夜刀神十香	1	fight_10101	born	born	effect0	root	fight_10101_born_q	born	fight_10101_born_h	born
2	夜刀神十香	1	fight_10101	departure	departure						
3	夜刀神十香	1	fight_10101	die1	die1						
4	夜刀神十香	1	fight_10101	die2	die2						
5	夜刀神十香	1	fight_10101	entrance	entrance						
6	夜刀神十香	1	fight_10101	float	float						
7	夜刀神十香	1	fight_10101	floathurt	floathurt						
8	夜刀神十香	1	fight_10101	floor	floor						
9	夜刀神十香	1	fight_10101	hurt	hurt1						
10	夜刀神十香	1	fight_10101	hurt2	hurt2						
11	夜刀神十香	1	fight_10101	move	move						
12	夜刀神十香	1	fight_10101	walk	walk						
13	夜刀神十香	1	fight_10101	retreat	retreat						
14	夜刀神十香	1	fight_10101	dodge	quickmove						
15	夜刀神十香	1	fight_10101	stand	stand						
16	夜刀神十香	1	fight_10101	standup	standup						
17	夜刀神十香	1	fight_10101	standup	floorRelive						
18	夜刀神十香	1	fight_10101	standup	kneelRelive						
19	夜刀神十香	1	fight_10101	win_1	win						
20	夜刀神十香(校服)	1	fight_10104	born	born	effect0	root	fight_10101_born_q	born	fight_10101_born_h	born
21	夜刀神十香(校服)	1	fight_10104	departure	departure						
22	夜刀神十香(校服)	1	fight_10104	die1	die1						
23	夜刀神十香(校服)	1	fight_10104	die2	die2						
24	夜刀神十香(校服)	1	fight_10104	entrance	entrance						
25	夜刀神十香(校服)	1	fight_10104	float	float						
26	夜刀神十香(校服)	1	fight_10104	floathurt	floathurt						
27	夜刀神十香(校服)	1	fight_10104	floor	floor						
28	夜刀神十香(校服)	1	fight_10104	hurt	hurt1						
29	夜刀神十香(校服)	1	fight_10104	hurt2	hurt2						
30	夜刀神十香(校服)	1	fight_10104	move	move						
31	夜刀神十香(校服)	1	fight_10104	walk	walk						
32	夜刀神十香(校服)	1	fight_10104	retreat	retreat						
33	夜刀神十香(校服)	1	fight_10104	dodge	quickmove						
34	夜刀神十香(校服)	1	fight_10104	stand	stand						
35	夜刀神十香(校服)	1	fight_10104	standup	standup						
36	夜刀神十香(校服)	1	fight_10104	standup	floorRelive						
37	夜刀神十香(校服)	1	fight_10104	standup	kneelRelive						
38	夜刀神十香(校服)	1	fight_10104	win_1	win						
39	反转十香	1	fight_10103	born	born	effect0	root	effects_10103_born	born		
40	反转十香	1	fight_10103	departure	departure						
41	反转十香	1	fight_10103	die1	die1						
42	反转十香	1	fight_10103	die2	die2						
43	反转十香	1	fight_10103	skillF_1	entrance						
44	反转十香	1	fight_10103	float	float						
45	反转十香	1	fight_10103	floathurt	floathurt						
46	反转十香	1	fight_10103	floor	floor						
47	反转十香	1	fight_10103	hurt1	hurt1						
48	反转十香	1	fight_10103	hurt2	hurt2						
49	反转十香	1	fight_10103	move	move						
50	反转十香	1	fight_10103	walk	walk						
51	反转十香	1	fight_10103	retreat	retreat						
52	反转十香	1	fight_10103	dodge	quickmove						
53	反转十香	1	fight_10103	stand	stand						
54	反转十香	1	fight_10103	standup	standup						
55	反转十香	1	fight_10103	standup	floorRelive						
56	反转十香	1	fight_10103	standup	kneelRelive						
57	反转十香	1	fight_10103	win	win						
58	反转十香	2	fight_10103	Pdeparture	departure						
59	反转十香	2	fight_10103	Pdie1	die1						
60	反转十香	2	fight_10103	Pdie2	die2						
61	反转十香	2	fight_10103	Pfloat	float						
62	反转十香	2	fight_10103	Pfloathurt	floathurt						
63	反转十香	2	fight_10103	Pfloor	floor						
64	反转十香	2	fight_10103	Phurt1	hurt1						
65	反转十香	2	fight_10103	Phurt3	hurt2						
66	反转十香	2	fight_10103	Pmove	move						
67	反转十香	2	fight_10103	Pwalk	walk						
