特效ID	名字（策划看）	特效触发事件名	特效资源名	动画名称	固定特效朝向（包括固定特效朝向，或子弹飞行方向，不填则为释放者朝向，填1则固定X轴正方向，填2则固定X轴负方向）	特效颜色叠加	触发新特效几率	触发新特效	气浪强度（0为关闭，最强100）	是否循环	渲染层级(0在角色下层，1在人物上层，2根据地图Y值排序)	碰撞类型(0矩形，1多边形)	碰撞范围Y轴修正	碰撞区域	缩放	特效类型（1普通型，2放出型）	牵引类型，放出型特效没有牵引数据（0或不填表示没有牵引，1推吸类型，2固定方向）	牵引速度X（推吸类型，只填写X轴正负速度值，正推负吸。固定方向类型，填写XY轴速度）	牵引速度Y	伤害方式判定（0不进行伤害判定，1根据hurt帧事件判定，2碰撞即算伤害）	伤害触发	是否开启地图蒙板	父节点(1触发者,2目标,3地图,4UI层)	特效是否跟随触发动作(0不删除，1删除)	播放位置（0随施法者1目标位置2施法者挂点3施法者位置4目标挂点5随机位置）	播放位置偏移X（单位像素，正前负后）	播放位置偏移Y（0与角色Y轴一致。1~10为可行走区域的10条路）	挂点骨骼名称（不填为spine原点。）	目标选择（0无，1自身，2随机敌人，3最近的敌人，4最远的敌人，5随机地面点）	目标选择范围（以自身为基点，配置x_y_w_h。来确定一个矩形范围。xy为矩形起点坐标，wh为框大小）	目标选择数量	跟踪方式（0直线，1始终跟踪，2角度跟踪，3追踪目标位置，angle,4圆形，5S曲线，6折射，7直线角度，8贝塞尔曲线目标位置,10贝赛尔曲线固定位置）	直线飞行子弹的角度	圆形和S曲线飞行半径	折射时间	贝塞尔曲线高度	命中数量回收(发射型特效生效。0或不填为不回收。其他数字为命中该数量后回收)	自动触发特效（特效结束or回收时，自动播放下一个特效）	特效速度（包含贝塞尔曲线速度）	特效总时间(循环播放特效生效)	回收特效资源	回收特效动画	受击特效资源	受击特效动画（上层）	受击特效动画（下层）	受击特效角度	受击特效缩放	触发事件（配置该特效的事件名）	触发刷怪表（配置刷怪表ID）	刷怪位置类型（1随机，2特效中心点）
id	name	triggerEvents	resource	action	effectsOrientationX	actionColor	triggerEffectsOdds	triggerEffects	blastLevel	loop	zorder	rollerType	yRoller	roller	scale	effectType	pullType	pullSpeedX	pullSpeedY	hurtWay	hurtList	useMask	parent	showParent	place	placeSkewingX	placeSkewingY	mount	effectTarget	area	selectNumber	tailType	rotation	radius	refractionTime	besselHeight	recycle	connectEffect	emitSpeed	totalTime	endEffect	endEffectAction	hurtEffect	hurtActionUp	hurtActionDown	hurtEffectAngle	hurtEffectScale	callEvent	callMonsterSection	sectionSite
number	string	strings	string	string	number	string	number	numbers	number	boolean	number	number	numbers	strings	number	number	number	number	number	number	numbers	number	number	number	number	number	number	string	number	string	number	number	number	number	number	number	number	numbers	number	number	string	string	string	string	string	number	number	string	numbers	numbers
int	string	strings	string	string	int	string	int	int[]	int	boolean	int	int	int[]	strings	int	int	int	int	int	int	int[]	int	int	int	int	int	int	string	int	string	int	int	int	int	int	int	int	int[]	int	int	string	string	string	string	string	int	float	string	int[]	int[]
10010	十香—普攻1	effect0	effects_10101_skillA	skillA1_1						0	1		70-40	bdbox_eff	1	1				1	1001		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		0	1			
10020	十香—普攻2	effect0	effects_10101_skillA	skillA1_2						0	1		70-40	bdbox_eff	1	1				1	1002		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		45	1			
10030	十香—普攻3	effect0	effects_10101_skillA	skillA1_3						0	1		70-40	bdbox_eff	1	1				1	1003		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10040	十香—普攻4	effect0	effects_10101_skillA	skillA1_4						0	1		70-40	bdbox_eff	1	1				1	1004		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10050	十香—普攻5	effect0	effects_10101_skillA	skillA1_5						0	1		70-40	bdbox_eff	1	1				1	1005		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA3_up	skillA3_down	0	1			
10051	十香—普攻1	effect0	effects_10101_skillA	skillA2_1						0	1		70-40	bdbox_eff	1	1				1	1001		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		0	1			
10052	十香—普攻2	effect0	effects_10101_skillA	skillA2_2						0	1		70-40	bdbox_eff	1	1				1	1002		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		45	1			
