特效ID	技能ID	技能名字	伤害类型（1普攻、2技能1、3技能2、4出场、6大招、7觉醒）	1=物理伤害,2=冰属性,3=火属性,4=风属性,5=电属性,6=毒素,7=光属性,8=暗属性,9=精神	是否计算伤害命中	伤害比例	觉醒值获得	角色能量获得	命中停顿	命中音效（配置hitMusic中的ID）	不需要命中的触发BUFF	触发BUFF	受击角色抖动次数	屏幕震动选择（0或不填为无视是否命中都会抖动。1为命中抖动）	屏幕震动(0不抖动1三角抖动2缩放)	屏幕抖动强度	抖动次数	震屏缓动（1开启缓动）	模糊时间（毫秒）	模糊程度（0为关闭，强度范围1~100）	非倒地状态是否受击	倒地目标是否受击	可否伤害倒地目标	buffer事件触发	位移方式（1角度更替位移，2平移叠加位移）	浮空角度	X轴平移距离	浮空平移速度	命中僵直	暴击率	暴击伤害	穿透率	对普通怪伤害加成	对精英怪伤害加成	对boss怪伤害加成	对人类伤害加成	对能量怪伤害加成	对机械怪伤害加成	对精灵伤害加成	命中率	目标减伤率	目标抗暴率	目标格挡率
id	skillId	name	damageType	damageAttr	isCalHurt	hurtScale	anger	extraAnger	hitStop	hitMusic	nohitbuffId	buffId	hurtShake	shakeOption	shakeType	shakeStrength	shakeCount	shakeInching	fuzzyTime	fuzzyLevel	isHurtAction	isHurtFall	isHurtFloor	triggerEvent	floatType	floatAngle	floorMove	moveSpeed	hurtStiff	hurtValue507	hurtValue509	hurtValue503	hurtValue654	hurtValue655	hurtValue656	hurtValue650	hurtValue651	hurtValue652	hurtValue653	hurtValue505	targetValue502	targetValue508	targetValue504
number	number	string	number	number	number	number	number	number	number	number	numbers	numbers	number	number	number	number	number	boolean	number	number	boolean	boolean	boolean	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number
int	int	string	int	int	boolean	float	int	int	int	int	int[]	int[]	int	int	int	int	int	boolean	int	int	boolean	boolean	boolean	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	100110	十香-普攻1	1	1	1	0.8	1		60	1010101			1	1	1	8	2				1	0	1	0	2		20	200															
1002	100110	十香-普攻2	1	1	1	0.8	2		60	1010101			1	1	1	10	2				1	0	1	0	2		20	200															
1003	100110	十香-普攻3	1	1	1	0.9	2		80	1010102			1	1	2	2	2				1	0	1	0	1	80		700															
1004	100110	十香-普攻4	1	1	1	1	2		80	1010101			1	1	1	17	3				1	0	1	0	1	70		550															
1005	100110	十香-普攻5	1	1	1	1.5	2		120	1010103			1	1	2	3	3	1	1000	40	1	0	1	0	2		50	500															
1006	100110	(旧)普攻分支剑气	1	1	1	0.1			0				1	1	1	8	2				1	0	0	0	1	80		800															
1101	100120	剑刃乱舞1	6	1	1	1			60	1010104			1	0	1	14	3				1	1	1	0	1	70		400															
1102	100120	剑刃乱舞2	6	1	1	1			60	1010104			1	0	1	14	3	1	2000	70	1	1	1	0	1	70		500															
1103	100120	剑刃乱舞3	6	1	1	0.35			80	1010105			1	0	1	14	3	1	2000	70	1	1	1	0	1	70		500															
1104	100120	剑刃乱舞3	6	1	1	0.35			80	1010105			1	0	1	16	4	1	2000	70	1	1	1	0	1	70		500															
1105	100120	剑刃乱舞3	6	1	1	0.35			120	1010105			1	0	2	3	2	1	2000	70	1	1	1	0	1	70		500															
2001	100110	(旧)分支—挑空连斩1	2	1	1	0.1			0				1	1	1	10	2				1	0	1	0	1	85		700															
2002	100110	(旧)分支—挑空连斩2	2	1	1	0.1			0				1	1	1	10	2				1	0	1	0	1	85		500															
2003	100110	(旧)分支—挑空连斩3	2	1	1	0.1			0				1	1	1	10	2				1	0	1	0	1	85		500															
2004	100110	(旧)分支—挑空连斩4	2	1	1	0.1			0				1	1	1	10	2				1	0	1	0	1	85		500															
2005	100110	(旧)分支—挑空连斩5	2	1	1	0.1			0				1	1	1	10	2				1	0	1	0	1	85		300															
2006	100110	(旧)分支—挑空连斩6	2	1	1	0.1			0				1	1	1	10	3	1	1500	50	1	0	1	0	1	0		800															
2010	100140	(旧)十香-闪避-斩	1	1	1	0.1			0				1	1	1	12	2				1	0	1	0	1	80		800															
2020	100110	十香-出场-王座砸	4	1	1	3			100	1010107			1	0	2	4	2	1			1	0	1	0	1	80		800															
3001	100130	十香—觉醒1	7	1	1	1.5			80	1010105			1	0	1	20	3				1	1	1	0	1	80		600															
3002	100130	十香—觉醒2	7	1	1	1.5			80	1010105			1	0	1	25	3				1	1	1	0	1	80		600															
3003	100130	十香—觉醒3	7	1	1	2.5			80	1010105			1	0	1	25	3				1	1	1	0	1	80		800															
3004	100130	十香—觉醒4	7	1	1	4.5			150	1010106			1	0	2	5	4	1	2500	70	1	1	1	0	1	80		800															
