ID	连击min	连击max	伤害加成
id	min	max	damage
number	number	number	number
int	int	int	int
1	2	20	3
2	21	40	4
3	41	60	5
4	61	80	6
5	81	100	8
6	101	120	10
7	121	140	12
8	141	160	14
9	161	180	16
10	181	200	18
11	201	250	21
12	251	300	24
13	301	350	27
14	351	400	30
15	401	450	33
16	451	500	36
17	501	550	40
18	551	600	44
19	601	650	48
20	651	700	52
21	701	750	56
22	751	800	60
23	801	850	64
24	851	900	68
25	901	950	72
26	951	1000	76
27	1001	1050	80
28	1051	1100	84
29	1101	1150	88
30	1151	1200	92
31	1201	1250	96
32	1251	1300	100
33	1301	999999	110
