音效ID	动画类型（1角色，2特效）	动画资源	动画ID	动作名字	音效事件	音量	音效资源
id	cartoonType	cartoonResource	action	name	triggerEvents	volume	resource
number	number	string	string	string	strings	number	string
int	int	string	string	string	strings	int	string
1	1	fight_10101	skillA_1	普攻1-语音	music1	100	
2	1	fight_10101	skillA_2	普攻2-语音	music1	100	
3	1	fight_10101	skillA_3	普攻3-语音	music1	100	
4	1	fight_10101	skillA_4	普攻4-语音	music1	100	
5	1	fight_10101	skillA_5	普攻5-语音	music1	60	sound/battle_sound/10101/voice/TOUKA_42.mp3
6	1	fight_10101	skillA_1	普攻1	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_1.mp3
7	1	fight_10101	skillA_2	普攻2	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_2.mp3
8	1	fight_10101	skillA_3	普攻3	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_3.mp3
9	1	fight_10101	skillA_4	普攻4	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_4.mp3
10	1	fight_10101	skillA_5	普攻5	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_5.mp3
11	1	fight_10101	skillC_1	分支—挑空连斩-语音	music1	100	
12	1	fight_10101	skillC_2	分支—挑空连斩-语音	music1	100	
13	1	fight_10101	skillC_3	分支—挑空连斩-语音	music1	100	
14	1	fight_10101	skillC_4	分支—挑空连斩-语音	music1	100	
15	1	fight_10101	skillC_5	分支—挑空连斩-语音	music1	60	sound/battle_sound/10101/voice/TOUKA_42_1.mp3
16	1	fight_10101	skillC_1	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_1.mp3
17	1	fight_10101	skillC_2	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_2.mp3
18	1	fight_10101	skillC_3	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_3.mp3
19	1	fight_10101	skillC_4	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_4.mp3
20	1	fight_10101	skillC_5	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_5.mp3
21	1	fight_10101	skillC	出场—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC.mp3
22	1	fight_10101	skillB_1	剑刃乱舞-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_45.mp3
23	1	fight_10101	skillB_1	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_1.mp3
24	1	fight_10101	skillB_2	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
25	1	fight_10101	skillB_3	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_3.mp3
26	1	fight_10101	skillB_4	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_4.mp3
27	1	fight_10101	skillB_5	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
28	1	fight_10101	skillB_6	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_3.mp3
29	1	fight_10101	skillB_7	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_4.mp3
30	1	fight_10101	skillB_11	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
31	1	fight_10101	skillB_8	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_5.mp3
32	1	fight_10101	skillD11	最终之剑-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_48.mp3
33	1	fight_10101	skillD11	普攻1-语音	music2	100	sound/battle_sound/10101/voice/TOUKA_40.mp3
34	1	fight_10101	skillD11	普攻2-语音	music3	100	sound/battle_sound/10101/voice/TOUKA_40.mp3
35	1	fight_10101	skillD11	普攻3-语音	music4	100	sound/battle_sound/10101/voice/TOUKA_42_2.mp3
36	1	fight_10101	skillD11	最终之剑	music1	100	sound/battle_sound/10101/skillmusic/10101_skillD_1.mp3
37	1	fight_10101	skillD11	最终之剑	music1	100	sound/battle_sound/10101/skillmusic/10101_skillD_2.mp3
38	1	fight_10101	skillD11	最终之剑	music2	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_1.mp3
39	1	fight_10101	skillD11	最终之剑	music3	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_2.mp3
40	1	fight_10101	skillD11	最终之剑	music4	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_3.mp3
41	1	fight_10101	skillD11	最终之剑	music5	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_4.mp3
42	1	fight_10101	dodge	闪避	music1	100	sound/battle_sound/10101/skillmusic/10101_dodge.mp3
43	1	fight_10101	dodge2	闪避斩击-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_41.mp3
44	1	fight_10101	dodge2	闪避斩击临时资源	music1	100	sound/battle_sound/10101/skillmusic/10101_dodge2.mp3
45	1	fight_10101	skillF	出场	music1	100	sound/battle_sound/10101/skillmusic/10101_chuchang.mp3
46	1	fight_10101	extra_skillB5	蓄力剑气3段	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_4.mp3
47	1	fight_10101	extra_skillB5	蓄力剑气3段	music2	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
48	1	fight_10101	extra_skillB5	蓄力剑气3段	music3	100	sound/battle_sound/10101/skillmusic/10101_skillB_5.mp3
49	1	fight_10101	extra_skillB6	蓄力剑气2段	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_1.mp3
50	1	fight_10101	extra_skillB6	蓄力剑气2段	music2	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
51	1	fight_10101	extra_skillB_3	蓄力剑气1段	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_3.mp3
52	1	fight_10101	extra_skillC_1	连斩1	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_3.mp3
53	1	fight_10101	extra_skillC_2	连斩2	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_1.mp3
54	1	fight_10101	extra_skillC_3	连斩3	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_2.mp3
55	1	fight_10201	skillA_1	折纸—普攻1-语音	music1	100	
56	1	fight_10201	skillA_2	折纸—普攻2-语音	music1	100	
57	1	fight_10201	skillA_3	折纸—普攻3-语音	music1	100	
58	1	fight_10201	skillA_4	折纸—普攻4-语音	music1	100	
59	1	fight_10201	skillA_5	折纸—普攻5-语音	music1	60	sound/battle_sound/10201/voice/ORIGAMI_AST_18.mp3
60	1	fight_10201	skillA_1	折纸—普攻1	music1	100	sound/battle_sound/10201/skillmusic/10201_skillA_1.mp3
61	1	fight_10201	skillA_2	折纸—普攻2	music1	100	sound/battle_sound/10201/skillmusic/10201_skillA_2.mp3
62	1	fight_10201	skillA_3	折纸—普攻3	music1	100	sound/battle_sound/10201/skillmusic/10201_skillA_3.mp3
63	1	fight_10201	skillA_4	折纸—普攻4	music1	100	sound/battle_sound/10201/skillmusic/10201_skillA_4.mp3
64	1	fight_10201	skillA_5	折纸—普攻5	music1	100	sound/battle_sound/10201/skillmusic/10201_skillA_5.mp3
65	1	fight_10201	skillB_1	折纸—分支—连斩	music1	100	sound/battle_sound/10201/skillmusic/10201_skillB1.mp3
66	1	fight_10201	skillF	折纸—出场—连斩	music1	100	sound/battle_sound/10201/skillmusic/10201_skillB2.mp3
67	1	fight_10201	skillC_1	折纸—大招-语音	music1	100	sound/battle_sound/10201/voice/ORIGAMI_AST_21.mp3
68	1	fight_10201	skillC_1	折纸—大招	music1	100	sound/battle_sound/10201/skillmusic/10201_skillC3.mp3
69	1	fight_10201	skillC_2	折纸—大招-语音	music1	100	sound/battle_sound/10201/voice/ORIGAMI_AST_21.mp3
70	1	fight_10201	skillC_2	折纸—大招	music1	100	sound/battle_sound/10201/skillmusic/10201_skillC3.mp3
71	1	fight_10201	skillC_3	折纸—大招-语音	music1	100	sound/battle_sound/10201/voice/ORIGAMI_AST_21.mp3
72	1	fight_10201	skillC_3	折纸—大招	music1	100	sound/battle_sound/10201/skillmusic/10201_skillC3.mp3
73	1	fight_10201	skillC_4	折纸—大招-语音	music1	100	sound/battle_sound/10201/voice/ORIGAMI_AST_21.mp3
74	1	fight_10201	skillC_4	折纸—大招	music1	100	sound/battle_sound/10201/skillmusic/10201_skillC3.mp3
71	1	fight_10201	extra_skillB1	折纸—技能2-格林枪	music1	100	sound/battle_sound/10201/skillmusic/10401_skillB.mp3
72	1	fight_10201	extra_skillB2	折纸—技能2-格林枪	music1	100	sound/battle_sound/10201/skillmusic/10401_skillB.mp3
73	1	fight_10201	extra_skillB3	折纸—技能2-格林枪	music1-music2-music3-music4-music5-music-music7-music8-music9-music10-music11-music12-music13-music14-music15-music16-music17-music18-music19-music20	100	sound/battle_sound/monster/xiaoguai_jiqiang.mp3
74	1	fight_10201	extra_skillB6	折纸—技能2-格林枪	music1-music2-music3-music4-music5-music-music7-music8-music9-music10-music11-music12-music13-music14-music15-music16-music17-music18-music19-music20	100	sound/battle_sound/monster/xiaoguai_jiqiang.mp3
75	1	fight_10201	extra_skillB4	折纸—技能2-格林枪激光炮	music1	100	sound/battle_sound/10201/skillmusic/10201_extra_skillB2.mp3
76	1	fight_10201	dodge	折纸—闪避	music1	100	sound/battle_sound/10201/skillmusic/10201_dodge.mp3
77	1	fight_10201	dodge2	折纸—闪避上挑-语音	music1	100	sound/battle_sound/10201/voice/ORIGAMI_AST_17.mp3
78	1	fight_10201	dodge2	折纸—闪避上挑临时资源	music1	100	sound/battle_sound/10201/skillmusic/10201_dodge2.mp3
79	1	fight_10201	skillD	折纸—觉醒-语音	music1	100	sound/battle_sound/10201/voice/ORIGAMI_AST_22.mp3
80	1	fight_10201	skillD	折纸—觉醒	music2	100	sound/battle_sound/10201/skillmusic/10201_skillD.mp3
81	1	fight_10301	skillA_1	四糸乃—普攻1-语音	music1	60	
82	1	fight_10301	skillA_2	四糸乃—普攻2-语音	music1	60	
83	1	fight_10301	skillA_3	四糸乃—普攻3-语音	music1	60	
84	1	fight_10301	skillA_4	四糸乃—普攻4-语音	music1	60	sound/battle_sound/10301/voice/YOSHINO_41.mp3
85	1	fight_10301	skillA_1	四糸乃—普攻1	music1	100	sound/battle_sound/10301/skillmusic/10301_skillA_1.mp3
86	1	fight_10301	skillA_2	四糸乃—普攻2	music1	100	sound/battle_sound/10301/skillmusic/10301_skillA_2.mp3
87	1	fight_10301	skillA_3	四糸乃—普攻3	music1	100	sound/battle_sound/10301/skillmusic/10301_skillA_3.mp3
88	1	fight_10301	skillA_4	四糸乃—普攻4	music1	100	sound/battle_sound/10301/skillmusic/10301_skillA_4.mp3
89	1	fight_10301	skillA_5	四糸乃—普攻5	music1	100	sound/battle_sound/10301/skillmusic/10301_skillA_4.mp3
90	1	fight_10301	skillC1	四糸乃—大招-语音	music1	100	sound/battle_sound/10301/voice/YOSHINO_44.mp3
91	1	fight_10301	skillC1	四糸乃—大招	music2	100	sound/battle_sound/10301/skillmusic/10301_skillC.mp3
92	1	fight_10301	dodge	四糸乃—闪避	music1	100	sound/battle_sound/10301/skillmusic/10401_dodge.mp3
93	1	fight_10301	dodge2	四糸乃—闪避传送-语音	music1	100	sound/battle_sound/10301/voice/YOSHINO_41.mp3
94	1	fight_10301	dodge2	四糸乃—闪避传送	music1	100	sound/battle_sound/10301/skillmusic/10301_dodge2.mp3
95	1	fight_10301	skillD	四糸乃—觉醒-语音	music1	100	sound/battle_sound/10301/voice/YOSHINO_46.mp3
96	1	fight_10301	skillD	四糸乃—觉醒	music1	100	sound/battle_sound/10301/skillmusic/10301_skillD_1.mp3
