序列ID	描述	看板娘ID	动作描述	动作	面部
id	name	roleId	actionName	action	face
number	comment	number	string	string	string
int	comment	int	string	string	string
1	赠送待机	101	give	Idle	
2	食物待机	101	food	Idle	
3	喜爱食物1	101	likefood	Idle	
4	喜爱食物2	101	lovefood	Idle	
5	礼物待机	101	gift	Idle	
6	喜爱礼物1	101	likegift	Idle	
7	喜爱礼物2	101	lovegift	Idle	
8	好感度升级	101	upgrade	Id_happy	
9	房间待机	101	room	Idle	
10	换装待机	101	dressilde	Idle	
11	换装后动作	101	dress	Id_dress	
12	约会成功动作	101	datingwin	Id_happy	
13	主线失败动作	101	datinglose	Id_angry	
14	hiddenend动作	101	hiddenend	Id_happy	
15	happyend动作	101	happyend	Id_happy	
16	tureend动作	101	tureend	Id_happy	
17	normalend动作	101	normalend	Id_happy	
18	badend动作	101	badend	Id_angry	
19	赠送待机	103	give	Idle	
20	食物待机	103	food	Idle	
21	喜爱食物1	103	likefood	Idle	
22	喜爱食物2	103	lovefood	Idle	
23	礼物待机	103	gift	Idle	
24	喜爱礼物1	103	likegift	Idle	
25	喜爱礼物2	103	lovegift	Idle	
26	好感度升级	103	upgrade	Id_happy	
27	房间待机	103	room	Idle	
28	换装待机	103	dressilde	Idle	
29	换装后动作	103	dress	Id_dress	
30	约会成功动作	103	datingwin	Id_happy	
31	主线失败动作	103	datinglose	Id_angry	
32	hiddenend动作	103	hiddenend	Id_happy	
33	happyend动作	103	happyend	Id_happy	
34	tureend动作	103	tureend	Id_happy	
35	normalend动作	103	normalend	Id_happy	
36	badend动作	103	badend	Id_angry	
37	赠送待机	102	give	Idle	
38	食物待机	102	food	Idle	
39	喜爱食物1	102	likefood	Idle	
40	喜爱食物2	102	lovefood	Idle	
41	礼物待机	102	gift	Idle	
42	喜爱礼物1	102	likegift	Idle	
43	喜爱礼物2	102	lovegift	Idle	
44	好感度升级	102	upgrade	Id_happy	
45	房间待机	102	room	Idle	
46	换装待机	102	dressilde	Idle	
47	换装后动作	102	dress	Id_dress	
48	约会成功动作	102	datingwin	Id_happy	
49	主线失败动作	102	datinglose	Id_angry	
50	hiddenend动作	102	hiddenend	Id_happy	
51	happyend动作	102	happyend	Id_happy	
52	tureend动作	102	tureend	Id_happy	
53	normalend动作	102	normalend	Id_happy	
54	badend动作	102	badend	Id_angry	
55	赠送待机	104	give	Idle	
56	食物待机	104	food	Idle	
57	喜爱食物1	104	likefood	Idle	
58	喜爱食物2	104	lovefood	Idle	
59	礼物待机	104	gift	Idle	
60	喜爱礼物1	104	likegift	Idle	
61	喜爱礼物2	104	lovegift	Idle	
62	好感度升级	104	upgrade	Id_happy	
63	房间待机	104	room	Idle	
64	换装待机	104	dressilde	Idle	
65	换装后动作	104	dress	Id_dress	
66	约会成功动作	104	datingwin	Id_happy	
67	主线失败动作	104	datinglose	Id_angry	
68	hiddenend动作	104	hiddenend	Id_happy	
69	happyend动作	104	happyend	Id_happy	
70	tureend动作	104	tureend	Id_happy	
71	normalend动作	104	normalend	Id_happy	
72	badend动作	104	badend	Id_angry	
73	赠送待机	105	give	Idle	
74	食物待机	105	food	Idle	
75	喜爱食物1	105	likefood	Idle	
76	喜爱食物2	105	lovefood	Idle	
77	礼物待机	105	gift	Idle	
78	喜爱礼物1	105	likegift	Idle	
79	喜爱礼物2	105	lovegift	Idle	
80	好感度升级	105	upgrade	Id_happy	
81	房间待机	105	room	Idle	
82	换装待机	105	dressilde	Idle	
83	换装后动作	105	dress	Id_dress	
84	约会成功动作	105	datingwin	Id_happy	
85	主线失败动作	105	datinglose	Id_angry	
86	hiddenend动作	105	hiddenend	Id_happy	
87	happyend动作	105	happyend	Id_happy	
88	tureend动作	105	tureend	Id_happy	
89	normalend动作	105	normalend	Id_happy	
90	badend动作	105	badend	Id_angry	
