ID	注释	18
id	comment	text
number	comment	string
int	string	string
10000	描述相关	心情值会影响精灵在战斗中的实力发挥以及约会事件的触发几率。
10001	描述相关	白羊座
10002	描述相关	金牛座
10003	描述相关	双子座
10004	描述相关	巨蟹座
10005	描述相关	狮子座
10006	描述相关	处女座
10007	描述相关	天秤座
10008	描述相关	天蝎座
10009	描述相关	射手座
10010	描述相关	摩羯座
10011	描述相关	水瓶座
10012	描述相关	双鱼座
10013	描述相关	吃饭
10014	描述相关	睡觉
10015	描述相关	追剧
10016	描述相关	陌生
10017	描述相关	友善
10018	描述相关	信赖
10019	描述相关	亲密
10020	描述相关	恩爱
10021	描述相关	攻击型
10022	描述相关	生存型
10023	描述相关	辅助型
10024	描述相关	爆发
10025	描述相关	生命
10026	描述相关	连击
10027	描述相关	眩晕
10028	描述相关	闪避
10029	描述相关	冰冻
10030	描述相关	火焰
10031	描述相关	电击
10032	描述相关	护盾
10033	描述相关	破盾
10034	描述相关	恢复
10035	描述相关	移速
10036	描述相关	能量
10100	描述相关	天使
10101	描述相关	魔王
10102	描述相关	装置
12001	城建区域	美食街
12002	城建区域	位于天宫市中心的一条美食街，里面有着琳琅满目的日本传统美食
12003	城建区域	购物中心
12004	城建区域	购物中心内有着当下最流行的各类服装和饰品，引领着整个城市的潮流所在
12005	城建区域	学校
12006	城建区域	来禅高中是天宫市中最好的一所中学，校外有着成排的樱花树，到了樱花盛开的季节景色美不胜收
12007	城建区域	公园
12008	城建区域	位于美食街旁的天宫市公园，白天上了年纪的人在公园内锻炼身体，晚上就会聚集很多小情侣
12009	城建区域	游乐场
12010	城建区域	作为天宫市最大的游乐场，每到周末游乐场里充满了欢声笑语，大人和孩子们每个人的脸上都洋溢着幸福的笑容
12011	城建区域	交易所
12012	城建区域	交易所描述巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉
12013	城建区域	探索区域
12014	城建区域	探索区域描述巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉巴拉
12015	城建建筑	面包坊
12016	城建建筑	面包坊相关说明
12017	城建建筑	饮品店
12018	城建建筑	饮品店相关说明
12019	城建建筑	豪华餐厅
12020	城建建筑	豪华餐厅相关说明
12021	城建建筑	玩偶屋
12022	城建建筑	玩偶屋相关说明
12023	城建建筑	饰品店
12024	城建建筑	饰品店相关说明
12025	城建建筑	花艺居
12026	城建建筑	花艺居相关说明
12027	城建建筑	学校
12028	城建建筑	学校相关说明
12029	城建建筑	公园
12030	城建建筑	公园相关说明
12031	城建建筑	抓蛋机
12032	城建建筑	游戏1相关说明
12033	城建建筑	游戏2
12034	城建建筑	游戏2相关说明
12035	城建建筑	游戏3
12036	城建建筑	游戏3相关说明
12037	城建建筑	交易行
12038	城建建筑	交易行相关说明
12039	新城建系统	浴场
12040	新城建系统	饰品店
12041	新城建系统	玩偶店
12042	新城建系统	花店
12043	新城建系统	豪华餐厅
12044	新城建系统	面包店
12045	新城建系统	饮品店
12046	新城建系统	公寓1F
12047	新城建系统	公寓2F
12048	新城建系统	公寓3F
12049	新城建系统	住宅
12050	新城建系统	度假沙滩
12051	新城建系统	商场
12052	新城建系统	图书馆
12053	新城建系统	学校1F
12054	新城建系统	学校2F
12055	新城建系统	体育馆
12056	新城建系统	公园
12057	新城建系统	神社
12058	新城建系统	游乐场
12059	新城建系统	十香
12060	新城建系统	折纸
12061	新城建系统	四糸乃
12062	新城建系统	狂三
12063	新城建系统	琴里
12064	新城建系统	神无月
12065	新城建系统	令音
12066	新城建系统	殿町宏人
12067	新城建系统	冈峰珠惠
12068	新城建系统	山吹亚衣
12069	新城建系统	叶樱麻衣
12070	新城建系统	藤袴美衣
12071	新城建系统	上班族-男1
12072	新城建系统	上班族-男2
12073	新城建系统	上班族-男3
12074	新城建系统	上班族-男4
12075	新城建系统	上班族-男5
12076	新城建系统	上班族-女1
12077	新城建系统	上班族-女2
12078	新城建系统	上班族-女3
12079	新城建系统	上班族-女4
12080	新城建系统	上班族-女5
12081	新城建系统	高中生-男1
12082	新城建系统	高中生-男2
12083	新城建系统	高中生-男3
12084	新城建系统	高中生-男4
12085	新城建系统	高中生-男5
12086	新城建系统	高中生-女1
12087	新城建系统	高中生-女2
12088	新城建系统	高中生-女3
12089	新城建系统	高中生-女4
12090	新城建系统	高中生-女5
12091	新城建系统	泳装学生-男1
12092	新城建系统	泳装学生-男2
12093	新城建系统	泳装学生-男3
12094	新城建系统	泳装学生-女1
12095	新城建系统	泳装学生-女2
12096	新城建系统	泳装学生-女3
12097	新城建系统	面包店店员-男
12098	新城建系统	面包店店员-女
12099	新城建系统	饮品店店员-男
12100	新城建系统	饮品店店员-女
12101	新城建系统	饮品店服务员-男
12102	新城建系统	饮品店服务员-女
12103	新城建系统	豪华餐厅服务员-男
12104	新城建系统	豪华餐厅服务员-女
12105	新城建系统	玩偶店店员-男
12106	新城建系统	玩偶店店员-女
12107	新城建系统	饰品店店员-男
12108	新城建系统	饰品店店员-女
12109	新城建系统	花艺店店员-男
12110	新城建系统	花艺店店员-女
12111	新城建系统	超市店员-男
12112	新城建系统	超市店员-女
12113	新城建系统	游乐园店员-男
12114	新城建系统	游乐园店员-女
12115	新城建系统	浴场店员-男
12116	新城建系统	浴场店员-女
12117	新城建系统	对话1对话1对话1对话1对话1
12118	新城建系统	对话2对话2对话2对话2对话2对话2
12119	新城建系统	兼职
12120	新城建系统	温泉
12121	新城建系统	手工
12122	新城建系统	料理
12123	新城建系统	面包店-兼职1
12124	新城建系统	面包店-兼职2
12125	新城建系统	面包店-兼职3
12126	新城建系统	面包店-兼职4
12127	新城建系统	面包店-兼职5
12128	新城建系统	面包店-兼职6
12129	新城建系统	面包店-兼职7
12130	新城建系统	面包店-兼职8
12131	新城建系统	面包店-兼职9
12132	新城建系统	面包店-兼职10
12133	新城建系统	饮品店-兼职1
12134	新城建系统	饮品店-兼职2
12135	新城建系统	饮品店-兼职3
12136	新城建系统	饮品店-兼职4
12137	新城建系统	饮品店-兼职5
12138	新城建系统	饮品店-兼职6
12139	新城建系统	饮品店-兼职7
12140	新城建系统	饮品店-兼职8
12141	新城建系统	饮品店-兼职9
12142	新城建系统	饮品店-兼职10
12143	新城建系统	豪华餐厅-兼职1
12144	新城建系统	豪华餐厅-兼职2
12145	新城建系统	豪华餐厅-兼职3
12146	新城建系统	豪华餐厅-兼职4
12147	新城建系统	豪华餐厅-兼职5
12148	新城建系统	豪华餐厅-兼职6
12149	新城建系统	豪华餐厅-兼职7
12150	新城建系统	豪华餐厅-兼职8
12151	新城建系统	豪华餐厅-兼职9
12152	新城建系统	豪华餐厅-兼职10
12153	新城建系统	花店-兼职1
12154	新城建系统	花店-兼职2
12155	新城建系统	花店-兼职3
12156	新城建系统	花店-兼职4
12157	新城建系统	花店-兼职5
12158	新城建系统	花店-兼职6
12159	新城建系统	花店-兼职7
12160	新城建系统	花店-兼职8
12161	新城建系统	花店-兼职9
12162	新城建系统	花店-兼职10
12163	新城建系统	饰品店-兼职1
12164	新城建系统	饰品店-兼职2
