id	卡池id	物品名称	物品名称2	10连最大重复次数	祈愿值重置标记（0不重置，1重置）	品质	类型(1精灵，2质点，3道具）	映射物品id	权重(格式：新手单抽,新手10连,正常单抽,正常10连）
id	poolType	name	name	repeatNum	composeReset	quality	type	itemMap	weight
number	number	string	comment	number	boolean	number	number	json	numbers
int	int			int	boolean	int	int	map	int[]
1	1	7级经验道具	7级经验道具	10	0	1	3	{510107:2}	350-350-350-350
2	1	8级经验道具	8级经验道具	10	0	1	3	{510108:2}	350-350-350-350
3	1	9级经验道具	9级经验道具	10	0	1	3	{510109:2}	350-350-350-350
4	1	10级经验道具	10级经验道具	10	0	1	3	{510110:2}	350-350-350-350
5	1	7级金币道具	7级金币道具	10	0	1	3	{510157:2}	150-150-150-150
6	1	8级金币道具	8级金币道具	10	0	1	3	{510158:2}	150-150-150-150
7	1	9级金币道具	9级金币道具	10	0	1	3	{510159:2}	150-150-150-150
8	1	10级金币道具	10级金币道具	10	0	1	3	{510160:2}	150-150-150-150
9	1	3星经验质点	3星经验质点	10	0	1	2	{230009:1}	400-400-400-400
10	1	4星经验质点	4星经验质点	10	0	1	2	{240009:1}	400-400-400-400
11	1	3星常规质点1	3星常规质点1	10	0	1	2	{230030:1}	160-160-160-160
12	1	3星常规质点2	3星常规质点2	10	0	1	2	{230031:1}	160-160-160-160
13	1	3星常规质点3	3星常规质点3	10	0	1	2	{230032:1}	160-160-160-160
14	1	3星常规质点4	3星常规质点4	10	0	1	2	{230033:1}	160-160-160-160
15	1	3星常规质点5	3星常规质点5	10	0	1	2	{230034:1}	160-160-160-160
16	1	3星常规质点6	3星常规质点6	10	0	1	2	{230035:1}	160-160-160-160
17	1	3星常规质点7	3星常规质点7	10	0	1	2	{230036:1}	160-160-160-160
18	1	3星常规质点8	3星常规质点8	10	0	1	2	{230037:1}	160-160-160-160
19	1	3星常规质点9	3星常规质点9	10	0	1	2	{230038:1}	160-160-160-160
20	1	3星常规质点10	3星常规质点10	10	0	1	2	{230039:1}	160-160-160-160
21	1	4星常规质点1	4星常规质点1	10	0	1	2	{240040:1}	180-180-180-180
22	1	4星常规质点2	4星常规质点2	10	0	1	2	{240041:1}	180-180-180-180
23	1	4星常规质点3	4星常规质点3	10	0	1	2	{240042:1}	180-180-180-180
24	1	4星常规质点4	4星常规质点4	10	0	1	2	{240043:1}	180-180-180-180
25	1	4星常规质点5	4星常规质点5	10	0	1	2	{240044:1}	180-180-180-180
26	1	4星常规质点6	4星常规质点6	10	0	1	2	{240045:1}	180-180-180-180
27	1	4星常规质点7	4星常规质点7	10	0	1	2	{240046:1}	180-180-180-180
28	1	4星常规质点8	4星常规质点8	10	0	1	2	{240047:1}	180-180-180-180
29	1	4星常规质点9	4星常规质点9	10	0	1	2	{240048:1}	180-180-180-180
30	1	4星常规质点10	4星常规质点10	10	0	1	2	{240049:1}	180-180-180-180
31	1	5星常规质点1	5星常规质点1	1	0	5	2	{250050:1}	80-80-80-80
32	1	5星常规质点2	5星常规质点2	1	0	5	2	{250051:1}	80-80-80-80
33	1	5星常规质点3	5星常规质点3	1	0	5	2	{250052:1}	80-80-80-80
34	1	5星常规质点4	5星常规质点4	1	0	5	2	{250053:1}	80-80-80-80
35	1	5星常规质点5	5星常规质点5	1	0	5	2	{250054:1}	80-80-80-80
36	1	5星常规质点6	5星常规质点6	1	0	5	2	{250055:1}	80-80-80-80
37	1	5星常规质点7	5星常规质点7	1	0	5	2	{250056:1}	80-80-80-80
38	1	5星常规质点8	5星常规质点8	1	0	5	2	{250057:1}	80-80-80-80
39	1	5星常规质点9	5星常规质点9	1	0	5	2	{250058:1}	80-80-80-80
40	1	5星常规质点10	5星常规质点10	1	0	5	2	{250059:1}	80-80-80-80
41	1	5星套装3质点1	5星套装3质点1	1	0	5	2	{250083:1}	60-60-60-60
42	1	5星套装3质点2	5星套装3质点2	1	0	5	2	{250085:1}	60-60-60-60
43	1	5星套装3质点3	5星套装3质点3	1	0	5	2	{250086:1}	60-60-60-60
44	1	5星套装4质点1	5星套装4质点1	1	0	5	2	{250096:1}	60-60-60-60
45	1	5星套装4质点2	5星套装4质点2	1	0	5	2	{250098:1}	60-60-60-60
46	1	5星套装4质点3	5星套装4质点3	1	0	5	2	{250099:1}	60-60-60-60
47	1	5星套装5质点1	5星套装5质点1	1	0	5	2	{250107:1}	60-60-60-60
48	1	5星套装5质点2	5星套装5质点2	1	0	5	2	{250108:1}	60-60-60-60
49	1	5星套装5质点3	5星套装5质点3	1	0	5	2	{250109:1}	60-60-60-60
50	1	灵装十香碎片	灵装十香碎片	10	0	1	3	{510301:5}	215-215-215-215
51	1	DEM真那碎片	DEM真那碎片	10	0	1	3	{510309:5}	215-215-215-215
52	1	灵装耶俱矢碎片	灵装耶俱矢碎片	10	0	1	3	{510311:5}	200-200-200-200
53	1	灵装夕弦碎片	灵装夕弦碎片	10	0	1	3	{510312:5}	200-200-200-200
54	1	灵装美九碎片	灵装美九碎片	10	0	1	3	{510314:5}	200-200-200-200
55	1	灵装琴里碎片	灵装琴里碎片	10	0	1	3	{510308:5}	200-200-200-200
56	1	灵装狂三碎片	灵装狂三碎片	10	0	1	3	{510307:5}	200-200-200-200
57	1	DEM艾伦碎片	DEM艾伦碎片	10	0	1	3	{510313:5}	150-150-150-150
58	1	反转十香碎片	反转十香碎片	10	0	1	3	{510303:5}	150-150-150-150
59	1	DEM真那	DEM真那	1	0	1	1	{110601:1}	150-150-150-150
60	1	灵装十香	灵装十香	1	0	1	1	{110101:1}	150-150-150-150
61	1	灵装耶俱矢	灵装耶俱矢	1	0	5	1	{110701:1}	0-0-0-0
62	1	灵装夕弦	灵装夕弦	1	0	5	1	{110801:1}	0-0-0-0
63	1	灵装美九	灵装美九	1	0	5	1	{111001:1}	0-0-0-0
64	1	灵装琴里	灵装琴里	1	0	5	1	{110501:1}	45-45-45-45
65	1	灵装狂三	灵装狂三	1	0	5	1	{110401:1}	45-45-45-45
66	1	反转十香	反转十香	1	0	5	1	{110103:1}	0-0-0-0
67	1	DEM艾伦	DEM艾伦	1	0	5	1	{110901:1}	0-0-0-0
68	2	3级经验道具	3级经验道具	10	0	1	3	{510103:2}	775-775-775-775
69	2	4级经验道具	4级经验道具	10	0	1	3	{510104:2}	775-775-775-775
70	2	5级经验道具	5级经验道具	10	0	1	3	{510105:2}	775-775-775-775
71	2	6级经验道具	6级经验道具	10	0	1	3	{510106:2}	775-775-775-775
72	2	3级金币道具	3级金币道具	10	0	1	3	{510153:2}	625-625-625-625
73	2	4级金币道具	4级金币道具	10	0	1	3	{510154:2}	625-625-625-625
74	2	5级金币道具	5级金币道具	10	0	1	3	{510155:2}	625-625-625-625
75	2	6级金币道具	6级金币道具	10	0	1	3	{510156:2}	625-625-625-625
76	2	1星经验质点	1星经验质点	10	0	1	2	{210009:1}	400-400-400-400
77	2	2星经验质点	2星经验质点	10	0	1	2	{220009:1}	400-400-400-400
78	2	2星常规质点1	2星常规质点1	10	0	1	2	{220020:1}	250-250-250-250
79	2	2星常规质点2	2星常规质点2	10	0	1	2	{220021:1}	250-250-250-250
80	2	2星常规质点3	2星常规质点3	10	0	1	2	{220022:1}	250-250-250-250
81	2	2星常规质点4	2星常规质点4	10	0	1	2	{220023:1}	250-250-250-250
82	2	2星常规质点5	2星常规质点5	10	0	1	2	{220024:1}	250-250-250-250
83	2	2星常规质点6	2星常规质点6	10	0	1	2	{220025:1}	250-250-250-250
84	2	2星常规质点7	2星常规质点7	10	0	1	2	{220026:1}	250-250-250-250
85	2	2星常规质点8	2星常规质点8	10	0	1	2	{220027:1}	250-250-250-250
86	2	2星常规质点9	2星常规质点9	10	0	1	2	{220028:1}	250-250-250-250
87	2	2星常规质点10	2星常规质点10	10	0	1	2	{220029:1}	250-250-250-250
88	2	3星常规质点1	3星常规质点1	10	0	1	2	{230030:1}	50-50-50-50
89	2	3星常规质点2	3星常规质点2	10	0	1	2	{230031:1}	50-50-50-50
90	2	3星常规质点3	3星常规质点3	10	0	1	2	{230032:1}	50-50-50-50
91	2	3星常规质点4	3星常规质点4	10	0	1	2	{230033:1}	50-50-50-50
92	2	3星常规质点5	3星常规质点5	10	0	1	2	{230034:1}	50-50-50-50
93	2	3星常规质点6	3星常规质点6	10	0	1	2	{230035:1}	50-50-50-50
94	2	3星常规质点7	3星常规质点7	10	0	1	2	{230036:1}	50-50-50-50
95	2	3星常规质点8	3星常规质点8	10	0	1	2	{230037:1}	50-50-50-50
96	2	3星常规质点9	3星常规质点9	10	0	1	2	{230038:1}	50-50-50-50
97	2	3星常规质点10	3星常规质点10	10	0	1	2	{230039:1}	50-50-50-50
98	2	AST折纸碎片	AST折纸碎片	10	0	1	3	{510304:2}	150-150-150-150
99	2	灵装四糸乃碎片	灵装四糸乃碎片	10	0	1	3	{510306:2}	150-150-150-150
100	2	灵装十香碎片	灵装十香碎片	10	0	1	3	{510301:2}	125-125-125-125
101	2	DEM真那碎片	DEM真那碎片	10	0	1	3	{510309:2}	125-125-125-125
102	2	AST折纸	AST折纸	1	0	1	1	{110201:1}	15-15-15-15
103	2	灵装四糸乃	灵装四糸乃	1	0	1	1	{110301:1}	15-15-15-15
