id	任务类型（1主线任务 2日常任务 3成就 4活动任务 5活跃度奖励 6七日签到 7次日奖励 8 十香活动任务）	重置类型（1.不会重置2.每天重置）	内容类型（1.指定副本关卡 2.其他）	客户端排序	任务名称	任务名称2	icon	icon底板颜色	icon气泡颜色	颜色备注	任务描述	任务描述2	任务类型标签（主线使用）	接取条件id（关联事件表）	接取参数	完成条件id（关联事件表）	完成参数	需要进度	完成奖励	任务描述3	跳转界面	完成结果（1.被后置任务替换。2.保留此任务，出现后置任务）	继承进度的任务id	是否开启	有效时间(单位为天，-1为永久生效）
id	type	resetType	subType	order	name	name2	icon	colour1	colour2	comment	des	des2	typeDes	acceptCondId	acceptParams	finishCondId	finishParams	progress	reward	des3	jumpInterface	completeResult	extendsTaskId	open	effectiveTime
number	number	number	number	number	string	comment	string	json	json	comment	string	comment	string	number	json	number	json	number	vjson	comment	number	number	number	boolean	number
int	int	int	int											int	map	int	map	int	map				int	boolean	int
10001	5	2	2	1		30活跃								10001	{"plvl":1}	2003	{"itemId":500014}	30	{500001:2000,510101:5}			2		1	-1
10002	5	2	2	2		50活跃								10001	{"plvl":1}	2003	{"itemId":500014}	50	{500001:5000,510102:5}			2		1	-1
10003	5	2	2	3		80活跃								10001	{"plvl":1}	2003	{"itemId":500014}	80	{500002:5,570001:20}			2		1	-1
10004	5	2	2	4		100活跃								10001	{"plvl":1}	2003	{"itemId":500014}	100	{500002:10,570002:5}			2		1	-1
10005	5	2	2	5		120活跃								10001	{"plvl":1}	2003	{"itemId":500014}	120	{500002:15,570032:1}			2		1	-1
20001	1	1	1	1	1310001	陌路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}	紫色	1320001	通关%s%s难度%s副本	1330001	10001	{"plvl":1}	9007	{"dunId":101101}	1	{500005:5,500001:200}		16	1		1	-1
20002	1	1	1	2	1310002	陌路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关%s%s难度%s副本	1330001	10001	{"pre_task_id":20001}	9007	{"dunId":101102}	1	{500005:5,500001:200}		16	1		1	-1
20003	1	1	1	3	1310003	陌路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章普通难度%s副本	1330001	10001	{"pre_task_id":20002}	9007	{"dunId":101105}	1	{500005:5,500001:200}		16	1		1	-1
20004	1	1	1	4	1310004	陌路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章普通难度%s副本	1330001	10001	{"pre_task_id":20003}	9007	{"dunId":101103}	1	{500005:5,500001:200}		16	1		1	-1
20005	1	1	1	5	1310005	陌路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章普通难度%s副本	1330001	10001	{"pre_task_id":20004}	9007	{"dunId":101104}	1	{500005:5,500001:200}		16	1		1	-1
20006	1	1	1	6	1310006	陌路人十香	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}	绿色	1320001	通关第二章普通难度%s副本	1330001	10001	{"pre_task_id":20005}	9007	{"dunId":101205}	1	{500005:5,500001:200}		16	1		1	-1
20007	1	1	1	7	1310007	陌路人十香	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度2-2副本	1330001	10001	{"pre_task_id":20006}	9007	{"dunId":101206}	1	{500005:5,500001:200}		16	1		1	-1
20008	1	1	1	8	1310008	陌路人十香	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度2-3副本	1330001	10001	{"pre_task_id":20007}	9007	{"dunId":101207}	1	{500005:5,500001:200}		16	1		1	-1
20009	1	1	1	9	1310009	陌路人十香	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度2-4副本	1330001	10001	{"pre_task_id":20008}	9007	{"dunId":101207}	1	{500005:5,500001:200}		16	1		1	-1
20010	1	1	1	10	1310010	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度2-5副本	1330001	10001	{"pre_task_id":20009}	9007	{"dunId":102101}	1	{500005:6,500001:300}		16	1		1	-1
20011	1	1	1	11	1310011	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度2-6副本	1330001	10001	{"pre_task_id":20010}	9007	{"dunId":102102}	1	{500005:6,500001:300}		16	1		1	-1
20012	1	1	1	12	1310012	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度3-1副本	1330001	10001	{"pre_task_id":20011}	9007	{"dunId":102103}	1	{500005:6,500001:300}		16	1		1	-1
20013	1	1	1	13	1310013	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度3-2副本	1330001	10001	{"pre_task_id":20012}	9007	{"dunId":102104}	1	{500005:6,500001:300}		16	1		1	-1
20014	1	1	1	14	1310014	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度3-3副本	1330001	10001	{"pre_task_id":20013}	9007	{"dunId":102205}	1	{500005:6,500001:300}		16	1		1	-1
20015	1	1	1	15	1310015	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度3-4副本	1330001	10001	{"pre_task_id":20014}	9007	{"dunId":102206}	1	{500005:6,500001:300}		16	1		1	-1
20016	1	1	1	16	1310016	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度3-5副本	1330001	10001	{"pre_task_id":20015}	9007	{"dunId":102207}	1	{500005:6,500001:300}		16	1		1	-1
20017	1	1	1	17	1310017	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度3-6副本	1330001	10001	{"pre_task_id":20015}	9007	{"dunId":102208}	1	{500005:6,500001:300}		16	1		1	-1
20018	1	1	1	18	1310018	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}	红色	1320001	通关第四章普通难度4-1副本	1330001	10001	{"pre_task_id":20017}	9007	{"dunId":102309}	1	{500005:6,500001:300}		16	1		1	-1
20019	1	1	1	19	1310019	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度4-2副本	1330001	10001	{"pre_task_id":20018}	9007	{"dunId":102310}	1	{500005:6,500001:300}		16	1		1	-1
20020	1	1	1	20	1310020	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度4-3副本	1330001	10001	{"pre_task_id":20018}	9007	{"dunId":102311}	1	{500005:6,500001:300}		16	1		1	-1
20021	1	1	1	21	1310021	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度4-4副本	1330001	10001	{"pre_task_id":20019}	9007	{"dunId":102312}	1	{500005:6,500001:300}		16	1		1	-1
20022	1	1	1	22	1310022	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度4-5副本	1330001	10001	{"pre_task_id":20021}	9007	{"dunId":102313}	1	{500005:6,500001:300}		16	1		1	-1
20023	1	1	1	23	1310023	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度4-6副本	1330001	10001	{"pre_task_id":20022}	9007	{"dunId":102314}	1	{500005:6,500001:300}		16	1		1	-1
20024	1	1	1	24	1310024	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度4-7副本	1330001	10001	{"pre_task_id":20023}	9007	{"dunId":103101}	1	{500005:7,500001:400}		16	1		1	-1
20025	1	1	1	25	1310025	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度4-8副本	1330001	10001	{"pre_task_id":20024}	9007	{"dunId":103102}	1	{500005:7,500001:400}		16	1		1	-1
20026	1	1	1	26	1310026	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度4-9副本	1330001	10001	{"pre_task_id":20025}	9007	{"dunId":103103}	1	{500005:7,500001:400}		16	1		1	-1
20027	1	1	1	27	1310027	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-1副本	1330001	10001	{"pre_task_id":20025}	9007	{"dunId":103104}	1	{500005:7,500001:400}		16	1		1	-1
20028	1	1	1	28	1310028	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-2副本	1330001	10001	{"pre_task_id":20027}	9007	{"dunId":103105}	1	{500005:7,500001:400}		16	1		1	-1
