顺序ID	界面名称	界面文件名	图标	名称	是否显示顶部底板	是否显示帮助(1显示0隐藏)	帮助文字	是否显示资源条(1显示0隐藏)	资源条内容（资源类型：是否可购买）	是否显示返回(1显示0隐藏)	是否显示主界面(1显示0隐藏)	帮助界面组	帮助标题	帮助文本	是否为动态背景
id	name	fileName	icon	name	isDiban	isHelp	help	isResource	resource	isBack	isMain	helpInterface	helpTitle	helpDes	dynamic
number	string	string	string	string	boolean	boolean	string	boolean	vjson	boolean	boolean	numbers	number	number	boolean
int	string	string	string	string	boolean	boolean	string	boolean	map	boolean	boolean	int[]	int	int	boolean
1	作战主线	FubenLevelView	icon/system/025.png	作战·副本	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60001	61001	0
2	作战中心	FubenChapterView	icon/system/025.png	作战·中心	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60002	61002	0
3	日常副本	FubenDailyView	icon/system/025.png	作战·日常	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60002	61002	0
4	战斗准备	FubenSquadView	icon/system/025.png	作战·准备	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60004	61004	0
5	精灵强化	FairyMainLayer	icon/system/025.png	精灵·强化	1	1		1	{500004:1,500001:1,500002:1}	1	1	1-2-3	60005	61005	0
6	精灵天使强化	AngelInfo	icon/system/025.png	精灵·天使	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60006	61006	1
7	背包	BagView	icon/system/025.png	背包·仓库	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60007	61007	1
8	补给	StoreMainView	icon/system/025.png	补给·常规	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60008	61008	1
9	城市地图	CityMainView	icon/system/025.png	城市·总览	1	1		1	{500001:1,500002:1,500018:1}	1	1	999	60009	61009	0
10	打工选择	CityInfoView	icon/system/025.png	城市·信息	1	1		1	{500001:1,500002:1,500018:1}	1	1	999	60010	61010	0
11	打工主界面	CityWorkView	icon/system/025.png	城市·建筑	1	1		1	{500001:1,500002:1,500018:1}	1	1	999	60011	61011	0
12	约会主界面	RoleInfoLayer	icon/system/025.png	约会·信息	1	1		0		1	1	999	60012	61012	0
13	主线约会	DatingScriptView			0	0		0		1	0				0
14	灵装	EquipmentSelect	icon/system/025.png	质点·更换	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60013	61013	1
15	灵装详细界面	EquipmentInfo	icon/system/025.png	质点·信息	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60014	61014	0
16	灵装强化	EquipmentStrengthen	icon/system/025.png	质点·强化	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60015	61015	1
17	灵装洗练	EquipConvert	icon/system/025.png	质点·洗练	1	1		1	{500004:1,500001:1,500002:1}	1	1	999	60016	61016	1
