效果ID	描述（策划看）	表名(1skill,2skillAction,3skillEffect,4skillHurt)	字段名	数据ID	改变方式（1加减，2替换,3乘除）	参数类型	参数1(字符串)	参数2(字符串数组)	参数3(布尔值)	参数4(数值)	参数5(数值数组)	帧事件触发（skillAction表中动作连招字段）
id	disc	listName	fieldName	listData	changeType	valueType	data1	data2	data3	data4	data5	data6
number	string	number	string	number	number	number	string	strings	boolean	number	numbers	strings
int	string	int	string	int	int	int	string	strings	boolean	int	int[]	strings
1011001	十香-普攻--伤害1级-1段	4	hurtScale	1001	1	4				0.06		
1011002	十香-普攻--伤害1级-2段	4	hurtScale	1002	1	4				0.06		
1011003	十香-普攻--伤害1级-3段	4	hurtScale	1003	1	4				0.06		
1011004	十香-普攻--伤害1级-4段	4	hurtScale	1004	1	4				0.06		
1011005	十香-普攻--伤害1级-5段	4	hurtScale	1005	1	4				0.06		
1011006	十香-普攻--伤害2级-1段	4	hurtScale	1001	1	4				0.09		
1011007	十香-普攻--伤害2级-2段	4	hurtScale	1002	1	4				0.09		
1011008	十香-普攻--伤害2级-3段	4	hurtScale	1003	1	4				0.09		
1011009	十香-普攻--伤害2级-4段	4	hurtScale	1004	1	4				0.09		
1011010	十香-普攻--伤害2级-5段	4	hurtScale	1005	1	4				0.09		
1011011	十香-普攻--伤害3级-1段	4	hurtScale	1001	1	4				0.12		
1011012	十香-普攻--伤害3级-2段	4	hurtScale	1002	1	4				0.12		
1011013	十香-普攻--伤害3级-3段	4	hurtScale	1003	1	4				0.12		
1011014	十香-普攻--伤害3级-4段	4	hurtScale	1004	1	4				0.12		
1011015	十香-普攻--伤害3级-5段	4	hurtScale	1005	1	4				0.12		
1011016	十香-普攻--伤害4级-1段	4	hurtScale	1001	1	4				0.15		
1011017	十香-普攻--伤害4级-2段	4	hurtScale	1002	1	4				0.15		
1011018	十香-普攻--伤害4级-3段	4	hurtScale	1003	1	4				0.15		
1011019	十香-普攻--伤害4级-4段	4	hurtScale	1004	1	4				0.15		
1011020	十香-普攻--伤害4级-5段	4	hurtScale	1005	1	4				0.15		
1011021	十香-普攻-机械伤1级-1段	4	hurtValue652	1001	1	4				200		
1011022	十香-普攻-机械伤1级-2段	4	hurtValue652	1002	1	4				200		
1011023	十香-普攻-机械伤1级-3段	4	hurtValue652	1003	1	4				200		
1011024	十香-普攻-机械伤1级-4段	4	hurtValue652	1004	1	4				200		
1011025	十香-普攻-机械伤1级-5段	4	hurtValue652	1005	1	4				200		
1011026	十香-普攻-机械伤2级-1段	4	hurtValue652	1001	1	4				400		
1011027	十香-普攻-机械伤2级-2段	4	hurtValue652	1002	1	4				400		
1011028	十香-普攻-机械伤2级-3段	4	hurtValue652	1003	1	4				400		
1011029	十香-普攻-机械伤2级-4段	4	hurtValue652	1004	1	4				400		
1011030	十香-普攻-机械伤2级-5段	4	hurtValue652	1005	1	4				400		
1011031	十香-普攻-机械伤3级-1段	4	hurtValue652	1001	1	4				600		
1011032	十香-普攻-机械伤3级-2段	4	hurtValue652	1002	1	4				600		
1011033	十香-普攻-机械伤3级-3段	4	hurtValue652	1003	1	4				600		
1011034	十香-普攻-机械伤3级-4段	4	hurtValue652	1004	1	4				600		
1011035	十香-普攻-机械伤3级-5段	4	hurtValue652	1005	1	4				600		
1011036	十香-普攻-机械伤4级-1段	4	hurtValue652	1001	1	4				800		
1011037	十香-普攻-机械伤4级-2段	4	hurtValue652	1002	1	4				800		
1011038	十香-普攻-机械伤4级-3段	4	hurtValue652	1003	1	4				800		
1011039	十香-普攻-机械伤4级-4段	4	hurtValue652	1004	1	4				800		
1011040	十香-普攻-机械伤4级-5段	4	hurtValue652	1005	1	4				800		
1011041	十香-普攻攻速1段1级	2	actionSpeed	101	1	4				300		
1011042	十香-普攻攻速2段1级	2	actionSpeed	102	1	4				300		
1011043	十香-普攻攻速3段1级	2	actionSpeed	103	1	4				300		
1011044	十香-普攻攻速4段1级	2	actionSpeed	110	1	4				300		
1011045	十香-普攻攻速5段1级	2	actionSpeed	111	1	4				300		
1011046	十香-普攻攻速1段2级	2	actionSpeed	101	1	4				500		
1011047	十香-普攻攻速2段2级	2	actionSpeed	102	1	4				500		
1011048	十香-普攻攻速3段2级	2	actionSpeed	103	1	4				500		
1011049	十香-普攻攻速4段2级	2	actionSpeed	110	1	4				500		
1011050	十香-普攻攻速5段2级	2	actionSpeed	111	1	4				500		
1011051	十香-普攻攻速1段3级	2	actionSpeed	101	1	4				700		
1011052	十香-普攻攻速2段3级	2	actionSpeed	102	1	4				700		
1011053	十香-普攻攻速3段3级	2	actionSpeed	103	1	4				700		
1011054	十香-普攻攻速4段3级	2	actionSpeed	110	1	4				700		
1011055	十香-普攻攻速5段3级	2	actionSpeed	111	1	4				700		
1011056	十香-普攻攻速1段4级	2	actionSpeed	101	1	4				1000		
1011057	十香-普攻攻速2段4级	2	actionSpeed	102	1	4				1000		
1011058	十香-普攻攻速3段4级	2	actionSpeed	103	1	4				1000		
1011059	十香-普攻攻速4段4级	2	actionSpeed	110	1	4				1000		
1011060	十香-普攻攻速5段4级	2	actionSpeed	111	1	4				1000		
1011061	十香-普攻-目标免伤率1级-1段	4	targetValue502	1001	1	4				500		
1011062	十香-普攻-目标免伤率1级-2段	4	targetValue502	1002	1	4				500		
1011063	十香-普攻-目标免伤率1级-3段	4	targetValue502	1003	1	4				500		
