id	名称(策划用,ID=(heroId-1)*1000+type*1000+pos*10+1)	效果描述(策划用,51字内)	效果名称	效果图标	图标边框	所属英雄	技能ID(不同皮肤技能用数组形式)	技能类型(1普攻,2技能一,3小技能二,4必杀,5闪避技能,6觉醒技能,7,出场技能,8.下落技能,9起身震飞,0被动)	效果编号(1-9)	效果等级	基本描述	效果简述	被动技能补充描述	加成效果显示	消耗天赋点	前置效果要求	后置技能	主技能连线标识(连主技能=1,不连不填)	英雄等级要求	天使星级要求	附加效果	附带buff	展示视频	服务器位置（警告:不可修改）
id	name	name2	nameId	icon	Frame	heroId	skillId	skillType	pos	lvl	describe	tips1	PassiveSkillDescribe	tips2	needSkillPiont	frontCondition	PostPositionSkill	Sign	needHeroLvl	needAngelLvl	affixeID	attachBuff	video	position
number	comment	comment	number	string	string	number	numbers	number	number	number	string	string	string	string	number	json	json	number	number	number	numbers	numbers	string	number
int						int	int[]	int		int					int	list	list		int	int	int[]	int[]		int
110106011	十香觉醒-1级	十香觉醒-1级	10101001			110101	100130	6	1	1	10102001	10103001			5				1	1				1
110106012	十香觉醒-2级	十香觉醒-2级	10101002			110101	100130	6	1	2	10102002	10103002			5				1	1				1
110106013	十香觉醒-3级	十香觉醒-3级	10101003			110101	100130	6	1	3	10102003	10103003			5				1	1				1
110106014	十香觉醒-4级	十香觉醒-4级	10101004			110101	100130	6	1	4	10102004	10103004			5				1	1				1
110101111	十香普攻-追击本能	普攻命中后,移动速度+3%,持续3秒	10101005	icon/angleskill/10112_angleskillA.png	ui/fairy_angle/024.png	110101	100110	1	11	1	10102005	10103005			5				1	1		10110111		11
110101112	十香普攻-追击本能	普攻命中后,移动速度+5%,持续3秒	10101006	icon/angleskill/10112_angleskillA.png	ui/fairy_angle/024.png	110101	100110	1	11	2	10102006	10103006			5				1	1		10110112		11
110101113	十香普攻-追击本能	普攻命中后,移动速度+8%,持续3秒	10101007	icon/angleskill/10112_angleskillA.png	ui/fairy_angle/024.png	110101	100110	1	11	3	10102007	10103007			5		[110101191,110101192,110101193,110101194]		1	1		10110113		11
110101061	十香普攻-十香4段	普攻可以连续发出4段攻击	10101008	icon/angleskill/10012_angleskillA.png	ui/fairy_angle/024.png	110101	100110	1	6	1	10102008	10103008			10	[[110101024]]	[110101121,110101122,110101123,110101124]		1	1	1011801		video/sx_1_1.mp4	6
110101021	十香普攻-伤害提升	普攻伤害+6%	10101009	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/024.png	110101	100110	1	2	1	10102009	10103009			5			1	1	1	1011001-1011002-1011003-1011004-1011005			2
