音效ID	角色ID	音效事件	音效事件参数	备注文字(策划看)	播放概率(万分比)	音效CD	音效资源
id	roleId	eventType	param	describe	probability	cdTime	resources
number	number	number	number	string	number	number	strings
int	int	int	int	string	int	int	strings
1	110101	5	0	战斗胜利	10000	0	sound/battle_sound/10101/voice/TOUKA_26.mp3-sound/battle_sound/10101/voice/TOUKA_27.mp3-sound/battle_sound/10101/voice/TOUKA_69.mp3
2	110101	7	0	切换角色(登场)	10000	0	sound/battle_sound/10101/voice/TOUKA_28.mp3-sound/battle_sound/10101/voice/TOUKA_29.mp3-sound/battle_sound/10101/voice/TOUKA_70.mp3-sound/battle_sound/10101/voice/TOUKA_71.mp3-sound/battle_sound/10101/voice/TOUKA_68.mp3
3	110101	6	0	战斗失败	10000	0	sound/battle_sound/10101/voice/TOUKA_30.mp3-sound/battle_sound/10101/voice/TOUKA_31.mp3-sound/battle_sound/10101/voice/TOUKA_73.mp3
4	110101	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10101/voice/TOUKA_32.mp3-sound/battle_sound/10101/voice/TOUKA_33.mp3
5	110101	4	0	击杀敌人	10000	5000	sound/battle_sound/10101/voice/TOUKA_34.mp3-sound/battle_sound/10101/voice/TOUKA_35.mp3-sound/battle_sound/10101/voice/TOUKA_72.mp3
6	110101	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10101/voice/TOUKA_36.mp3-sound/battle_sound/10101/voice/TOUKA_37.mp3
7	110101	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10101/voice/TOUKA_38.mp3-sound/battle_sound/10101/voice/TOUKA_39.mp3
8	110103	5	0	战斗胜利	10000	0	sound/battle_sound/10103/voice/TOUKA_242.mp3-sound/battle_sound/10103/voice/TOUKA_HENTEN_02.mp3
9	110103	7	0	切换角色(登场)	10000	0	sound/battle_sound/10103/voice/TOUKA_HENTEN_03.mp3-sound/battle_sound/10103/voice/TOUKA_244.mp3-sound/battle_sound/10103/voice/TOUKA_245.mp3-sound/battle_sound/10103/voice/TOUKA_246.mp3
10	110103	6	0	战斗失败	10000	0	sound/battle_sound/10103/voice/TOUKA_HENTEN_04.mp3-sound/battle_sound/10103/voice/TOUKA_243.mp3-sound/battle_sound/10103/voice/TOUKA_253.mp3
11	110103	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10103/voice/TOUKA_HENTEN_05.mp3
12	110103	4	0	击杀敌人	10000	5000	sound/battle_sound/10103/voice/TOUKA_HENTEN_06.mp3-sound/battle_sound/10103/voice/TOUKA_247.mp3
13	110103	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10103/voice/TOUKA_HENTEN_07.mp3
14	110103	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10103/voice/TOUKA_HENTEN_08.mp3-sound/battle_sound/10103/voice/TOUKA_248.mp3-sound/battle_sound/10103/voice/TOUKA_249.mp3
15	110201	5	0	战斗胜利	10000	0	sound/battle_sound/10201/voice/ORIGAMI_AST_03.mp3-sound/battle_sound/10201/voice/ORIGAMI_AST_04.mp3
16	110201	7	0	切换角色(登场)	10000	0	sound/battle_sound/10201/voice/ORIGAMI_AST_05.mp3-sound/battle_sound/10201/voice/ORIGAMI_AST_06.mp3-sound/battle_sound/10201/voice/ORIGAMI_AST_07.mp3-sound/battle_sound/10201/voice/ORIGAMI_AST_08.mp3-sound/battle_sound/10201/voice/ORIGAMI_52.mp3
17	110201	6	0	战斗失败	10000	0	sound/battle_sound/10201/voice/ORIGAMI_AST_09.mp3-sound/battle_sound/10201/voice/ORIGAMI_51.mp3-sound/battle_sound/10201/voice/ORIGAMI_56.mp3
18	110201	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10201/voice/ORIGAMI_AST_10.mp3
19	110201	4	0	击杀敌人	10000	5000	sound/battle_sound/10201/voice/ORIGAMI_AST_11.mp3-sound/battle_sound/10201/voice/ORIGAMI_AST_12.mp3-sound/battle_sound/10201/voice/ORIGAMI_AST_19.mp3-sound/battle_sound/10201/voice/ORIGAMI_AST_20.mp3
20	110201	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10201/voice/ORIGAMI_AST_13.mp3
21	110201	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10201/voice/ORIGAMI_AST_14.mp3-sound/battle_sound/10201/voice/ORIGAMI_AST_15.mp3
22	110301	5	0	战斗胜利	10000	0	sound/battle_sound/10301/voice/YOSHINO_30.mp3-sound/battle_sound/10301/voice/YOSHINO_31.mp3
23	110301	7	0	切换角色(登场)	10000	0	sound/battle_sound/10301/voice/YOSHINO_32.mp3-sound/battle_sound/10301/voice/YOSHINO_33.mp3-sound/battle_sound/10301/voice/YOSHINO_62.mp3
24	110301	6	0	战斗失败	10000	0	sound/battle_sound/10301/voice/YOSHINO_34.mp3-sound/battle_sound/10301/voice/YOSHINO_61.mp3-sound/battle_sound/10301/voice/YOSHINO_66.mp3
25	110301	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10301/voice/YOSHINO_35.mp3
26	110301	4	0	击杀敌人	10000	5000	sound/battle_sound/10301/voice/YOSHINO_36.mp3-sound/battle_sound/10301/voice/YOSHINON_07.mp3-sound/battle_sound/10301/voice/YOSHINON_43.mp3-sound/battle_sound/10301/voice/YOSHINON_44.mp3
27	110301	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10301/voice/YOSHINO_37.mp3
28	110301	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10301/voice/YOSHINO_38.mp3-sound/battle_sound/10301/voice/YOSHINO_39.mp3
29	110401	5	0	战斗胜利	10000	0	sound/battle_sound/10401/voice/KURUMI_36.mp3-sound/battle_sound/10401/voice/KURUMI_37.mp3
30	110401	7	0	切换角色(登场)	10000	0	sound/battle_sound/10401/voice/KURUMI_38.mp3-sound/battle_sound/10401/voice/KURUMI_39.mp3
