ID	节点类型(1.条件类型节点，2.行为类型节点，3.条件节点，4.行为节点，5.根节点)	节点描述	子节点	循环时间间隔	条件节点优先级	触发条件具体类型	触发条件并且关系	触发条件参数	行为类型节点	行为权重	脚本名	是否可以打断
id	nodeType	name	childs	loopTime	condPriority	condType	condAnd	condParam	actsId	actWeight	funcName	isBreak
number	number	string	numbers	number	number	number	boolean	json	number	number	string	boolean
int	number	string	int[]	int	int	int	boolean	list	int	int	string	boolean
200001	5	根节点	200002-200006									
												0
200002	1	条件类型节点：1S循环	200003	2000	2				200004			0
200003	3	判断条件：进入战斗时间				1		[1000]				
200004	2	行为并且关系	200005				1					
200005	4	释放技能						[230010,100,[-250,-15,500,30]]		100	act_useSkill	
												
200006	1	条件类型节点：1S循环	200007	0	1				200008			0
200007	3	判断条件：进入战斗时间				1		[0]				
200008	2	行为并且关系	200009				1					
200009	4	释放技能								100	act_patrol	
												
203001	5	根节点	203002-203006									0
												
203002	1	条件类型节点：1S循环	203003	1000	2				203004			0
203003	3	判断条件：进入战斗时间				1		[0]				
203004	2	行为并且关系	203005				1					
203005	4	释放技能						[230030,100,[-250,-15,500,30]]		100	act_useSkill	0
												
203006	1	条件类型节点：1S循环	203007	0	1				203008			0
203007	3	判断条件：进入战斗时间				1		[0]				
203008	2	行为并且关系	203009				1					
203009	0	释放技能								100	act_patrol	0
												
												
202001	5	根节点	202002-202006-202010-202014									
												
202002	1	条件类型节点：1S循环	202003	2000	2				202004			0
202003	3	判断条件：进入战斗时间				1		[1000]				
202004	2	行为并且关系	202005				1					
202005	4	释放技能						[240010,200,[-500,-20,1000,40]]		100	act_useSkill	
												
202006	1	条件类型节点：1S循环	放	15000	3				202008			0
202007	3	判断条件：进入战斗时间				1		[15000]				
202008	2	行为并且关系	202009				1					
202009	4	释放技能						[240020,200,[-500,-50,1000,100]]		100	act_useSkill	
												
202010	1	条件类型节点：1S循环	202011	10000	4				202012			0
202011	3	判断条件：进入战斗时间				5		[50,250,1,50]				
202012	2	行为并且关系	202013				1					
202013	4	释放技能						[240030,50,[-250,-25,500,50]]		100	act_useSkill	
												
202014	1	条件类型节点：1S循环	202015	0	1				202016			0
202015	3	判断条件：进入战斗时间				1		[0]				
202016	2	行为并且关系	202017				1					
202017	4	释放技能								100	act_patrol	
												
212001	5	根节点	212002-212006-212010-212014									0
												
212002	1	条件类型节点：1S循环	212003	2000	2				212004			0
212003	3	判断条件：进入战斗时间				1		[0]				
212004	2	行为并且关系	212005				1					
212005	4	释放技能						[240010,200,[-500,-20,1000,40]]		100	act_useSkill	
												0
212006	1	条件类型节点：1S循环	212007	10000	3				212008			0
212007	3	判断条件：进入战斗时间				1		[10000]				
212008	2	行为并且关系	212009				1					
212009	4	释放技能						[240020,200,[-500,-50,1000,100]]		100	act_useSkill	
												0
212010	1	条件类型节点：1S循环	212011	15000	4				212012			0
212011	3	判断条件：进入战斗时间				5		[50,250,1,50]				
212012	2	行为并且关系	212013				1					
212013	4	释放技能						[240030,50,[-250,-25,500,50]]		100	act_useSkill	
												0
212014	1	条件类型节点：1S循环	212015	0	1				212016			0
212015	3	判断条件：进入战斗时间				1		[0]				
212016	2	行为并且关系	212017				1					
212017	4	释放技能								100	act_patrol	
												0
222001	5	根节点	222002-222006-222010-222014									
												
222002	1	条件类型节点：1S循环	222003	500	2				222004			0
222003	3	判断条件：进入战斗时间				1		[0]				
222004	2	行为并且关系	222005				1					
222005	4	释放技能						[240010,800,[-500,-20,1000,40]]		100	act_useSkill	
												0
222006	1	条件类型节点：1S循环	222007	8000	3				222008			0
222007	3	判断条件：进入战斗时间				1		[8000]				
222008	2	行为并且关系	222009				1					
222009	4	释放技能						[240020,0,[-500,-50,1000,100]]		100	act_useSkill	
												0
222010	1	条件类型节点：1S循环	222011	10000	4				222012			0
222011	3	判断条件：进入战斗时间				5		[50,250,1,50]				
222012	2	行为并且关系	222013				1					
222013	4	释放技能						[240030,50,[-250,-25,500,50]]		100	act_useSkill	
												0
222014	1	条件类型节点：1S循环	222015	0	1				222016			0
222015	3	判断条件：进入战斗时间				1		[0]				
222016	2	行为并且关系	222017				1					
222017	4	释放技能								100	act_patrol	
												
												
												
												
101001	5	根节点	101002-101006-101010									
101002	1	条件类型节点：1S循环	101003	3000	2				101004			0
101003	3	判断条件：进入战斗时间				1		[1000]				
101004	2	行为并且关系	101005				1					
101005	4	释放技能						[200110,50,[-160,-15,320,30]]		100	act_useSkill	
												
101006	1	条件类型节点：1S循环	101007	10000	3				101008			0
101007	3	判断条件：进入战斗时间				1		[10000]				
101008	2	行为并且关系	101009-101014				0					
101009	4	释放技能						[200120,50,[-200,-15,400,30]]		800	act_useSkill	
101014	4	释放技能						[200110,50,[-160,-15,320,30]]		200	act_useSkill	
												
101010	1	条件类型节点：1S循环	101011	0	1				101012			0
101011	3	判断条件：进入战斗时间				1		[0]				
101012	2	行为并且关系	101013				1					
101013	4	巡逻								100	act_patrol	
												
												
101026	5	根节点	101027									
101027	1	配置循环、优先级	101028	3000	1		1		101029			
101028	3	判断条件				1		[0]				
101029	2	行为并且关系	101030-101031									
101030	4	逃跑								3000	act_patrol	
101031	4	巡逻						[500,50]		3000	act_run	
												
												
												
102001	5	根节点	102002-102006-102010									
102002	1	条件类型节点：1S循环	102003	2000	2				102004			0
102003	3	判断条件：进入战斗时间				1		[1000]				
102004	2	行为并且关系	102005				1					
102005	4	释放技能						[200210,200,[-500,-20,1000,40]]		100	act_useSkill	
												
102006	1	条件类型节点：1S循环	102007	12000	3				102008			0
102007	3	判断条件：进入战斗时间				1		[12000]				
102008	2	行为并且关系	102009-102014				0					
102009	4	释放技能						[200220,200,[-500,-20,1000,40]]		800	act_useSkill	
102014	4	释放技能						[200210,200,[-500,-20,1000,40]]		200	act_useSkill	
												
102010	1	条件类型节点：1S循环	102011	0	1				102012			0
102011	3	判断条件：进入战斗时间				1		[0]				
102012	2	行为并且关系	102013				1					
102013	4	巡逻								100	act_patrol	
												
												
												
105001	5	根节点	105002-105010									
105002	1	条件类型节点：1S循环	105003	3000	2				105004			0
105003	3	判断条件：进入战斗时间				1		[3000]				
105004	2	行为并且关系	105005				1					
105005	4	释放技能						[200310,250,[-500,-20,1000,40]]		100	act_useSkill	
												
												
105010	1	条件类型节点：1S循环	105011	0	1				105012			0
105011	3	判断条件：进入战斗时间				1		[0]				
105012	2	行为并且关系	105013				1					
105013	4	巡逻								100	act_patrol	
												
												
												
												
106001	5	根节点	106002-106006									
106002	1	条件类型节点：1S循环	106003	0	2				106004			0
106003	3	判断条件：进入战斗时间				1		[0]				
106004	2	行为并且关系	106005				1					
106005	4	释放技能						[200410,50,[-160,-15,320,30]]		100	act_useSkill	
												
106006	1	条件类型节点：1S循环	106007	5000	3				106008			0
106007	3	判断条件：进入战斗时间				1		[5000]				
106008	2	行为并且关系	106009-106014				0					
106009	4	释放技能						[200420,50,[-200,-15,400,30]]		800	act_useSkill	
106014	4	释放技能						[200410,50,[-160,-15,320,30]]		200	act_useSkill	
												
106010	1	条件类型节点：1S循环	106011	0	1				106012			0
106011	3	判断条件：进入战斗时间				1		[0]				
106012	2	行为并且关系	106013				1					
106013	4	巡逻								100	act_patrol	
												
												1
												
												
107001	5	根节点	107002-107006									
107002	1	条件类型节点：1S循环	107003	0	2				107004			0
107003	3	判断条件：进入战斗时间				1		[0]				
107004	2	行为并且关系	107005				1					
107005	4	释放技能						[200510,200,[-600,-20,1200,40]]		100	act_useSkill	
												
107006	1	条件类型节点：1S循环	107007	8000	3				107008			0
107007	3	判断条件：进入战斗时间				1		[8000]				
107008	2	行为并且关系	107009-107014				0					
107009	4	释放技能						[200520,200,[-500,-20,1000,40]]		800	act_useSkill	
107014	4	释放技能						[200510,200,[-600,-20,1200,40]]		200	act_useSkill	
												
107010	1	条件类型节点：1S循环	107011	0	1				107012			0
107011	3	判断条件：进入战斗时间				1		[0]				
107012	2	行为并且关系	107013				1					
107013	4	巡逻								100	act_patrol	
												
												
												
												
												
108001	5	根节点	108002-108006-108010									
