效果id	名称	效果描述	能够对场下的生效	增减益类型	作用类型	范围中心点	范围	作用对象	单位数量	特效强制设定位置	效果类型	属性id	属性计算参照对象	参照属性	参照属性类型	转化比例	效果值	伤害类型（1.普通 2.纯粹）	伤害属性（1-9：物理，冰，火，风，电，毒，光，暗，精神）	状态id	特效id	（概率）改变的buffid	概率改变值	技能类型（减少技能cd用的）	时间（减少技能cd用的）	buff生效方式	生效条件	延迟时间	buff持续时间	buff生效次数	间隔时间	叠加方式	最大叠加次数	叠加到一定层数后是否触发新效果	新效果需要叠加层数	新效果触发概率	新效果id	作用对象死亡是否终止	终止效果	额外终止方式	减少叠加数	检测属性id	检测标准	配置值	事件次数	事件类型	检测的移除状态	额外终止效果	特效资源	特效动画	挂点	位置1（下层为负数，上层为正数）	特效资源	特效动画	挂点	位置2（下层为负数，上层为正数）	是否显示icon	icon资源
id	name	effectString	effectPosition	benefitType	objectType	centerPoint	effectRange	effectTarget	unitNum	effectExecutor	effectType	attributeGrow	referenceTarget	attributeReference	referenceType	ratio	effectNum	damageType	damageAttr	effectState	actionId	changeId	probabilityNum	skillType	cooldownChange	effectiveWay	effectCondition	delayTime	duration	effectTimes	interval	superpositionType	maxSuperposition	superpositionEffective	superpositionNum	probability	newEffectIds	deadEffect	stopContent	stopMode	 decreaseSuperposition	checkAttribute	checkResult	checkNum	eventTimes	stopEventId	stopStateId	otherContent	resource1	action1	mount1	zorder1	resource2	action2	mount2	zorder2	iconDisplay	icon
number	comment	comment	boolean	number	number	number	number	number	number	boolean	number	number	number	number	number	number	number	number	number	number	number	numbers	number	number	number	number	number	number	number	number	number	number	number	boolean	number	number	numbers	number	number	number	number	number	number	number	number	number	number	number	string	string	string	number	string	string	string	number	boolean	string
int	comment	comment	boolean	int	int	int	int	int	int	boolean	int	int	int	int	int	int	int	int	int	int	int	int[]	int	int	int	int	int	int	int	int	int	int	int	boolean	int	int	int[]	int	int	int	int	int	int	int	int	int	int	int	string	string	string	int	string	string	string	int	boolean	string
1001		战斗补给效果：增加攻击力	0	1	1			1	1		1	2	3	2	1	2000										1			20000	-1	0	2	1					1	1										effects_buff	effects_buff2	body	1						
1002		战斗补给效果：增加防御力	0	1	1			1	1		1	3	3	3	1	3000										1			20000	-1	0	2	1					1	1										effects_buff	effects_buff1	body	1						
1003		战斗补给效果：增加攻击速度	0	1	1			1	1		1	6	3	6	1	2000										1			20000	-1	0	2	1					1	1										effects_buff	effects_buff3	point	1						
1004		战斗补给效果：增加生命值	0	1	1			5	10		1	52	3	1	1	3000										1			0	-1	0	1	1					1	2																			
1005		战斗补给效果：增加能量值	0	1	1			1	1		1	51	1				20									1			0	-1	0	1	1					1	2																			
1006		战斗补给效果：增加生命值	0	1	1			1	1		1	52	3	1	1	3000										1			0	-1	0	1	1					1	2																			
1007		战斗补给效果：增加能量值	0	1	1			5	10		1	51	1				20									1			0	-1	0	1	1					1	2																			
1008		战斗补给效果：增加护盾	0	1	1			1	1		1	53	2	1	1	1000										1			0	1	0	3	1					1	2																			
3001		释放技能时获得一个普通护盾，可以抵挡200点伤害	0	1	1			1	1		1	53	1				200									1			15000	-1	0	2	1					1	1	4		53	2	1				2	effects_10201_skillE	effects_skillE	body	1						
3002		释放技能时获得一个普通护盾，可以抵挡500点伤害	0	1	1			1	1		2															1			15000	-1	0	2	1					1	1																			
3003		每隔30s，获得一个最大生命值10%的护盾	0	1	1			1	1		1	53	3	1	1	1000										1			15000	-1	0	2	1					1	1	4		53	2	1				2	effects_10201_skillE	effects_skillE	body	1						
3004		暂未使用	0	1	1			1	1		2															1			15000	-1	0	2	1					1	1	4		53	2	1				2	effects_10201_skillE	effects_skillE	body	1						
3006		战斗开始时获得一个普通护盾，可以抵挡15%生命值伤害	0	1	1			1	1		1	53	3	1	1	1500										1			15000	-1	0	2	1					1	1	4		53	2	1				2	effects_10201_skillE	effects_skillE	body	1						
3007		暂未使用	0	1	1			1	1		2															1			15000	-1	0	2	1					1	1																			
3008		释放技能触发霸体，持续1.5s（怪物buff）	0	1	1			1	1		2									163						1			1500	-1	0	2	1					1	1																			
3009		护盾霸体	0	1	1			1	1		2									163						1			-1	-1	0	2	1					1	1	4		53	2	1				1										
3010		护盾霸体、使用技能	0	1	1			1	1		2									163						1			-1	-1	0	2	1					1	1	4		53	2	1				1										
3011		释放技能触发霸体，持续3.5s（十香buff）	0	1	1			1	1		2									163						1			3500	-1	0	2	1					1	1																			
3012		释放技能触发霸体，持续2.7s（十香buff）	0	1	1			1	1		2									163						1			2700	-1	0	2	1					1	1																			
3013		恢复所有友军生命值	0	1	1			7	10		1	52	2	2	1	5000										1			0	1	0	1	1					1	2																			
3014		释放分支技能触发霸体，持续1.8s（折纸buff_2级分支）	0	1	1			1	1		2									163						1			1800	-1	0	2	1					1	1																			
3015		释放分支技能触发霸体，持续2.4s（四糸乃buff_3级分支）	0	1	1			1	1		2									163						1			2400	-1	0	2	1					1	1																			
3016		释放分支技能触发霸体，持续2.2s（崇宫真那buff_大招）	0	1	1			1	1		2									163						1			2200	-1	0	2	1					1	1																			
3017		释放分支技能触发霸体，持续1.2s（琴里buff_分支）	0	1	1			1	1		2									163						1			1200	-1	0	2	1					1	1																			
3018		释放分支技能触发霸体，持续3.1s（琴里buff_大招）	0	1	1			1	1		2									163						1			3100	-1	0	2	1					1	1																			
3019		低阶蚊子自爆（技能）	0	3	1			1	1		4										2060					1			0	-1	0	1	1					1	2																			
3020		低阶蚊子自爆（预警）	0	3	1			1	1		4										2070					1			0	-1	0	1	1					1	2																			
3021		高阶蚊子自爆（技能）	0	3	1			1	1		4										2280					1			0	-1	0	1	1					1	2																			
3022		高阶蚊子自爆（预警）	0	3	1			1	1		4										2290					1			0	-1	0	1	1					1	2																			
3023		使用技能时触发，获得1s霸体	0	1	1			1	1		2									163						1			1000	-1	0	2	1					1	1																			
3024		使用技能时触发，获得1.5s霸体	0	1	1			1	1		2									163						1			1500	-1	0	2	1					1	1																			
3025		使用技能时触发，获得2s霸体	0	1	1			1	1		2									163						1			2000	-1	0	2	1					1	1																			
3026		使用技能时触发，获得2.5s霸体	0	1	1			1	1		2									163						1			2500	-1	0	2	1					1	1																			
3027		使用技能时触发，获得3s霸体	0	1	1			1	1		2									163						1			3000	-1	0	2	1					1	1																			
3028		使用技能时触发，获得3.5s霸体	0	1	1			1	1		2									163						1			3500	-1	0	2	1					1	1																			
3029		使用技能时触发，获得4s霸体	0	1	1			1	1		2									163						1			4000	-1	0	2	1					1	1																			
3030		使用技能时触发，获得4.5s霸体	0	1	1			1	1		2									163						1			4500	-1	0	2	1					1	1																			
3031		使用技能时触发，获得5s霸体	0	1	1			1	1		2									163						1			5000	-1	0	2	1					1	1																			
3032		每隔30s，获得一个最大生命值10%的霸体	0	3	1			1	1		1	54	2	1	1	1000										2			-1	-1	30000	2	1					1	2																			
4001		狂三技能。增加攻击力	0	1	1			1	1		1	1002	1				2000									1			10000	-1	0	2	1					1	1										effects_buff	effects_buff2	body	1						
4002		狂三技能。对敌人造成持续伤害	0	4	1			6	10		1	52	2	2	2		10000									2			11000	-1	999	1	1					1	2																			
4003		释放分支技能触发霸体，持续1.7s（狂三buff_大招）	0	1	1			1	1		2									163						1			1700	-1	0	2	1					1	1																			
5001		攻击附带20%减速效果	0	2	1			4	1		1	11	3	11	1	-5000										1			-1	-1	0	2	1					1	1										effects_debuff	debuff4	point	1						
9002		机械猩猩。永久霸体	0	1	1			1	1		2									163						1			-1	-1	0	2	1					1	1																			
9003		霸体状态，持续2s。	0	1	1			1	1		2									163						1			2000	-1	0	2	1					1	1																			
9004		最终免伤比+50%，持续2s	0	1	1			1	1		1	502	1				5000									1			2000	-1	0	2	1					1	1																			
9005		抵抗值上限+5%	0	3	1			1	1		1	15	2	1	1	500										1			-1	-1	0	1	1					1	1																			
9006		当前抵抗值+5%	0	3	1			1	1		1	54	2	1	1	500										1			-1	-1	0	1	1					1	1																			
9007		每30s增加5%生命值的当前抵抗值	0	3	1			1	1		1	54	2	1	1	500										2			-1	-1	30000	3	1					1	2																			
9008		抵抗值上限+10%	0	3	1			1	1		1	15	2	1	1	1000										1			-1	-1	0	1	1					1	1																			
9009		当前抵抗值+10%	0	3	1			1	1		1	54	2	1	1	1000										1			-1	-1	0	1	1					1	1																			
9010		每30s增加10%生命值的当前抵抗值	0	3	1			1	1		1	54	2	1	1	1000										2			-1	-1	30000	3	1					1	2																			
9011		抵抗值上限+15%	0	3	1			1	1		1	15	2	1	1	1500										1			-1	-1	0	1	1					1	1																			
9012		当前抵抗值+15%	0	3	1			1	1		1	54	2	1	1	1500										1			-1	-1	0	1	1					1	1																			
9013		每30s增加15%生命值的当前抵抗值	0	3	1			1	1		1	54	2	1	1	1500										2			-1	-1	30000	3	1					1	2																			
9014		抵抗值上限+20%	0	3	1			1	1		1	15	2	1	1	2000										1			-1	-1	0	1	1					1	1																			
9015		当前抵抗值+20%	0	3	1			1	1		1	54	2	1	1	2000										1			-1	-1	0	1	1					1	1																			
9016		每30s增加20%生命值的当前抵抗值	0	3	1			1	1		1	54	2	1	1	2000										2			-1	-1	30000	3	1					1	2																			
9017		抵抗值上限+25%	0	3	1			1	1		1	15	2	1	1	2500										1			-1	-1	0	1	1					1	1																			
9018		当前抵抗值+25%	0	3	1			1	1		1	54	2	1	1	2500										1			-1	-1	0	1	1					1	1																			
9019		每30s增加25%生命值的当前抵抗值	0	3	1			1	1		1	54	2	1	1	2500										2			-1	-1	30000	3	1					1	2																			
9020		1号boss，全屏伤害护罩。无敌	0	3	1			4	1		2									162						1			300	-1	0	2	1					1	1																			
9021		boss黑色烟雾	0	3	1			1	1		1	2	1				1									1			-1	-1	0	2	1					1	1										effects_buff2	effects_buff_hei	body	1						
10001		攻击提高5	1	3	1			1	1		1	2	1				5									1			-1	-1	0	3	-1					1	1																			
10002		防御提高5	1	3	1			1	1		1	3	1				5									1			-1	-1	0	3	-1					1	1																			
10003		受伤减免+5	0	3	1			1	1		1	5	1				5									1			-1	-1	0	2	1					1	1	1					2	450		1										
10004		每次攻击额外造成5点伤害	0	3	1			4	1		1	52	1				-5	1	1							1			0	1	0	3	-1					1	2																			
10005		命中降低3%	1	3	1			1	1		1	505	1				-300									1			-1	-1	0	3	-1					1	1																			
10006		闪避增加6%	1	3	1			1	1		1	506	1				600									1			-1	-1	0	3	-1					1	1																			
10007		受到攻击后，提高10%移动速度，持续3秒，冷却10秒	0	1	1			1	1		1	11	2	11	1	1000										1			3000	-1	0	2	1					1	1										effects_buff	effects_buff3	point	1						
10008		每5秒恢复10点生命值	1	3	1			1	1		1	52	1				10									2			-1	-1	5000	3	1					1	2																			
10009		生命值低于30%，防御提高10%	1	3	1			1	1		1	3	2	3	1	1000										1			-1	-1	0	2	1					1	1	4		2007	1	3100				1	effects_buff	effects_buff1	body	1						
10010		生命值低于30%，攻击提高10%	1	3	1			1	1		1	2	2	2	1	1000										1			-1	-1	0	2	1					1	1	4		2007	1	3100				1	effects_buff	effects_buff2	body	1						
10011		生命值低于20%，获得最大生命值30%的护盾，触发间隔60秒	1	3	1			1	1		1	53	2	1	1	3000										1			-1	-1	0	2	1					1	1																			
10012		每次命中目标有30%的几率额外恢复1点觉醒值	0	3	1			1	1		1	51	1				1									1			0	1	0	3	-1					1	2																			
10013		攻击提高10	1	3	1			1	1		1	2	1				10									1			-1	-1	0	3	-1					1	1																			
10014		防御提高10	1	3	1			1	1		1	3	1				10									1			-1	-1	0	3	-1					1	1																			
10015		受伤减免+10	0	3	1			1	1		1	5	1				10									1			-1	-1	0	2	1					1	1	1					2	450		1										
10016		每次攻击额外造成10点伤害	0	3	1			4	1		1	52	1				-15	1	1							1			0	1	0	3	-1					1	2																			
10017		命中降低5%	1	3	1			1	1		1	505	1				-500									1			-1	-1	0	3	-1					1	1																			
10018		闪避增加10%	1	3	1			1	1		1	506	1				1000									1			-1	-1	0	3	-1					1	1																			
10019		受到攻击后，提高15%移动速度，持续4秒，冷却10秒	0	1	1			1	1		1	11	2	11	1	1500										1			4000	-1	0	2	1					1	1										effects_buff	effects_buff3	point	1						
10020		每5秒恢复20点生命值	1	3	1			1	1		1	52	1				20									2			-1	-1	5000	3	1					1	2																			
10021		生命值低于30%，防御提高30%	1	3	1			1	1		1	3	2	3	1	3000										1			-1	-1	0	2	1					1	1	4		2007	1	3100				1	effects_buff	effects_buff1	body	1						
10022		生命值低于30%，攻击提高15%	1	3	1			1	1		1	2	2	2	1	1500										1			-1	-1	0	2	1					1	1	4		2007	1	3100				1	effects_buff	effects_buff2	body	1						
10023		生命值低于20%，获得最大生命值50%的护盾，触发间隔60秒	1	3	1			1	1		1	53	2	1	1	5000										1			-1	-1	0	2	1					1	1																			
10024		每次命中目标有50%的几率额外恢复1点觉醒值	0	3	1			1	1		1	51	1				1									1			0	1	0	3	-1					1	2																			
10025		暴击几率提高5%	1	3	1			1	1		1	507	1				500									1			-1	-1	0	2	1					1	1																			
10026		暴击伤害提高10%	1	3	1			1	1		1	509	1				1000									1			-1	-1	0	2	1					1	1																			
10027		被攻击后，3秒内受伤减少20%，冷却10秒	0	1	1			1	1		1	502	1				2000									1			3000	-1	0	2	1					1	1																			
10028		暴击后，增加20%的攻速，持续3秒，触发间隔10秒	0	1	1			1	1		1	6	2	6	1	2000										1			3000	-1	0	2	1					1	1										effects_buff	effects_buff3	point	1						
10029		每秒提升2%闪避，最大叠加10层，受击后消失	1	3	1			1	1		1	506	1				200									1			-1	-1	0	4	10					1	1	1					1	450		1										
10030		每次命中增加3%穿透率，持续3秒，最大叠加5层	0	1	1			1	1		1	503	1				300									1			3000	-1	0	4	5					1	1																			
10031		每5秒恢复1%生命值	1	3	1			1	1		1	52	2	1	1	100										2			-1	-1	5000	3	1					1	2																			
10032		生命值高于80%，防御提高10%	0	1	1			1	1		1	3	2	3	1	1000										1			-1	-1	0	2	1					1	1	4		2007	2	7900				1	effects_buff	effects_buff1	body	1						
10033		生命值高于80%，攻击提高10%	0	1	1			1	1		1	2	2	2	1	1000										1			-1	-1	0	2	1					1	1	4		2007	2	7900				1	effects_buff	effects_buff2	body	1						
10034		单次受到伤害超过10%，获得最大生命值15%的护盾，冷却30秒。	0	3	1			1	1		1	53	2	1	1	1500										1			0	1	0	3	-1					1	2																			
10035		普攻伤害+10%	0	2	1			4	1		1	801	1				1000									1			5000	-1	0	2	1					1	1										effects_debuff	debuff4	point	1						
10036		暴击几率提高7.5%	1	3	1			1	1		1	507	1				750									1			-1	-1	0	2	1					1	1																			
10037		暴击伤害提高15%	1	3	1			1	1		1	509	1				1500									1			-1	-1	0	2	1					1	1																			
10038		被攻击后，3秒内受伤减少30%，冷却10秒	0	1	1			1	1		1	502	1				3000									1			3000	-1	0	2	1					1	1																			
10039		暴击后，增加30%的攻速，持续3秒，触发间隔10秒	0	1	1			1	1		1	6	2	6	1	3000										1			3000	-1	0	2	1					1	1										effects_buff	effects_buff3	point	1						
10040		每秒提升2%闪避，最大叠加10层，受击后消失	1	3	1			1	1		1	506	1				200									1			-1	-1	0	4	10					1	1	1					1	450		1										
10041		每次命中增加4%穿透率，持续4秒，最大叠加5层	0	1	1			1	1		1	503	1				400									1			4000	-1	0	4	5					1	1																			
10042		每5秒恢复1.5%生命值	1	3	1			1	1		1	52	2	1	1	150										2			-1	-1	5000	3	1					1	2																			
10043		生命值高于80%，防御提高15%	0	1	1			1	1		1	3	2	3	1	1500										1			-1	-1	0	2	1					1	1	4		2007	2	7900				1	effects_buff	effects_buff1	body	1						
10044		生命值高于80%，攻击提高15%	0	1	1			1	1		1	2	2	2	1	1500										1			-1	-1	0	2	1					1	1	4		2007	2	7900				1	effects_buff	effects_buff2	body	1						
10045		单次受到伤害超过10%，获得最大生命值20%的护盾，冷却25	0	3	1			1	1		1	53	2	1	1	2000										1			0	1	0	3	-1					1	2																			
10046		普攻伤害+15%	0	2	1			4	1		1	801					1500									1			5000	-1	0	2	1					1	1										effects_debuff	debuff4	point	1						
10047		攻速提高10%	1	3	1			1	1		1	1006	1				1000									1			-1	-1	0	2	1					1	1																			
10048		连击大于30后，暴击率提高10%	0	3	1			1	1		1	507	1				1000									1			-1	-1	0	2	1					1	1	4		2004	2	29				1										
10049		伤害减免提高10%	1	3	1			1	1		1	502	1				1000									1			-1	-1	0	2	1					1	1																			
10050		受到攻击后，提升30%防御力，持续3秒，冷却10秒	0	1	1			1	1		1	3	2	3	1	3000										1			3000	-1	0	2	1					1	1										effects_buff	effects_buff1	body	1						
10051		每次命中目标有额外恢复1点觉醒值	0	3	1			1	1		1	51	1				1									1			0	1	0	3	-1					1	2																			
10052		移动速度提高10%	1	3	1			1	1		1	1011	1				1000									1			-1	-1	0	2	1					1	1																			
10053		攻击速度提高5%	1	3	1			1	1		1	1006	1				500									1			-1	-1	0	2	1					1	1																			
10054		击杀敌人获得2%的攻击加成，最大叠加10层，持续30秒。	0	1	1			1	1		1	2	2	1	1	200										1			30000	-1	0	4	10					1	1																			
10055		每1秒恢复1点觉醒值	1	3	1			1	1		1	51	1				1									2			-1	-1	1000	3	1					1	2																			
10056		攻击力提高5%	1	3	1			1	1		1	1002	1				500									1			-1	-1	0	2	1					1	1																			
10057		普通伤害提高15%	1	3	1			1	1		1	801	1				1500									1			-1	-1	0	2	1					1	1																			
10058		攻击力提高5%	1	3	1			1	1		1	1002	1				500									1			-1	-1	0	2	1					1	1																			
10059		F技能伤害+15%	1	3	1			1	1		1	802	1				1500									1			-1	-1	0	2	1					1	1																			
10060		S技能伤害+15%	1	3	1			1	1		1	803	1				1500									1			-1	-1	0	2	1					1	1																			
10061		大招伤害提高15%	1	3	1			1	1		1	806	1				1500									1			-1	-1	0	2	1					1	1																			
10062		觉醒伤害提高15%	1	3	1			1	1		1	807	1				1500									1			-1	-1	0	2	1					1	1																			
10063		连击大于30后，伤害提高15%	0	3	1			1	1		1	501	1				1500									1			-1	-1	0	2	1					1	1	4		2004	2	29				1										
10064		当前百分比越低伤害加成，每10%生命值提升5%伤害	1	3	1			1	1		1	501	2	2008	2	5000										1			-1	-1	0	2	1					1	1																			
10065		生命上限降低15%	1	3	1			1	1		1	1001	1				-1500									1			-1	-1	0	2	1					1	1																			
10066		攻击提高10%	1	3	1			1	1		1	1002	1				1000									1			-1	-1	0	2	1					1	1																			
10067		生命上限降低15%	1	3	1			1	1		1	1001	1				-1500									1			-1	-1	0	2	1					1	1																			
10068		攻速提高10%	1	3	1			1	1		1	1006	1				1000									1			-1	-1	0	2	1					1	1																			
10069		生命上限降低15%	1	3	1			1	1		1	1001	1				-1500									1			-1	-1	0	2	1					1	1																			
10070		暴击提高10%	1	3	1			1	1		1	507	1				1000									1			-1	-1	0	2	1					1	1																			
10071		每次命中目标，增加2%攻击，持续5秒，最大叠加10层	0	1	1			1	1		1	2	2	1	1	200										1			5000	-1	0	4	10					1	1																			
10072		每次命中目标，增加2%暴击，持续5秒，最大叠加10层	0	1	1			1	1		1	507	1				200									1			5000	-1	0	4	10					1	1																			
10073		每次命中目标，增加2%攻速，持续5秒，最大叠加10层	0	1	1			1	1		1	6	2	6	1	200										1			5000	-1	0	4	10					1	1																			
10074		护盾状态下，攻击提高15%	1	3	1			1	1		1	2	2	2	1	1500										1			-1	-1	0	2	1					1	1	4		53	2	1				1	effects_buff	effects_buff2	body	1						
10075		护盾状态下，防御提升15%	1	3	1			1	1		1	3	2	3	1	1500										1			-1	-1	0	2	1					1	1	4		53	2	1				1	effects_buff	effects_buff1	body	1						
10076		护盾状态下，每2秒恢复1点觉醒值	1	3	1			1	1		1	51	1				1									2			-1	-1	2000	3	1					1	2	4		53	2	1				2										
10077		普通攻击伤害+10%	1	3	1			1	1		1	801	1				1000									1			-1	-1	0	2	1					1	1																			
10078		普通攻击暴击率+10%	1	3	1			1	1		1	551	1				1000									1			-1	-1	0	2	1					1	1																			
10079		穿透率+10%	1	3	1			1	1		1	503	1				1000									1			-1	-1	0	2	1					1	1																			
10080		每次攻击有50%几率额外获得1点觉醒值	0	3	1			1	1		1	51	1				1									1			0	1	0	3	-1					1	2																			
10081		每1秒自动恢复2点觉醒值	1	3	1			1	1		1	51	1				2									2			-1	-1	1000	3	-1					1	2																			
10082		击杀敌方后获得5点觉醒值	0	3	1			1	1		1	51	1				5									1			0	1	0	3	-1					1	2																			
10083		格挡率+10%	1	3	1			1	1		1	504	1				1000									1			-1	-1	0	2	1					1	1																			
10084		格挡时，恢复1%生命值	1	3	1			1	1		1	52	2	1	1	100										1			0	1	0	3	-1					1	2																			
10085		【十香专属】增加当前格挡率一半的攻击加成，每次触发后刷新加成的攻击力	1	3	1			1	1		1	1002	2	504	2	5000										1			-1	-1	0	2	1					1	1																			
10086		增伤提高10%	1	3	1			1	1		1	501	1				1000									1			-1	-1	0	2	1					1	1																			
10087		命中目标后降低其减伤10%，持续2秒	1	2	1			4	1		1	502	1				-1000									1			2000	-1	0	2	1					1	1																			
10088		防御提高10%	1	3	1			1	1		1	1003	1				1000									1			-1	-1	0	2	1					1	1																			
10089		命中目标后降低其攻击10%，持续2秒	1	2	1			4	1		1	2	1				-1000									1			2000	-1	0	2	1					1	1																			
10090		攻击提高10%	1	3	1			1	1		1	1002	1				1000									1			-1	-1	0	2	1					1	1																			
10091		命中目标后降低其防御10%，持续2秒	1	2	1			4	1		1	3	1				-1000									1			2000	-1	0	2	1					1	1																			
20001		格挡提高2%	0	3	1			1	1		1	504	1				200									1			-1	-1	0	2	-1					1	1																			
