id	cg类型（1脚本2视频3图片）	cg	cg脚本	背景	视频	备注	命名
id	type	cgId	cg	backGround	video	note	note2
number	number	number	string	string	string	comment	comment
int	int	int					
1010101	2				video/cg_main_kaichangdonghua.mp4	战斗	开场动画
1010102	2				video/cg_main_shixiangzhezhipindao.mp4	战斗	十香vs折纸
1010201	2				video/cg_main_baiqinlichuchang.mp4	副本关卡-第一章-约会01	白琴里
1010202	2				video/cg_main_heiqinlichuchang.mp4	约会	黑琴里
1010203	2				video/cg_main_qinlixiaomanhua.mp4	约会	琴里漫画
1010204	2				video/cg_main_kongjianzhenjieshao.mp4	约会	空间震
1010205	1		date_cg_55			约会	十香大屏幕
1010206	1		date_cg_56			约会	折纸大屏幕
1010207	1		date_cg_3	scene/bg/bg_shixianghuimou.png		约会	十香回眸
1010201	2				video/cg_main_shixianghuanghunjiaoshi.mp4	约会	十香黄昏
1010701	1		date_cg_4			约会	开始约会
1010702	2				video/cg_main_shidaozhongqiang.mp4	约会	士道被杀
1010801	2				video/cg_main_shidaofuhuo.mp4	战斗	士道复活
1020101	2				video/cg_main_sisinaishenmiao.mp4	约会	初遇四糸乃
1020102	2				video/cg_main_zhuishasisinai.mp4	战斗	隐居者
1020401	2				video/cg_main_sisinaifushen.mp4	约会	意外接吻
1020402	2				video/cg_main_sisinaibaozou.mp4	约会	冰结傀儡
1020301	2				video/cg_main_xunzhaosisin.mp4	约会	再遇四糸乃
1020401	1		cg_48_2			约会	折纸开门
1020402	2				video/cg_main_zhezhifushen.mp4	约会	折纸骑乘位
1020501	2				video/cg_main_jinrujiejie.mp4	约会	进入暴风雪
1020502	2				video/cg_main_fengyinsisinai.mp4	约会	封印四糸乃
1030101	1		date_cg_61			约会	狂三精灵
1030102	1		date_cg_62			约会	狂三精灵
1030103	1		date_cg_63			约会	狂三精灵
1030104	1		date_cg_49			约会	狂三魅惑
1030105	2				video/cg_main_shixiangzhezhishuaidao.mp4	约会	十香折纸
1030201	2				video/cg_main_kuangsanvszhenna.mp4	战斗	
1030401	1		date_cg_69			约会	真那琴里吵架
1030402	2				video/cg_kuangsanbeisha.mp4	约会	狂三被杀
1030403	1		date_cg_64			约会	十香魅惑
1030701	1		date_cg_65			约会	十香水族馆
1030702	1		date_cg_53			约会	狂三内衣店
1030703	1		date_cg_54			约会	狂三内衣店
1030801	2				video/cg_main_kuangsangongyuan.mp4	战斗	狂三公园
1031001	1		date_cg_66			约会	狂三天台
1031002	1		date_cg_67			约会	狂三天台
1031003	1		date_cg_68			约会	狂三天台
1031401	2				video/cg_main_qinlilingzhuangchuchang.mp4	战斗	
1040301	2				video/cg_main_qinlihuiyi.mp4	约会	
1040302	1		date_cg_70			约会	泳衣
1040303	1		date_cg_70.1			约会	泳衣
1040304	1		date_cg_71			约会	泳衣
1040305	1		date_cg_72			约会	泳衣
1040901	1		date_cg_73			约会	水上乐园
1040902	1		date_cg_74			约会	水上乐园
1040903	1		date_cg_75			约会	水上乐园
1040904	2				video/cg_main_zhezhivsqinli.mp4	约会	
910101	1		date_cg_87			约会	
910102	1		date_cg_88			约会	
910103	1		date_cg_86			约会	
910104	1		date_cg_91			约会	
910105	1		date_cg_89			约会	
910201	1		date_cg_57			约会	
910202	1		date_cg_58			约会	
910203	1		date_cg_59			约会	
910204	1		date_cg_60			约会	
910401	1		date_cg_94			约会	
910402	1		date_cg_95			约会	
910501	1		date_cg_102			约会	
910502	1		date_cg_103			约会	
910503	1		date_cg_104			约会	
1	1	540001	date_cg_3	scene/cg/date_cg_2.png		十香主线CG1	
2	1	540002	date_cg_4	scene/cg/date_cg_4.png		十香主线CG2	
3	1	540003	date_cg_2	scene/cg/date_cg_3.png		十香面包店CG1	
4	1	540004	date_cg_8			十香面包店CG2	
5	1	540005	date_cg_7			十香玩偶店CG1	
6	1	540006	date_cg_5			十香玩偶店CG2	
7	1	540019	date_cg_6			十香玩偶店CG3	
8	1	540007	date_cg_14			四糸乃主线CG1	
9	1	540008	date_cg_10			四糸乃主线CG2	
10	1	540009	date_cg_16			四糸乃面包店CG1	
11	1	540010	date_cg_11			四糸乃面包店CG2	
12	1	540011	date_cg_9			四糸乃玩偶店CG1	
13	1	540012	date_cg_13			四糸乃玩偶店CG2	
14	1	540013	date_cg_15			狂三主线CG1	
15	1	540014	date_cg_12			狂三面包店CG1	
16	1	540020	date_cg_17			琴里	
17	1	540021	date_cg_18			琴里	
18	1	540022	date_cg_19			琴里	
19	1	540023	date_cg_20			琴里	
20	1	540024	date_cg_21			琴里	
21	1	540025	date_cg_22			折纸	
22	1	540026	date_cg_23			折纸	
23	1	540027	date_cg_24			四糸乃	
24	1	540028	date_cg_25			四糸乃	
25	1	540029	date_cg_26			折纸	
26	1	540030	date_cg_27			折纸	
27	1	540031	date_cg_28			狂三	
28	1	540032	date_cg_29			狂三	
29	1	540033	date_cg_30			狂三	
30	1	540034	date_cg_31			狂三	
31	1	540035	date_cg_32			折纸	
32	1	540036	date_cg_33			琴里	
33	1	540037	date_cg_34			琴里	
34	1	540038	date_cg_35			琴里	
35	1	540039	date_cg_36			琴里	
36	1	540040	date_cg_37			十香	
37	1	540041	date_cg_38			折纸	
38	1	540042	date_cg_39			狂三	
39	1	540043	date_cg_40			折纸	
40	1	540044	date_cg_41			琴里	
41	1	540045	date_cg_42			十香外传1	
42	1	540046	date_cg_43			十香外传2	
43	1	540047	date_cg_44			十香外传3	
