id	角色名称	类型（1主角2配角）	角色ID	角色名称	模型组	时间	移动（AI1）	台词（AI2）	随机动作组（AI3）	出现概率	角色出现规则
id	name	type	roleId	nameId	dress	time	move	dialog	action	showCondition	condition
number	comment	number	number	number	numbers	numbers	string	numbers	string	number	numbers
int		int	int	int	int[]	int[]	string	int[]	string	int	int[]
101001	十香	1	101	12059	410101-410104	0-18000		1010101-1010102-1010103		100	2-0-108-21-109-20-110-33-111-1-106-10-107-1-105-1-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-1-101-1
101002	十香	1	101	12059	410101-410104	18000-32400		1010101-1010102-1010103		100	2-0-108-1-109-1-110-1-111-33-106-40-107-10-105-1-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-1-101-1
101003	十香	1	101	12059	410101-410103	32400-43200		1010101-1010102-1010103		100	2-0-108-1-109-1-110-1-111-1-106-20-107-1-105-10-103-1-102-1-104-1-201-1-205-25-203-15-204-15-202-1-208-1-206-1-207-1-112-1-101-1
101004	十香	1	101	12059	410101-410103	43200-50400		1010101-1010102-1010103		100	2-0-108-15-109-15-110-1-111-1-106-34-107-20-105-1-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-1-101-1
101005	十香	1	101	12059	410101-410102	50400-64800		1010101-1010102-1010103		100	2-0-108-5-109-1-110-1-111-10-106-1-107-1-105-1-103-10-102-10-104-10-201-20-205-1-203-1-204-1-202-1-208-10-206-5-207-9-112-1-101-1
101006	十香	1	101	12059	410101-410102	64800-75600		1010101-1010102-1010103		100	2-0-108-1-109-10-110-6-111-20-106-20-107-1-105-20-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-1-101-10
101007	十香	1	101	12059	410101-410101	75600-86400		1010101-1010102-1010103		100	2-0-108-20-109-20-110-30-111-1-106-14-107-1-105-1-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-1-101-1
