	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	标题显示（手机）	头像显示（手机）	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
id	scriptId	datingType	condition	weighting	chance	nameId	headIcon	name	text	textShowType	specTextConfig	textBottom	optionType	jumpConfig	insertPicture	insertPic1	insertPic2	insertPic3	skip	jump	comment	modelId1	roleShowType1	roleDisaprType1	action1	isIgonreAction1	face1	emodelId1	expressionAction1	roleLocation1	locOffset1	roleScale1	modelId2	roleShowType2	roleDisaprType2	action2	isIgonreAction2	face2	emodelId2	expressionAction2	roleLocation2	locOffset2	roleScale2	modelId3	roleShowType3	roleDisaprType3	action3	isIgonreAction3	face3	emodelId3	expressionAction3	roleLocation3	locOffset3	roleScale3	windowEfxPara	windowEffects	phonePath	phoneAction	effect	backGround	appear	bgManage	bgScale	bgTime	bgOffset	bgm	bgmSize	voice	roleLipAnime	sceneSoundEffect	soundEffect	cg	cgTime	eventType	score	displayScore	isVisibleUI	autoJump	memory	aside	reward	repeatReward	completionTimes	video1	video2	endType	nodeCost	nodeReward	game	gameRules	radText1	radText2
number	number	number	json	number	number	number	string	string	string	number	json	number	number	json	json	string	string	string	number	numbers	comment	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	numbers	numbers	string	string	string	string	string	number	number	number	json	string	number	string	number	string	string	string	number	number	number	number	number	boolean	boolean	boolean	string	json	number	string	string	number	json	json	number	json	string	string
int	int	int	map	int	int															int[]																																																						int	int						map	map	int			int	map	map	int	map		
1005100001	2201001		{}							1	{}			{}	{}					5100001	4										{}											{}											{}							scene/bg/bg_jiaoshi.png			1	-1	{}																{}	{}					{}	{}		{}		
5100001	2201001	2	{}		100			夜刀神十香	「 %s ，等等我呐」	1	{}			{}	{}					5100002											{}											{}											{}										1		{}	sound/bgm/date_001.mp3		sound/role/yuyin_shixiang_7.mp3													{}	{}					{}	{}		{}		
5100002	2201001	2	{}		100				身后突然响起十香的声音，我不由得停下脚步	1	{}			{}	{}					5100003											{}											{}											{}										1		{}																{}	{}					{}	{}		{}		
5100003	2201001	2	{}		100			1	「十香，有什么事么？」	1	{}			{}	{}					5100004		10104			id_pose_8		id_look_3			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
5100004	2201001	2	{}		100			夜刀神十香	「最近好像很久都没有去吃过黄豆粉面包了」	1	{}			{}	{}					5100005		1			id_pose_8		id_look_11			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3													{}	{}					{}	{}		{}		
5100005	2201001	2	{}		100			夜刀神十香	「唔姆…… %s 能陪我一起去么~」	1	{}			{}	{}					5100006		1			id_pose_8		id_look_4	103_eff	id_sun	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_7.mp3													{}	{}					{}	{}		{}		
5100006	2201001	2	{}		100				事情发生得太突然……如果是这个时间约会的话……	1	{}			{}	{}							1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
1006100001	2301001		{}							1	{}			{}	{}					6100001	4										{}											{}											{}							scene/bg/bg_meishijie.png			1	-1	{}																{}	{}					{}	{}		{}		
6100001	2301001	2	{}		100			夜刀神十香	「 %s ————」	1	{}			{}	{}					6100002		10104			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}	sound/bgm/date_001.mp3		sound/role/yuyin_shixiang_8.mp3													{}	{}					{}	{}		{}		
6100002	2301001	2	{}		100				虽然觉得已经很准时地来到了美食街，但看到十香用力挥手的样子还是不免感到有些歉意	1	{}			{}	{}					6100003		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100003	2301001	2	{}		100			1	「十香，抱歉，让你久等啦」	1	{}			{}	{}					6100004		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100004	2301001	2	{}		100			夜刀神十香	「不不， %s 并没有迟到哦」	1	{}			{}	{}					6100005		1			id_pose_5		id_look_3	103_eff	id_sweat	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_6.mp3													{}	{}					{}	{}		{}		
6100005	2301001	2	{}		100				十香用力摇了摇头，一脸认真的表情回应	1	{}			{}	{}					6100006		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100006	2301001	2	{}		100			夜刀神十香	「啊啊……对了……我们快进去吧」	1	{}			{}	{}					6100007		1						103_eff	id_sun	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_7.mp3													{}	{}					{}	{}		{}		
6100007	2301001	2	{}		100				十香用指头用力捅着我的后背，不停催促着	1	{}			{}	{}					6100008		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100008	2301001	2	{}		100				真是可疑呢……	1	{}			{}	{}					1006100009		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
1006100009	2301001		{}							1	{}			{}	{}					6100009											{}											{}											{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}																{}	{}					{}	{}		{}		
6100009	2301001	2	{}		100				面包店里面罕见地一个人都没有	1	{}			{}	{}					6100010		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100010	2301001	2	{}		100				 %s 搔着脸颊，并没有太在意	1	{}			{}	{}					6100011		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100011	2301001	2	{}		100			夜刀神十香	「 %s ~就在这里吃吧~黄豆粉面包在你来之前就买好啦~」	1	{}			{}	{}					6100012		1			id_pose_8		id_look_7	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3													{}	{}					{}	{}		{}		
6100012	2301001	2	{}		100			1	「诶……」	1	{}			{}	{}					6100013		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100013	2301001	2	{}		100				十香假装什么都不知道的样子耸耸肩	1	{}			{}	{}					6100014		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100014	2301001	2	{}		100				接过十香递来的黄豆粉面包，在十香期待的目光下撕开包装袋	1	{}			{}	{}					6100015		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100015	2301001	2	{}		100			1	「……可疑的味道呢，非常的」	1	{}			{}	{}					6100016		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100016	2301001	2	{}		100				我小声嘀咕着，忍不住微微皱起了眉头，虽然说不上难闻，但有种奇怪的味道	1	{}			{}	{}					6100017		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
6100017	2301001	2	{}		100			夜刀神十香	「唔姆…… %s 不吃么~」	1	{}			{}	{}					6100018		1			id_pose_8		id_look_2	103_eff	id_gas	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_10.mp3													{}	{}					{}	{}		{}		
6100018	2301001	2	{}		100				十香瞪圆了眼睛	1	{}			{}	{}					6100019		1								2	{}	1.4										{}											{}										1.2		{}																{}	{}					{}	{}		{}		
6100019	2301001	2	{}		100			1	「那……我开动了……」	1	{}			{}	{}					6100020		1								2	{}	1.4										{}											{}										1.2		{}																{}	{}					{}	{}		{}		
6100020	2301001	2	{}		100				我咬下小半块黄豆粉面包，舌头随即发出了悲鸣	1	{}			{}	{}					6100021		1								2	{}	1.4										{}											{}										1.2		{}																{}	{}					{}	{}		{}		
6100021	2301001	2	{}		100			夜刀神十香	「怎么样，好吃么~」	1	{}			{}	{}					6100022		1			id_pose_5		id_look_4	103_eff	id_sun	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_8.mp3													{}	{}					{}	{}		{}		
6100022	2301001	2	{}		100				十香露出得意的微笑	1	{}			{}	{}				1	6100023		1								2	{}	1.4										{}											{}										1.2		{}																{}	{}					{}	{}		{}		
6100023	2301001	2	{}		100				我早就应该猜到这个是十香亲手做的黄豆粉面包……	1	{}			{}	{}					6101101-6101201	5	1								2	{}	1.4										{}											{}										1.2		{}																{}	{}					{}	{}		{}		
6101101	2301001	2	{}		100			1	「我还要！！」	1	{}			{}	{}					6101102	1	10104			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_mianbaodian.png			1.2	-1	{}																{}	{}					{}	{}		{}		
6101201	2301001	2	{}		100			1	「世界第一好吃！」	1	{}			{}	{}					6101102	1	10104			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_mianbaodian.png			1.2	-1	{}																{}	{}					{}	{}		{}		
6101102	2301001	2	{}		100			1	「好吃！！」	1	{}			{}	{}					6101103	2	1								2	{}	1.4										{}											{}										1.2		{}																{}	{}					{}	{}		{}		
6101103	2301001	2	{}		100			夜刀神十香	「嘿嘿，这里还有很多哦~ %s 多吃一些吧」	1	{}			{}	{}					6101104		1			id_pose_10		id_look_3	103_eff	id_idea	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_7.mp3													{}	{}					{}	{}		{}		
6101104	2301001	2	{}		100				我一脸要哭出来的样子再次撕开包装袋	1	{}			{}	{}							1								2	{}	1.2										{}											{}										1		{}																{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10}]}}	{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10}]}}					{}	{}		{}		
1007100001	2401001		{}							1	{}			{}	{}					7100001	4										{}											{}											{}							scene/bg/bg_keting.png			1	-1	{}																{}	{}					{}	{}		{}		
7100001	2401001	2	{}		100			1	「十香……我……」	1	{}			{}	{}					7100002		10104			id_pose_10		id_look_6			2	{}	1.2										{}											{}										1		{}	sound/bgm/date_001.mp3															{}	{}					{}	{}		{}		
7100002	2401001	2	{}		100			夜刀神十香	「哼！不用再解释了！我可是等了很久」	1	{}			{}	{}					7100003		1			id_pose_10		id_look_11	103_eff	id_gas	2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_4.mp3													{}	{}					{}	{}		{}		
7100003	2401001	2	{}		100				十香做出十分生气的表情和动作后，再一次张开了嘴。	1	{}			{}	{}					7100004		1								2	{}	1.4										{}											{}										1.3		{}																{}	{}					{}	{}		{}		
