	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
id	scriptId	datingType	condition	weighting	chance	name	text	textShowType	specTextConfig	textBottom	optionType	jumpConfig	insertPicture	insertPic1	insertPic2	insertPic3	skip	jump	comment	modelId1	roleShowType1	roleDisaprType1	action1	isIgonreAction1	face1	emodelId1	expressionAction1	roleLocation1	locOffset1	roleScale1	modelId2	roleShowType2	roleDisaprType2	action2	isIgonreAction2	face2	emodelId2	expressionAction2	roleLocation2	locOffset2	roleScale2	modelId3	roleShowType3	roleDisaprType3	action3	isIgonreAction3	face3	emodelId3	expressionAction3	roleLocation3	locOffset3	roleScale3	windowEfxPara	windowEffects	phonePath	phoneAction	effectPath	effectAction	loopEffcetPath	loopEffcetAction	backGround	appear	bgManage	bgScale	bgTime	bgOffset	bgm	bgmSize	voice	roleLipAnime	sceneSoundEffect	soundEffect	cg	cgTime	eventType	score	displayScore	isVisibleUI	autoJump	memory	aside	reward	repeatReward	completionTimes	video1	video2	endType	nodeCost	nodeReward	game	gameRules	radText1	radText2
number	number	number	json	number	number	string	string	number	json	number	number	json	json	string	string	string	number	numbers	comment	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	numbers	numbers	string	string	string	string	string	string	string	string	number	number	number	json	string	number	string	number	string	string	string	number	number	number	number	number	boolean	boolean	boolean	josn	json	number	string	string	number	json	json	number	json	string	string
int	int	int	map	int	int													int[]																																																									int	int						map	map	int			int	map	map	int	map		
1028100001	2104001	2	{}					1	{}			{}	{}					28100001	4										{}											{}											{}										scene/bg/bg_jiaoshi.png	2		1	-1	{}																{}	{}					{}	{}		{}		
28100001	2104001	2	{}		100		下课铃声刚刚响起，我的手机就开始震动起来。	1	{}			{}	{}					28100002											{}											{}	1.2										{}	1.2												1		{}	sound/bgm/date_001.mp3															{}	{}					{}	{}		{}		
28100002	2104001	2	{}		100		十香和折纸还没离开教室，在这个时间段找我的……	1	{}			{}	{}					28100003											{}											{}	1.2										{}	1.2												1		{}																{}	{}					{}	{}		{}		
28100003	2104001	2	{}		100	五河琴里	「喂……喂！ %s 你下课了吗？」	1	{}			{}	{}					28100004											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100004	2104001	2	{}		100		果然是琴里……	1	{}			{}	{}					28100005											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100005	2104001	2	{}		100	1	「我可爱的妹妹，找我有什么事情吗？」	1	{}			{}	{}					28100006											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100006	2104001	2	{}		100	五河琴里	「啊，有任务哦。」	1	{}			{}	{}					28100007											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100007	2104001	2	{}		100	1	「……我还以为你急着催我回家做饭。」	1	{}			{}	{}					28100008											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100008	2104001	2	{}		100	五河琴里	「今天有更优先的任务哦。」	1	{}			{}	{}					28100009											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100009	2104001	2	{}		100		我有一种不好的预感……	1	{}			{}	{}					28100010											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100010	2104001	2	{}		100	五河琴里	「你有一场约会。」	1	{}			{}	{}					28100011											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100011	2104001	2	{}		100	1	「哎？……今天？」	1	{}			{}	{}					28100012											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100012	2104001	2	{}		100	五河琴里	「马上哦，打开你的书包。」	1	{}			{}	{}					28100013											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100013	2104001	2	{}		100		我遵从司令官模式琴里的命令。	1	{}			{}	{}					28100014											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100014	2104001	2	{}		100		书包里不知道什么时候多了两张金光闪闪的代金券。	1	{}			{}	{}					28100015											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100015	2104001	2	{}		100	1	「这……这是谁放进去的啊？……」	1	{}			{}	{}					28100016											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100016	2104001	2	{}		100	五河琴里	「嘁……我在你的学校安插了很多人。」	1	{}			{}	{}					28100017											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100017	2104001	2	{}		100	1	「这个是美食街的代金券吗？」	1	{}			{}	{}					28100018											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100018	2104001	2	{}		100	五河琴里	「听好了，就当做这是你抽奖中的代金券，仅限今天使用。」	1	{}			{}	{}					28100019											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100019	2104001	2	{}		100	1	「所以呢？……」	1	{}			{}	{}					28100020											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100020	2104001	2	{}		100	五河琴里	「拿着去约狂三吧。」	1	{}			{}	{}					28100021											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100021	2104001	2	{}		100	1	「这就是……任务？」	1	{}			{}	{}					28100022											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100022	2104001	2	{}		100	五河琴里	「现在！立刻！马上！就去！」	1	{}			{}	{}					28100023											{}											{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}																{}	{}					{}	{}		{}		
28100023	2104001	2	{}		100	1	「是！」	1	{}			{}	{}					28100024											{}											{}	1.2										{}	1.2			1	1								1		{}																{}	{}					{}	{}		{}		
28100024	2104001	2	{}		100		被司令官气势冲击，我拿着代金券走到狂三面前。	1	{}			{}	{}					28101101-28101201-28101301	5	10404			id_pose_7		id_look_4			2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28101101	2104001	2	{}		100		拿着代金券装做土豪邀请狂三。	1	{}			{}	{}					28101102	1	10404			id_pose_7		id_look_4			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_jiaoshi.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1					{}	{}					{}	{}		{}		
28101201	2104001	2	{}		100		双手恭敬递上代金券恭敬邀请。	1	{}			{}	{}					28101102	1	10404			id_pose_7		id_look_4			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_jiaoshi.png			1	-1	{}	sound/bgm/date_001.mp3									5	1					{}	{}					{}	{}		{}		
28101301	2104001	2	{}		100		用嘴叼着代金券祈求她同行。	1	{}			{}	{}					28101102	1	10404			id_pose_7		id_look_4			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_jiaoshi.png			1	-1	{}	sound/bgm/date_001.mp3									-5	1					{}	{}					{}	{}		{}		
28101102	2104001	2	{}		100		或许是我的邀请太冒昧了……狂三有些惊讶地回头看我。	1	{}			{}	{}					28101103	2	1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28101103	2104001	2	{}		100		紧接着她笑了笑，伸出手接过我递上的代金券，看了看上面的信息。	1	{}			{}	{}					28101104		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
