ID	人物	建筑ID	图鉴建筑ID	对应剧本	地点小图标	图鉴显示地点	图鉴显示顺序	建筑图标	Happyend结局	Happy end标题	Happy end收集	Tureend结局	Tureend标题	Tureend收集	Normalend结局	Normalend标题	Normalend收集	Badend结局	Badend标题	Badend收集	Hiddenend结局	Hiddenend标题	Hiddenend收集	结局头像	好感度等级限制
id	role	build	buildID	datingScript	smallIcon	icon	order	buildIcon	end1	end1Title	end1Collect	end2	end2Title	end2Collect	end3	end3Title	end3Collect	end4	end4Title	end4Collect	end5	end5Title	end5Collect	mood	favorLevel
number	number	number	number	number	string	string	number	string	numbers	numbers	numbers	numbers	numbers	numbers	numbers	numbers	numbers	numbers	numbers	numbers	numbers	numbers	numbers	string	number
int	int	int	int	int	string	string	int	string	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	string	int
1	101	106	1	2101001	scene/buildIconSmall/mianbaodian.png	scene/buildIcon/mianbaodian_1.png	1	icon/dayDating/mianbaodian_1.png	2602211	900017	1	2505112-2601216	900014-900015	1-1	2501218-2601313-2604309	900011-900016-900019	1-1-1	2502120-2603210-2602107	900012-900018-900035	1-1-1	2502448	900013	1	icon/role/dating/101/	1
2	101	103	16	2101002	scene/buildIconSmall/wanoudian.png	scene/buildIcon/wanoudian_1.png	2	icon/dayDating/wanoudian_1.png	9702128	900026	1	9703118-9801128	900027-900028	1-1	9801217-9603123	900029-900030	1-1	9703211-9602117	900031-900032	1-1	9503316	900033	1	icon/role/dating/101/	2
3	102	106	1	2102001	scene/buildIconSmall/mianbaodian.png	scene/buildIcon/mianbaodian_1.png	1	icon/dayDating/mianbaodian_1.png	30601225	900177	1	30502122-30702113	900178-900179	1-1	30601119-30701119-30703218	900174-900175-900176	1-1-1	30601325-30602217	900180-900181	1-1	30502225	900182	1	icon/role/dating/102/	1
5	103	106	1	2103001	scene/buildIconSmall/mianbaodian.png	scene/buildIcon/mianbaodian_1.png	1	icon/dayDating/mianbaodian_1.png	10801118	900159	1	10701219-10504219	900160-900161	1-1	10606125-10604221-10504120	900156-900157-900158	1-1-1	10604118-10603212	900162-900163	1-1	10605126	900164	1	icon/role/dating/103/	1
6	103	103	16	2103002	scene/buildIconSmall/wanoudian.png	scene/buildIcon/wanoudian_1.png	2	icon/dayDating/wanoudian_1.png	25601125	900168	1	25701122-25604115	900169-900170	1-1	25701224-25604213-25702119	900165-900166-900167	1-1-1	25601318-25703311	900171-900172	1-1	25702214	900173	1	icon/role/dating/103/	2
7	104	106	1	2104001	scene/buildIconSmall/mianbaodian.png	scene/buildIcon/mianbaodian_1.png	1	icon/dayDating/mianbaodian_1.png	28704113	900195	1	28704320-28702215	900196-900197	1-1	28701113-28801124-28703220	900192-900193-900194	1-1-1	28705119-28705221	900198-900199	1-1	28801230	900200	1	icon/role/dating/104/	1
8	104	103	16	2104002	scene/buildIconSmall/wanoudian.png	scene/buildIcon/wanoudian_1.png	2	icon/dayDating/wanoudian_1.png	29705227	900204	1	29705320-29705126	900205-900206	1-1	29801127-29703206-29703112	900201-900202-900203	1-1-1	29706225-29702121	900207-900208	1-1	29803122	900209	1	icon/role/dating/104/	2
9	105	106	1	2105001	scene/buildIconSmall/mianbaodian.png	scene/buildIcon/mianbaodian_1.png	1	icon/dayDating/mianbaodian_1.png	65701132	900308	1	65705120-65707222	900313-900316	1-1	65701224-65703123-65705225	900309-900311-900312	1-1-1	65707122-65708213	900314-900315	1-1	65801115	900310	1	icon/role/dating/105/	1
12	105	103	16	2105002	scene/buildIconSmall/wanoudian.png	scene/buildIcon/wanoudian_1.png	2	icon/dayDating/wanoudian_1.png	71709211	900355	1	71805116-71802117	900356-900357	1-1	71707112-71808219-71707212	900358-900359-900360	1-1-1	71706112-71708313	900361-900362	1-1	71808130	900363	1	icon/role/dating/105/	2
13	102	104	26	2102004	scene/buildIconSmall/huadian.png	scene/buildIcon/6.png	4	icon/dayDating/wanoudian_1.png	120701134	910040	1	120502110-120703111-120703208-120605110	910036-910037-910038-910039	1-1-1-1	120501225-120704411-120605307-120604311	910043-910044-910041-910042	1-1-1-1	120702111-120505110	910034-910035	1-1	120704305	910045	1	icon/role/dating/102/	1
